"AccPeriodID","StartDate","EndDate","IsClosed","PNumber","IsArchived"
"1","2008-04-01 00:00:00","2008-04-30 23:59:59","1","1","0"
"2","2008-05-01 00:00:00","2008-05-31 23:59:59","1","2","0"
"3","2008-06-01 00:00:00","2008-06-30 23:59:59","1","3","0"
"4","2008-07-01 00:00:00","2008-07-31 23:59:59","1","4","0"
"5","2008-08-01 00:00:00","2008-08-31 23:59:59","1","5","0"
"6","2008-09-01 00:00:00","2008-09-30 23:59:59","1","6","0"
"7","2008-10-01 00:00:00","2008-10-31 23:59:59","1","7","0"
"8","2008-11-01 00:00:00","2008-11-30 23:59:59","1","8","0"
"9","2008-12-01 00:00:00","2008-12-31 23:59:59","1","9","0"
"10","2009-01-01 00:00:00","2009-01-31 23:59:59","1","10","0"
"11","2009-02-01 00:00:00","2009-02-28 23:59:59","1","11","0"
"12","2009-03-01 00:00:00","2009-03-31 23:59:59","1","12","0"
"13","2009-04-01 00:00:00","2009-04-30 23:59:59","1","1","0"
"14","2009-05-01 00:00:00","2009-05-31 23:59:59","1","2","0"
"15","2009-06-01 00:00:00","2009-06-30 23:59:59","1","3","0"
"16","2009-07-01 00:00:00","2009-07-31 23:59:59","1","4","0"
"17","2009-08-01 00:00:00","2009-08-31 23:59:59","1","5","0"
"18","2009-09-01 00:00:00","2009-09-30 23:59:59","1","6","0"
"19","2009-10-01 00:00:00","2009-10-31 23:59:59","1","7","0"
"20","2009-11-01 00:00:00","2009-11-30 23:59:59","0","8","0"
