"AccEmailLogID","LogDate","DocID","DebtorOrCreditor","SentDate","UserID","AttachmentCount","EmailSize","Email"
"15","2009-10-06 10:40:33","2576","S","2009-10-06 10:40:33","1","1","165733.0",""
"16","2009-10-06 10:58:31","1995","D","2009-10-06 10:58:31","1","1","166664.0","half@fusionsoftware.co.za"
"17","2009-10-06 10:59:05","2040","D","2009-10-06 10:59:05","1","1","165546.0","half@fusionsoftware.co.za"
"18","2009-10-06 10:59:44","1979","D","2009-10-06 10:59:44","1","1","162861.0","half@fusionsoftware.co.za"
"19","2009-10-13 15:16:49","2176","D","2009-10-13 15:16:49","1","1","176580.0",""
"20","2009-10-13 15:18:29","2170","D","2009-10-13 15:18:29","1","1","177409.0","half@fusionsoftware.co.za"
"21","2009-10-13 15:19:45","2170","D","2009-10-13 15:19:45","1","1","179481.0","half@fusionsoftware.co.za"
"22","2009-10-13 15:20:59","2171","D","2009-10-13 15:20:59","1","1","147446.0","half@fusionsoftware.co.za"
"23","2009-10-15 10:42:11","2568","S","2009-10-15 10:42:11","1","1","151683.0","schutte.venter@gmail.com"
"24","2009-10-15 10:44:31","2568","S","2009-10-15 10:44:31","1","1","151683.0","schutte.venter@gmail.com"
"25","2009-10-15 10:54:48","2568","S","2009-10-15 10:54:48","1","1","151683.0","schutte.venter@gmail.com"
"26","2009-10-15 11:00:40","2575","S","2009-10-15 11:00:40","1","1","148537.0","half@fusionsoftware.co.za"
"27","2009-10-15 11:00:52","2575","S","2009-10-15 11:00:52","1","1","148537.0","half@fusionsoftware.co.za"
"28","2009-10-15 11:01:10","2575","S","2009-10-15 11:01:10","1","1","148537.0","half@fusionsoftware.co.za"
"29","2009-10-15 11:01:42","2575","S","2009-10-15 11:01:42","1","1","146749.0","half@fusionsoftware.co.za"
"30","2009-12-07 18:02:15","0","S","2009-12-07 18:02:15","1","1","215601.0",""
"31","2009-12-07 18:17:28","0","S","2009-12-07 18:17:28","1","1","215260.0",""
"32","2009-12-07 18:19:52","0","S","2009-12-07 18:19:52","1","1","205000.0",""
"33","2009-12-07 18:20:39","0","S","2009-12-07 18:20:39","1","1","214990.0",""
"34","2009-12-07 18:22:15","0","S","2009-12-07 18:22:15","1","1","204999.0",""
"35","2009-12-07 18:23:11","0","S","2009-12-07 18:23:11","1","1","204950.0",""
"36","2009-12-07 18:26:04","0","S","2009-12-07 18:26:04","1","1","204950.0",""
"37","2009-12-07 18:40:10","0","S","2009-12-07 18:40:10","1","1","204950.0",""
"38","2009-12-07 18:48:52","0","S","2009-12-07 18:48:52","1","1","215761.0",""
"39","2009-12-14 12:43:00","0","S","2009-12-14 12:43:00","1","1","210115.0",""
"40","2009-12-14 12:57:16","0","S","2009-12-14 12:57:16","1","1","253542.0",""
"41","2009-12-14 15:39:16","0","S","2009-12-14 15:39:16","1","1","253346.0",""
"42","2010-01-13 08:01:42","2272","D","2010-01-13 08:01:42","1","0","0.0","1email"
"43","2010-01-13 08:02:48","2272","D","2010-01-13 08:02:48","1","1","214544.0",""
"44","2010-01-15 14:59:32","8","D","2010-01-15 14:59:32","1","0","0.0","half@fusionsoftware.co.za"
"45","2010-02-05 13:36:17","10","D","2010-02-05 13:36:17","1","1","97045.0","half@fusionsoftware.co.za"
