"OutputID","CalcUsing","DocID","StockID","Qty","SellingQty","ActualQty","Ratio","ContainerID","IsPrimaryOutput","Step","Status","ByProductOfID","ToolID","StockIDTrail","QtyPer"
"1","Qty","13","3063","37.0","37.0","37.0","1.0","4","1","","","","","",""
"2","Qty","14","3045","59.0","59.0","59.0","1.0","4","1","","","","","",""
"3","Qty","15","3050","18.0","18.0","18.0","1.0","4","1","","","","","",""
"4","Qty","43","3115","10.0","10.0","10.0","1.0","3","1","","","","","",""
"5","Qty","44","3174","10.0","10.0","10.0","1.0","3","1","","","","","",""
"6","Qty","45","3180","10.0","10.0","10.0","1.0","3","1","","","","","",""
"7","Qty","46","3061","2.0","2.0","2.0","1.0","4","1","","","","","",""
"8","Qty","47","3073","15.0","15.0","15.0","1.0","4","1","","","","","",""
"9","Qty","48","3046","59.0","59.0","59.0","1.0","4","1","","","","","",""
"10","Qty","49","3102","20.0","20.0","20.0","1.0","4","1","","","","","",""
"11","Qty","50","3046","40.0","40.0","40.0","1.0","4","1","","","","","",""
"12","Qty","51","3046","40.0","40.0","40.0","1.0","4","1","","","","","",""
"13","Qty","52","3063","20.0","20.0","20.0","1.0","4","1","","","","","",""
"14","Qty","53","3063","20.0","20.0","20.0","1.0","4","1","","","","","",""
"15","Qty","54","3109","20.0","20.0","20.0","1.0","4","1","","","","","",""
"16","Qty","55","3109","20.0","20.0","20.0","1.0","4","1","","","","","",""
"17","Qty","56","3109","20.0","20.0","20.0","1.0","4","1","","","","","",""
"18","Qty","57","3041","35.0","35.0","35.0","1.0","4","1","","","","","",""
"19","Qty","58","3054","10.0","10.0","10.0","1.0","4","1","","","","","",""
"20","Qty","59","3113","20.0","20.0","20.0","1.0","4","1","","","","","",""
"21","Qty","60","3113","20.0","20.0","20.0","1.0","4","1","","","","","",""
"22","Qty","61","3063","20.0","20.0","20.0","1.0","4","1","","","","","",""
"23","Qty","62","3063","40.0","40.0","40.0","1.0","4","1","","","","","",""
"24","Qty","63","3050","25.0","25.0","25.0","1.0","4","1","","","","","",""
"25","Qty","64","3103","10.0","10.0","10.0","1.0","4","1","","","","","",""
"26","Qty","65","3111","20.0","20.0","20.0","1.0","4","1","","","","","",""
"27","Qty","66","3111","20.0","20.0","20.0","1.0","4","1","","","","","",""
"28","Qty","67","3111","20.0","20.0","20.0","1.0","4","1","","","","","",""
"29","Qty","68","3111","20.0","20.0","20.0","1.0","4","1","","","","","",""
"30","Qty","69","3116","10.0","10.0","10.0","1.0","4","1","","","","","",""
"31","Qty","70","3068","20.0","20.0","20.0","1.0","4","1","","","","","",""
"32","Qty","74","3144","1000.0","1000.0","1000.0","1.0","4","1","","","","","",""
"33","Qty","75","3068","20.0","20.0","20.0","1.0","4","1","","","","","",""
"34","Qty","76","3068","20.0","20.0","20.0","1.0","4","1","","","","","",""
"35","Qty","77","3068","20.0","20.0","20.0","1.0","4","1","","","","","",""
"36","Qty","78","3052","20.0","20.0","20.0","1.0","4","1","","","","","",""
"37","Qty","79","3047","20.0","20.0","20.0","1.0","4","1","","","","","",""
"38","Qty","80","3047","20.0","20.0","20.0","1.0","4","1","","","","","",""
"39","Qty","82","3063","20.0","20.0","20.0","1.0","4","1","","","","","",""
"40","Qty","83","3063","20.0","20.0","20.0","1.0","4","1","","","","","",""
"41","Qty","84","3103","10.0","10.0","10.0","1.0","4","1","","","","","",""
"42","Qty","85","3063","20.0","20.0","20.0","1.0","4","1","","","","","",""
"43","Qty","86","3046","20.0","20.0","20.0","1.0","4","1","","","","","",""
"44","Qty","87","3046","20.0","20.0","20.0","1.0","4","1","","","","","",""
"45","Qty","88","3046","20.0","20.0","20.0","1.0","4","1","","","","","",""
"46","Qty","89","3046","20.0","20.0","20.0","1.0","4","1","","","","","",""
"47","Qty","90","3109","20.0","20.0","20.0","1.0","4","1","","","","","",""
"48","Qty","91","3109","20.0","20.0","20.0","1.0","4","1","","","","","",""
"49","Qty","92","3109","20.0","20.0","20.0","1.0","4","1","","","","","",""
"50","Qty","93","3109","20.0","20.0","20.0","1.0","4","1","","","","","",""
"51","Qty","94","3109","20.0","20.0","20.0","1.0","4","1","","","","","",""
"52","Qty","95","3047","20.0","20.0","20.0","1.0","4","1","","","","","",""
"53","Qty","96","3068","20.0","20.0","20.0","1.0","4","1","","","","","",""
"54","Qty","97","3113","20.0","20.0","20.0","1.0","4","1","","","","","",""
"55","Qty","98","3113","20.0","20.0","20.0","1.0","4","1","","","","","",""
"56","Qty","99","3047","20.0","20.0","20.0","1.0","4","1","","","","","",""
"57","Qty","100","3101","10.0","10.0","10.0","1.0","4","1","","","","","",""
"58","Qty","101","3073","25.0","25.0","25.0","1.0","4","1","","","","","",""
"59","Qty","102","3113","20.0","20.0","20.0","1.0","4","1","","","","","",""
"60","Qty","103","3068","20.0","20.0","20.0","1.0","4","1","","","","","",""
"61","Qty","104","3047","20.0","20.0","20.0","1.0","4","1","","","","","",""
"62","Qty","105","3047","20.0","20.0","20.0","1.0","4","1","","","","","",""
"63","Qty","107","3113","20.0","20.0","20.0","1.0","4","1","","","","","",""
"64","Qty","108","3047","12.0","12.0","12.0","1.0","4","1","","","","","",""
"65","Qty","109","3101","10.0","10.0","10.0","1.0","4","1","","","","","",""
"66","Qty","110","3111","20.0","20.0","20.0","1.0","4","1","","","","","",""
"67","Qty","111","3111","20.0","20.0","20.0","1.0","4","1","","","","","",""
"68","Qty","112","3111","20.0","20.0","20.0","1.0","4","1","","","","","",""
"69","Qty","113","3111","20.0","20.0","20.0","1.0","4","1","","","","","",""
"70","Qty","114","3058","14.0","14.0","14.0","1.0","4","1","","","","","",""
"71","Qty","115","3073","15.0","15.0","15.0","1.0","4","1","","","","","",""
"72","Qty","116","3127","20.0","20.0","20.0","1.0","4","1","","","","","",""
"73","Qty","117","3127","20.0","20.0","20.0","1.0","4","1","","","","","",""
"74","Qty","118","3113","20.0","20.0","20.0","1.0","4","1","","","","","",""
"75","Qty","119","3113","20.0","20.0","20.0","1.0","4","1","","","","","",""
"76","Qty","120","3378","25.0","25.0","25.0","1.0","4","1","","","","","",""
"77","Qty","121","3378","25.0","25.0","25.0","1.0","4","1","","","","","",""
"78","Qty","122","3113","5.0","5.0","5.0","1.0","4","1","","","","","",""
"79","Qty","123","3047","5.0","5.0","5.0","1.0","4","1","","","","","",""
"80","Qty","124","3109","20.0","20.0","20.0","1.0","4","1","","","","","",""
"81","Qty","125","3133","25.0","25.0","25.0","1.0","4","1","","","","","",""
"82","Qty","16","3052","14.0","14.0","14.0","1.0","4","1","","","","","",""
"83","Qty","17","3042","2.0","2.0","2.0","1.0","4","1","","","","","",""
"84","Qty","18","3071","65.0","65.0","65.0","1.0","4","1","","","","","",""
"85","Qty","19","3073","21.0","21.0","21.0","1.0","4","1","","","","","",""
"86","Qty","20","3101","15.0","15.0","15.0","1.0","4","1","","","","","",""
"87","Qty","21","3102","8.0","8.0","8.0","1.0","4","1","","","","","",""
"88","Qty","22","3107","52.0","52.0","52.0","1.0","4","1","","","","","",""
"89","Qty","23","3109","67.0","67.0","67.0","1.0","4","1","","","","","",""
"90","Qty","24","3121","14.0","14.0","14.0","1.0","4","1","","","","","",""
"91","Qty","25","3122","15.0","15.0","15.0","1.0","4","1","","","","","",""
"92","Qty","26","3125","21.0","21.0","21.0","1.0","4","1","","","","","",""
"93","Qty","27","3124","25.0","25.0","25.0","1.0","4","1","","","","","",""
"94","Qty","28","3127","16.0","16.0","16.0","1.0","4","1","","","","","",""
"95","Qty","29","3133","18.0","18.0","18.0","1.0","4","1","","","","","",""
"96","Qty","30","3135","32.0","32.0","32.0","1.0","4","1","","","","","",""
"97","Qty","31","3136","14.0","14.0","14.0","1.0","4","1","","","","","",""
"98","Qty","32","3137","10.0","10.0","10.0","1.0","4","1","","","","","",""
"99","Qty","33","3140","25.0","25.0","25.0","1.0","4","1","","","","","",""
"100","Qty","34","3130","7.0","7.0","7.0","1.0","4","1","","","","","",""
"101","Qty","35","3148","6.0","6.0","6.0","1.0","4","1","","","","","",""
"102","Qty","36","3202","30.0","30.0","30.0","1.0","4","1","","","","","",""
"103","Qty","37","3111","80.0","80.0","80.0","1.0","4","1","","","","","",""
"104","Qty","38","3073","15.0","15.0","15.0","1.0","4","1","","","","","",""
"105","Qty","39","3115","10.0","10.0","10.0","1.0","4","1","","","","","",""
"106","Qty","40","3006","70.0","70.0","70.0","1.0","4","1","","","","","",""
"107","Qty","41","3174","10.0","10.0","10.0","1.0","4","1","","","","","",""
"108","Qty","42","3180","10.0","10.0","10.0","1.0","4","1","","","","","",""
"109","Qty","106","3113","20.0","20.0","20.0","1.0","4","1","","","","","",""
"110","Qty","126","3052","25.0","25.0","25.0","1.0","4","1","","","","","",""
"111","Qty","127","3050","50.0","50.0","50.0","1.0","4","1","","","","","",""
"112","Qty","128","3073","50.0","50.0","50.0","1.0","4","1","","","","","",""
"113","Qty","130","3063","20.0","20.0","20.0","1.0","4","1","","","","","",""
"114","Qty","131","3052","20.0","20.0","20.0","1.0","4","1","","","","","",""
"115","Qty","132","3028","10.0","10.0","10.0","1.0","4","1","","","","","",""
"116","Qty","133","3078","10.0","10.0","10.0","1.0","4","1","","","","","",""
"117","Qty","134","3341","20.0","20.0","20.0","1.0","4","1","","","","","",""
"118","Qty","135","3341","20.0","20.0","20.0","1.0","4","1","","","","","",""
