"DeductionID","DocID","StockID","Amount","IsEmployerDeduction"
"89","34","66445","2129.0000","0"
"90","34","66447","125.0000","0"
"91","34","66447","125.0000","1"
"92","34","66446","320.0000","1"
"93","35","66445","2129.0000","0"
"94","35","66447","125.0000","0"
"95","35","66447","125.0000","1"
"96","35","66446","320.0000","1"
"97","36","66445","2129.0000","0"
"98","36","66447","125.0000","0"
"99","36","66447","125.0000","1"
"100","36","66446","320.0000","1"
"101","37","66445","2129.0000","0"
"102","37","66447","125.0000","0"
"103","37","66447","125.0000","1"
"104","37","66446","320.0000","1"
"105","36","66486","1600000.0000","1"
