"Actionid","nextactiondate","comments","priorityid","result","taskreminderid","bittypeID","Snooze","SnoozeTime","SetReminder","Dismiss","PercentageID","userid","AssignedTo","Complete","PFLearnProgramID","CourseScheduleID","description","ReminderDate","RecurringActionID","Number","SubTaskGroup"
"101","2014-01-22 00:00:00","LRA Marketing Brochure","5870","","130","5803","","","255","","13","382","382","No","","","","","","",""
"102","2014-01-22 00:00:00","test","5870","","130","5802","","","0","","14","382","376","No","","","","","","",""
"103","2014-01-28 00:00:00","Action points be entered into the database to get everyone into the system ","5870","ALL staff and directors to be able to access the system.. 11 March ??","131","6664","","","0","","50","382","382","No","","","","","","",""
"104","2013-12-17 00:00:00","The LRA are currently owed R34k by Fidelity   SP to send a note to Bryan Smith asking asking for a meeting to resolve this issue.  ","5869","SP advised that resolved by Fidelity","131","6664","","","0","","100","382","376","Yes","","","","","","",""
"105","2014-01-28 00:00:00","Marketing & Communication Strategically, going forward,the gate takings at all events should be clear profit to the LRA and the cost of the event must be covered through sponsorships","5871","LH is of the opinion that in future the LRA should not be hiring professionals for the events or using the services of a stage company.   We need to look at reducing the cost of the event.   This must be included in the Marketing plan for 2014 and the budgeting needs to be more precise.","131","6666","","","0","","100","376","393","Yes","","","","","","",""
"106","2014-01-15 00:00:00","Marketing & Communication: Positive feedback on the event from Estate Agents.  SP to Schedule a Marketing meeting for mid-January.   ","5870","When scheduling events Marketing needs to look at dates that may impact on events, i.e. public holidays etc.   KB will work on this with the 2014 events calendar.   ","131","6664","","","0","","0","376","384","No","","","","","","",""
"107","2014-02-28 00:00:00","Lonehill Brochure: Estate Agents is not as easy as it was originally thought..Other avenues of funding need to be investigated. Copy of brochure to be handed to all who need to sell strip ads. (SP by 25th Feb)
Strip ads to allocated to Fourways Crossing (LH). Leaping Frog: (DF). Lonehill Shopping Centre: (SP), Studio Office Park (KB) and PineSlopes (JS) ","5870","Fidelity, who have already submitted their full page ad will probably change it to something that is more a ""hard sell"" look.   Malcolm Stephens to submit something new to Sally Pearson by first week Jan (12 Feb) Please provide answers
Dawnprop and Property.coza have committed to the brochure so far for a full back page and sponsorship has been provided by Fidelity, SLA, and Crawford College.  Strip ads are being sold easily at R2k ea
We have had ameeting with Engel & Volker and they will revert.   Also waiting for confirmation from Sothebys.  Property .Co have withdrawn their offer.
We are looking at other avenues to reduce costs for Estate Agents.   Big drive on to sell strip advertising and we may well look at 36 advertisers in a directory type entry.","131","6664","","","0","","40","382","376","No","","","","","","",""
"108","2014-01-15 00:00:00","Lonehill Community Signboards - We need to upgrade all community notice boards as the information/analytics from the recent survey indicate that these are regarded as a primary source of information for the community.  Natasha Foster has advised that the proposal by Brian Smith (Lonehill Resident) is not feasible due to non-compliance with city by-laws, so alternative suggestions are needed.  SP proposed that the boards are re-designed to fit into the garden setting of Lonehill and has been tasked to approach builders for quotes/designs in the new year.   Solar powered lighting also to be investigated.","","NF to feedback from the meeting held with ProVantage with JS relating to electronic signboard. All Directors to establish means as to whether this can be completed with Fibre proposal. (End March) ","131","6664","","","0","","0","382","393","No","","","","","","",""
"109","2014-01-28 00:00:00","Feedback from Workshop 30th November:  Notes made on the meeting and the outcomes were forwarded to JS by GT and SP.   JS asked for any other comments to be submitted to him also.   These will be filed for future reference and action.   JS to forward notes from a meeting that was held 2 years ago to SP.   ","","","131","5802","","","0","","100","382","382","Yes","","","","","","",""
"110","2014-03-31 00:00:00","Marketing: LRA to look at partnering Pam Golding in Best Verge competition next year. KB to include into the Marketing Plan for 2014. Plan to be complete by end March 2014","5872","This to be included with new Marketing Plan for 2014. Due 31st March","131","6666","","","0","","50","382","384","No","","","","","","",""
"111","2014-01-08 00:00:00","Security
Fidelity contract.   This was discussed and LH commented that the contract did not comply with the Consumer Protection act.   LH to distribute her comments on the contract to the Board.  
SP to distribute soft copy of Fidelity Contract to all Board Members.
","5870","Linda to advise if received soft copy as due to be sent out by Sally Pearson as per minutes..","131","6664","","","0","","8","382","387","No","","","","","","",""
"112","2013-12-17 00:00:00","Incident Mapping:  RS showed a google earth map that had been pinpointed with crime events that had occurred in Lonehill since August.   This process would be continued and would produce and overall picture of ""hot spots"" going forward.   Mapping should be put onto the new CRM system.   The weekly SAPS report was very short of information and only provided dates and time but not location of the crime. DF has been tasked to approach all security companies in this regard at the next CPF meeting. ","5870","DF to revert by meeting 12th March in terms of ALL incidents after CPF meeting scheduled for 8th March 2014.. ","131","5803","","","0","","10","382","385","No","","","","","","",""
