"AppointmentID","EntityID","EntityContactID","Date","EndDate","IsAllDayAppt","Subject","Notes","RemindBeforeMins","CreateUserID","ForUserID","Dismissed","IsConfirmed","IsNewClient","DoReminder","CalColour","userid","EntryID","DateSyncd","ReccurenceType","ReccurenceInterval","ReccurenceEnd","Client","NewComp","JobType","JobTask","newSale","ClientRelID","Held","NotHeld","Actions","Overtime","ProjectID","Location","RecurringActionID","NeedInvoice","Cancelled","SentCancellation","Reason","ExternalEmail","Synced","signoff","LeadID","IsLeadAppt","AssessmentID","ModuleID","TaskTypeID","OutlookEntryID","GoogleEntryID","Signature","ActualStartDate","ActualEndDate","SignOffDate","OrderID"
"2487","","","2014-01-28 16:30:00","2014-01-28 16:30:00","","","","","382","382","","","","","","","","","","","","0","0","","","0","","0","0","","0","","","","0","0","0","","","0","0","","0","","","","","","","","","",""
"2488","","98832","","","0","","","","","","","","","0","","","","","","","","0","0","","","0","","0","0","","0","","","","0","0","0","","","0","0","","0","","","","","","","","","",""
"2489","67010","0","2014-04-03 09:00:00","2014-04-03 10:00:00","0","new quote","nhrtsjhryjty","15","1","1","0","","","0","15724527","1","","2014-04-04 08:05:40","","","","0","0","","","0","6304","0","1","","0","","","","0","0","0","","","0","0","","0","","","","","","","2014-04-03 09:00:00","2014-04-03 10:00:00","",""
"2490","67010","0","2014-04-16 09:00:00","2014-04-16 10:45:00","0","new inst","uihfioehfoi ifiijfijf0e wjfjwifjiowei","15","1","1","0","","","0","15724527","1","","2014-04-16 09:14:58","","","","0","0","","","0","6303","0","0","","0","","","","0","0","0","","","0","0","","0","","","","","","","2014-04-16 10:00:00","2014-04-16 11:00:00","",""
"2492","","","2014-04-25 12:00:00","2014-04-25 12:00:00","","","","","372","372","","","","","","","","","","","","0","0","","","0","","0","0","","0","","","","0","0","0","","","0","0","","0","","","","","","","","","",""
"2496","","","2014-04-21 08:00:00","2014-04-21 08:00:00","","","","","372","372","","","","","","","","","","","","0","0","","","0","","0","0","","0","","","","0","0","0","","","0","0","","0","","","","","","","","","",""
"2497","69078","0","2014-04-28 09:00:00","2014-04-28 09:00:00","0","","","15","372","372","","","","0","","","","","","","","0","0","","","0","","0","0","","0","","","","0","0","0","","","0","0","","0","","","","","","","","","",""
"2498","","92477","","","0","","","","","","","","","0","","","","","","","","0","0","","","0","","0","0","","0","","","","0","0","0","","","0","0","","0","","","","","","","","","",""
"2499","68103","0","2014-04-16 09:00:00","2014-04-16 10:00:00","0","Test","Notes go here","15","378","370","0","","","0","15724527","378","","2014-04-23 11:02:47","","","","0","0","","","0","6303","0","0","Visit Report","0","","18 Bram","","0","0","0","","","0","0","","0","","","","","","","2014-04-16 09:00:00","2014-04-16 10:00:00","",""
"2500","","","2014-04-23 10:00:00","2014-04-23 10:00:00","","","","","378","370","","","","","","","","","","","","0","0","","","0","","0","0","","0","","","","0","0","0","","","0","0","","0","","","","","","","","","",""
"2501","68768","0","2014-04-23 09:00:00","2014-04-23 10:00:00","0","Install alarm","Notes Go Here
ergrg4
4thgtr4gh45th4t6h4
hy4h46hy46h46h
hy64h46","15","378","378","0","","","0","15724527","378","","2014-04-23 12:32:28","","","","0","0","","","0","6303","0","0","Visit Report","0","","25 Concourse","","0","0","0","","","0","0","","0","","","","","","","2014-04-23 09:00:00","2014-04-23 10:00:00","",""
"2506","","0","2014-05-23 10:00:00","2014-05-23 10:00:00","0","","","15","394","394","0","","","0","15724527","394","","2014-05-23 15:37:20","","","","0","0","","","0","","0","1","","0","","","","0","1","0","Test","","0","0","","0","","","","","","","2014-05-23 10:00:00","2014-05-23 10:00:00","",""
"2507","","","2014-06-30 11:00:00","2014-06-30 11:00:00","","","","","372","372","","","","","","","","","","","","0","0","","","0","","0","0","","0","","","","0","0","0","","","0","0","","0","","","","","","","","","",""
"2509","69685","","","","0","","","","","","","","","0","","","","","","","","0","0","","","0","","0","0","","0","","","","0","0","0","","","0","0","","0","","","","","","","","","",""
"2510","","","2014-07-14 13:30:00","2014-07-14 13:30:00","","","","","1","1","","","","","","","","","","","","0","0","","","0","","0","0","","0","","","","0","0","0","","","0","0","","0","","","","","","","","","",""
"2511","","99105","","","0","","","","","","","","","0","","","","","","","","0","0","","","0","","0","0","","0","","","","0","0","0","","","0","0","","0","","","","","","","","","",""
"2512","","94935","","","0","","","","","","","","","0","","","","","","","","0","0","","","0","","0","0","","0","","","","0","0","0","","","0","0","","0","","","","","","","","","",""
"2513","","94701","","","0","","","","","","","","","0","","","","","","","","0","0","","","0","","0","0","","0","","","","0","0","0","","","0","0","","0","","","","","","","","","",""
"2515","","0","2014-10-08 10:45:00","2014-10-08 10:45:00","0","","","15","378","378","0","","","0","15724527","378","","2014-10-08 10:50:53","","","","0","0","","","0","","0","0","","0","","","","0","0","0","","","0","0","","0","","","","","","","2014-10-08 10:45:00","2014-10-08 10:45:00","",""
