"Object","ParentObject","SQLTemplate","KeyFieldList","DisplayInterface","CUIDFieldName","CUIDCodeFieldName","QuickFindSQL","QuickFindPrompt","QuickFindIDbased"
"`","","select top 1 * from entity {where}","entityid","frmentitydetails","","","","","0"
"accAccCodedetails","","select top 1 * from accstock {where}","stockid","frmAccAccountCodeDetails","","","","","0"
"accaccountingperiod","","select top 1 * from accaccountingperiod {where}","accaccountingperiodid","frmaccaccountingperioddetails","","","","","0"
"AccAsset","","select top 1 * from accasset {where}","assetid","frmaccassetdetails","","","","","0"
"accassetsched","","select top 1 * from accassetdetail {where}","assetdetailid","frmAccAssetShedDetails","","","","","0"
"accbankaccount","","select top 1 * from accbankaccount {where}","bankaccountid","frmaccbankdetails","","","","","0"
"accbankimport","","select top 1 * from CASH_TRANSACTION_MASTER {where}","DocID","frmAccBankStatementImport","","","","","0"
"accbatch","","select top 1 * from accprintoutbatch {where}","printbatchid","frmaccprintbatchdetails","","","","","0"
"accbillingitem","","select top 1 * from BILLING_DETAIL {where}","LineID","frmAccBillingItem","","","","","0"
"accbudget","","select top 1 * from accbudget {where}","docid","frmaccbudgetdetails","","","","","0"
"accbudgetdetails","","select top 1 * from accbudget {where}","budgetid","frmaccbudgetdetails","","","","","0"
"accbudgetline","","select top 1 * from accbudgetdetail {where}","lineid","frmaccbudgetline","","","","","0"
"acccashtransaction","","select top 1 * from cash_transaction_master {where}","docid","frmacccashtransaction","","","","","0"
"accCashup","","select top 1 * from acccashup {where}","cashupid","frmAccCashUp","","","","","0"
"accCEComments","","select top 1 * from cost_estimate_detail {where}","lineid","frmacccostestimatecomments","","","","","0"
"accCERentalItem","","select top 1 * from Cost_estimate_Detail {where}","LineID","frmAccCostEstimateRentalDetails","","","","","0"
"acccomponent","","select top 1 * from accstock_dep {where}","accstock_depid","frmaccinventorycomponentdetails","","","","","0"
"accContractPrice","","select top 1 * from accStockPrice {where}","StockPriceID","frmAccEntityContractDetails","","","","","0"
"accCostEstimate","","select top 1 * from Cost_Estimate_Master {where}","docid","frmacccostestimatedetails","","","","","0"
"acccostestimateitem","","select top 1 * from COST_ESTIMATE_DETAIL {where}","lineid","frmAccCostEstimateItem","","","","","0"
"accCreditCN","","select top 1 * from creditor_master {where}","docid","frmacccreditorcreditnote","","","","","0"
"acccreditorcn","","select top 1 * from creditor_master {where}","docid","frmAccCreditorCreditNote","","","","","0"
"accCreditorItem","","select top 1 * from Creditor_Detail {where}","LineID","frmAccCreditorItem","","","","","0"
"acccreditororder","","select top 1 * from creditor_master {where}","docid","frmacccreditororder","","","","","0"
"acccreditorpayment","","select top 1 * from creditor_master {where}","docid","frmacccreditorpayment","","","","","0"
"acccreditorpurchase","","select top 1 * from creditor_master {where}","docid","frmacccreditorpurchaseorder","","","","","0"
"accdebtorcreditnote","","select top 1 * from debtor_master {where}","docid","frmaccdebtorcreditnote","","","","","0"
"accdebtorinvoice","","select top 1 * from debtor_master {where}","docid","frmaccdebtorinvoice","","","","","0"
"accdebtoritem","","select top 1 * from DEBTOR_DETAIL {where}","lineid","frmAccDebtorItem","","","","","0"
"accdebtorpayment","","select top 1 * from debtor_master {where}","docid","frmaccdebtorpayment","","","","","0"
"AccdebtorPosPay","","select top 1 * from debtor_master {where}","docid","frmAccDebtorPosPayment","","","","","0"
"accdebtorquote","","select top 1 * from debtor_master {where}","docid","frmaccdebtorquote","","","","","0"
"AccDebtorRental","","select top 1 * from debtor_detail {where}","rentalid","frmaccdebtorItemRental","","","","","0"
"accdebtorsalesorder","","select top 1 * from debtor_master {where}","docid","frmaccdebtorsalesorder","","","","","0"
"accdisbursements","","select top 1 * from accdisbursements {where}","accdisburseid","frmaccdisburseDetails","","","","","0"
"accdispatchstock","","select top 1 * from debtor_master {where}","docid","frmaccdispatchstock","","","","","0"
"AccEntityDiscount","","select top 1 * from AccEntityDiscount {where}","EntityDiscountID","frmAccEntityDiscount","","","","","0"
"accexpdisbursement","","select top 1 * from EXPENDITURE_MASTER {where}","DocID","frmAccExpenditureDisbursement","","","","","0"
"accexpenseclaim","","select top 1 * from accexpenseclaim {where}","AccExpenseClaimID","frmaccexpenseclaim","","","","","0"
"accexpenses","","select top 1 * from accexpenses {where}","accexpenseid","frmaccexpensedetails","","","","","0"
"accexppurchase","","select top 1 * from EXPENDITURE_MASTER {where}","DocID","frmAccExpenditurePurchase","","","","","0"
"accexprequisition","","select top 1 * from EXPENDITURE_MASTER {where}","DocID","frmAccExpenditureRequisition","","","","","0"
"accexptransfer","","select top 1 * from EXPENDITURE_MASTER {where}","DocID","frmAccExpenditureTransfer","","","","","0"
"accFinInfo","","select top 1 * from entity {where}","entityid","frmAccFinanceInfo","","","","","0"
"accfreight","","select top 1 * from shipping_master {where}","shippingdocid","frmaccfreight","","","","","0"
"accfreightcurrency","","select top 1 * from shipping_currency {where}","ShippingCurrencyID","frmaccfreightroe","","","","","0"
"accfreightdetails","","select top 1 * from shipping_Detail {where}","shippinglineid","frmaccfreightlinedetails","","","","","0"
"accfreightrate","","select top 1 * from SHIPPING_DETAIL_RATE {where}","DetailRateID","frmaccfreightlinerate","","","","","0"
"accglaccount","","select top 1 * from accGlcode {where}","GLCodeID","frmAccGLAccountDetails","","","","","0"
"accgladjustment","","select top 1 * from accledgeradj {where}","accledgeradjid","frmaccledgeradjustdetails","","","","","0"
"accGLAdjustments","","select top 1 * from Ledger_Adjust_Master {where}","docid","frmAccGLAdjustmentDetails","","","","","0"
"accguarddetails","","select top 1 * from Cost_Estimate_Guarding {where}","guardlineid","frmacccostestimateguarddetails","","","","","0"
"accinvbyproduct","","select top 1 * from AccStock_Byproduct {where}","byproductid","frmAccInventoryByProductDetails","","","","","0"
"accinventmanuftype","","select top 1 * from accstock_ManufType {where}","stockmanuftypeid","frmAccInventoryManufType","","","","","0"
"accinventorydetails","","select top 1 * from accstock {where}","stockid","frmaccinventorydetails","","","","","0"
"accinventoryqc","","select top 1 * from accstock_manufqc {where}","qcid","frmaccinventoryqc","","","","","0"
"accliquiditydetails","","select top 1 * from accliquidity {where}","LiquidityID","frmAccLiquidityDetails","","","","","0"
"accmanufacturedet","","select top 1 * from accmanufacture {where}","docid","frmaccmanufacturedetails","","","","","0"
"accmanufactureitem","","select top 1 * from accmanufacture_detail {where}","lineid","frmaccmanufactureitem","","","","","0"
"accmanufMachArea","","select top 1 * from AccMANUFACTURE_MACHAREA {where}","machineareaid","frmAccManufacturMachAreaDetails","","","","","0"
"accmanufoutput","","select top 1 * from accmanufacture_output {where}","Outputid","frmaccmanufactureoutput","","","","","0"
"accmanufprocess","","select top 1 * from AccMANUFACTURE_PROCESS {where}","StockManufTypeID","frmAccManufactureProcess","","","","","0"
"accmanufprodtype","","select top 1 * from AccSTOCK_ManufProdType {where}","ManufProdTypeID","frmAccInventoryManufProdType","","","","","0"
"accmanufqc","","select top 1 * from accmanufacture_qc {where}","manufqcid","frmaccmanufactureqc","","","","","0"
"accmanufresults","","select top 1 * from accmanufacture_results {where}","resultid","frmaccmanufactureresults","","","","","0"
"accmultibilling","","select top 1 * from billing_master {where}","docid","frmaccmultibillingdetails","","","","","0"
"accoffset","","select top 1 * from LEDGER_ADJUST_MASTER  {where}","docid","frmAccOffset","","","","","0"
"accopeningbalance","","select top 1 * from accopeningbalance {where}","entityid,useec","frmaccopeningbalancedetails","","","","","0"
"accoverhead","","select top 1 * from accoverhead {where}","accoverheadid","frmaccoverheadsdetails","","","","","0"
"accpayroll","","select top 1 * from accpayroll {where}","docid","frmaccpayrolldetails","","","","","0"
"accPayrollDeductions","","select top 1 * from accpayrolldeductions {where}","deductionid","frmAccPayrollDeductions","","","","","0"
"accpayrollearnings","","select top 1 * from accpayrollearnings {where}","EarningID","frmAccPayrollEarnings","","","","","0"
"accpayrollitem","","select top 1 * from accpayroll_details {where}","lineid","frmaccpayrollitem","","","","","0"
"accprojectCT","","select top 1 * from Cash_Transaction_Detail {where}","LineID","frmAccProjectCTDetails","","","","","0"
"accrates","","select top 1 * from accrates {where}","rateid","frmAccRateSetup","","","","","0"
"accreceiptstock","","select top 1 * from creditor_master {where}","docid","frmaccreceiptstock","","","","","0"
"accRequisition","","select top 1 * from Requisition_master {where}","docid","frmRequisitionDetails","","","","","0"
"accsecurity","","select top 1 * from accsecurity {where}","securityid","frmaccsecuritydetails","","","","","0"
"accspecialdocs","","select top 1 * from accdoctemplates {where}","DocTemplateID","frmAccSpecialDocDetails","","","","","0"
"accstockdispatch","","select top 1 * from debtor_detail {where}","lineid","frmaccstockadjustdispatch","","","","","0"
"AccStockLength","","select top 1 * from AccSTOCK_Length_Master {where}","docid","frmAccStockLength","","","","","0"
"accstockpricelist","","select top 1 * from accstockprice {where}","StockPriceId","frmAccInventoryPriceDetails","","","","","0"
"accstockreceipt","","select top 1 * from creditor_detail {where}","lineid","frmaccstockadjustreceipt","","","","","0"
"accstocksplitdetails","","select top 1 * from AccSTOCK_SPLIT_MASTER {where}","docid","frmAccStockSplitDetails","","","","","0"
"accstocksplitline","","select top 1 * from AccSTOCK_SPLIT_DETAIL {where}","lineid","frmAccStockSplitItem","","","","","0"
"accstocksplitoutput","","select top 1 * from AccSTOCK_SPLIT_DETAIL {where}","lineid","frmAccStockSplitOutput","","","","","0"
"accstocktake","","select top 1 * from accstocktake {where}","accstocktakeid","frmaccstocktakedetails","","","","","0"
"accstocktransfer","","select top 1 * from accstocktransfer {where}","stocktransferid","frmaccstocktransferdetails","","","","","0"
"accstocktransferitem","","select top 1 * from accstocktransferdetail {where}","transferdetailid","frmAccStockTransferItem","","","","","0"
"acctaxdeduction","","select top 1 * from acctaxdeduction {where}","taxdeductionid","frmacctaxdeductiondetails","","","","","0"
"acctaxrebate","","select top 1 * from acctaxrebate {where}","TaxRebateID","frmaccTaxRebateDetails","","","","","0"
"AccTaxTemplate","","select top 1 * from AccTaxTemplate {where}","TaxTemplateID","frmaccTaxTemplateDetails","","","","","0"
"accTaxThreshold","","select top 1 * from acctaxthreshold {where}","taxthresholdid","frmAccTaxThresholdDetails","","","","","0"
"acinterledger","","select top 1 * from LEDGER_ADJUST_MASTER  {where}","docid","frmAccInterLedgerTransaction","","","","","0"
"actions","","select top 1 * from actions {where}","actionid","frmactiondetails","","","","","0"
"ActionsTemplateItems","","select top 1 * from ActionsTemplateItems {where}","ActionTemplateItemID","frmActionDetailsTemplate","","","","","0"
"actiontemplate","","select top 1 * from ActionTemplate {where}","ActionTemplateID","frmactiontemplate","","","","","0"
"activitydetails","","select top 1 * from activity{where}","activityid","frmactivitydetails","","","","","0"
"addressdetails","","select top 1 * from entityaddress {where}","entityaddressid","frmaddressdetails","","","","","0"
"addresslink","","select top 1 * from addresslink {where}","addresslinkid","frmaddresssetupdetails","","","","","0"
"appointment","","select top 1 * from appointment {where}","appointmentid","frmapptdetails","","","","","0"
"apptnew","","select top 1 * from appointment {where}","appointmentid","frmappointmentdetails","","","","","0"
"assessmentregister","","select top 1 * from assessmentregister {where}","AssessmentRegisterID","frmAssessmentRegisterDetails","","","","","0"
"AssetNotes","","select top 1 * from AssetNotes {where}","noteid","frmAssetNotes","","","","","0"
"batch","","select top 1 * from batch {where}","batchid","frmmailerbatchdetails","","","","","0"
"batchadvanced","","select top 1 * from ContactSourceInfo {where}","contactsourceinfoid","frmMailerAdvancedBatch","","","","","0"
"Billingdetails","","select top 1 * from BillingDetails  {where}","BillingdetailsID","frmbillingdetails","","","","","0"
"billingstock","","select top 1 * from BillingStock {where}","stockBillID","frmbillstockdetails","","","","","0"
"BranchDirectory","","select top 1 * from DirectoryBranch {where}","DirectoryBranchID","frmDirectoryBranch","","","","","0"
"Broncure","","select top 1 * from AccStockBrochure {where}","BrochureID","frmAccInventoryBronchure","","","","","0"
"businessobjects","","select top 1 * from businessobjects {where}","object","frmdetailsbusinessobjects","","","","","0"
"callbatch","","select top 1 * from entitycontact {where}","callbatchid","frmcallbatchdetails","","","","","0"
"calllog","","select top 1 * from calllog {where}","calllogid","frmlogcall","","","","","0"
"calllogadv","","select top 1 * from calllog {where}","calllogid","frmlogcalladv","","","","","0"
"campaign","","select top 1 * from campaign {where}","campaignid","frmcampaigndetails","","","","","0"
"canvas","","select top 1 * from canvas {where}","canvasid","frmcanvassingdetails","","","","","0"
"CanvasCallLog","","select top 1 * from canvascalllog {where}","calllogid","frmcanvaslogcall","","","","","0"
"canvascontacts","","select top 1 * from canvascontacts {where}","canvascontactid","frmcanvasscontacts","","","","","0"
"canvasnotes","","select top 1 * from canvasnotes {where}","canvasnoteid","frmcanvasnotedetails","","","","","0"
"Checklist","","select top 1 * from JobChecklist {where}","JobChecklistID","frmchecklist","","","","","0"
"ChnageControl","","select top 1 * from ChangeControl {where}","ChangeID","frmChangeControlDetails","","","","","0"
"client","","select top 1 * from entity {where}","entityid","","","","select * From","","0"
"clientactivities","","select top 1 * from clientactivities {where}","clientactivityid","frmclientactivitydetails","","","","","0"
"ClientActivityItem","","select top 1 * from ClientActivityListItem {where}","ClientActivityListItemID","frmClientActivityListItem","","","","","0"
"clientactivitylist","","select top 1 * from clientactivitylist {where}","clientactivitylistid","frmclientactivitylistdetails","","","","","0"
"clientconstraints","","select top 1 * from ClientConstraints {where}","clientconstraintsid","frmMailerClientConstraints","","","","","0"
"ContactAssessment","","select top 1 * from entitycontact {where}","entitycontactID","frmContactBillingTemplates","","","","","0"
"ContactAssItems","","select top 1 * from ContactBillTemplateDetails {where}","DetailID","frmContactBillTemplateItems","","","","","0"
"contactdetails","","select top 1 * from entitycontact {where}","entitycontactid","frmcontactdetails","","","","","0"
"contactdocemail","","select top 1 * from EntityContactEmailDocs {where}","EmailDocumentID","frmContactEmailDocDetails","","","","","0"
"contactnew","","select top 1 * from entitycontactadditional {where}","lineid","frmcontactdetailsadd","","","","","0"
"contactnotes","","select top 1 * from notes {where}","noteid","frmnotecontactdetails","","","","","0"
"Container","","select top 1 * from Container {where}","containerid","frmContainerDetails","","","","","0"
"contract","","select top 1 * from contract {where}","contractid","frmContractDetails","","","","","0"
"contractNotes","","select top 1 * from contractNotes {where}","noteID","frmContractNotes","","","","","0"
"controlconfig","","select top 1 * from glpcontrolconfig {where}","controlconfigid","frmDetailsControlConfig","","","","","0"
"course","","select top 1 * from course {where}","courseid","frmcoursedetails","","","","","0"
"courseschedule","","select top 1 * from courseschedule {where}","coursescheduleid","frmcoursescheduledetails","","","","","0"
"coursescheduledays","","select top 1 * from courseScheduleDays {where}","courseScheduleDaysID","frmCourseScheduleDays","","","","","0"
"coursescheduleenrol","","select top 1 * from courseScheduleEnrolement {where}","courseScheduleEnrolementID","frmCourseScheduleEnrol","","","","","0"
"courseschedulemark","","select top 1 * from CourseScheduleMark {where}","CourseScheduleMarkID","frmCourseScheduleMark","","","","","0"
"creditorpayment","","select top 1 * from creditorpayment {where}","creditorpaymentid","frmcreditorpayments","","","","","0"
"creditorscontrol","","select top 1 * from accountspayable {where}","apid","frmaccountspayabledetails","","","","","0"
"customcontrol","","select top 1 * from CustomCTRL {where}","customctrlid","frmcustomsetupdetails","","","","","0"
"customcontroltabs","","select top 1 * from CustomCTRL {where}","customctrlid","frmcustomsetupdetailstabs","","","","","0"
"Customfield","","select top 1 * from customfieldvalues {where}","CustomFieldValueID","frmUDFForm","","","","","0"
"customfields","","Select top 1 * from customfields {where}","customfieldid","frmUserDefinedFieldDetails","","","","","0"
"dbtest","","select top 1 * from testdatabase {where}","iid","frmdb2settings","","","","","0"
"dcpayment","","select top 1 * from dcpayment {where}","dcpaymentid","frmdcpayments","","","","","0"
"DebtorPOSItem","","select top 1 * from DEBTOR_DETAIL {where}","lineid","frmAccDebtorPOSItem","","","","","0"
"debtorscontrol","","select top 1 * from debtorscontrol {where}","debtorscontrolid","frmdebtorscontroldetails","","","","","0"
"Deductions","","select top 1 * from deductions {where}","deductionid","frmdeductions","","","","","0"
"DelSchedule","","select top 1 * from DeliverySchedule {where}","DelScheduleID","frmDeliveryScheduleDetail","","","","","0"
"DevAppt","","select top 1 * from devappointment {where}","devapptid","frmdevapptdetails","","","","","0"
"DevApptMultiUser","","select top 1 * from devappointment {where}","devapptid","frmdevapptdetailsmultiuser","","","","","0"
"Directory","","select top 1 * from Directory {where}","DirectoryID","frmDirectoryDetails","","","","","0"
"DirectoryBrand","","select top 1 * from DirectoryBrand {where}","DirectoryBrandID","frmDirectoryBrand","","","","","0"
"divAddr","","select top 1 * from DivisionAddress {where}","DivisionAddressID","frmDivisionAddress","","","","","0"
"document","","select top 1 * from document {where}","documentid,branchid,documentclassid,subdocid","frmdetailsdocument","documentid","documentclassid","","Type in part of the Document ID or Company name to find the document","0"
"documentdetails","","select top 1 * from entitydocument {where}","entitydocumentid","frmdocumentdetails","","","","","0"
"documentheader","","select top 1 * from documentheader {where}","documentid,branchid,documentclassid,subdocid","frmdetailsdocumentheader","","","","","0"
"documentline","","select top 1 * from documentline {where}","documentid,branchid,documentlineid,documentclassid,subdocid","frmdetailsdocumentline","","","","","0"
"documentvat","","select top 1 * from documentvat {where}","documentid,branchid,documentclassid,subdocid","frmdetailsdocumenttax","","","","","0"
"emailapps","","select top 1 * from emaillog {where}","emaillogid","frmEmailApps","","","","","0"
