"crmSetupID","Description","Variable","Selected","custValue","ExpireDate","FormName"
"22677","num","SeqNum","0","","2014-02-14 00:00:00",""
"22678","num","ManNum","0","","2014-02-14 00:00:00",""
"22682","AutoSync","AutoSync","0","","2014-02-14 00:00:00",""
"22684","Guarding","EnableGuarding","0","","2014-02-14 00:00:00",""
"22685","Display Settings","HideEntityClientRating","0","","2014-02-14 00:00:00",""
"22697","Resource Settings","AutoGenStockCode","0","","2014-02-14 00:00:00",""
"22727","PMailer","UsePMailer","0","","2014-02-14 00:00:00",""
"22728","PMailer","PMailerAutoLogin","0","","2014-02-14 00:00:00",""
"22739","Structures","UseITEC","0","","2014-02-14 00:00:00",""
"22740","SMS","UseBSMSPWS","0","","2014-02-14 00:00:00",""
"22741","SMS","UseSMSRC","0","","2014-02-14 00:00:00",""
"22742","SMS","UseBSMSP","0","","2014-02-14 00:00:00",""
"22787","","stopemails","0","","",""
"22788","GenAccSettings","PriceWarningDays","0","60","",""
"22789","GenAccSettings","NoOfDecimals","0","2","",""
"22790","GenAccSettings","DefaultVAT","0","14","",""
"22791","GenAccSettings","MinSellGlobalPerc","0","10","",""
"22792","GenAccSettings","POSPrintTillSlip","0","","2013-11-12 08:33:42",""
"22793","GenAccSettings","AccShowForExCalc","0","","2013-11-12 08:33:42",""
"22794","GenAccSettings","POSPrintTillSlipHTML","0","","2013-11-12 08:33:42",""
"22795","GenAccSettings","FinStartDate","0","2011/09/13 00:00:00","",""
"22796","AccPrint","PrintComponents","0","","2013-11-12 08:33:42",""
"22797","AccPrint","HideZeroValues","0","","2013-11-12 08:33:42",""
"22798","AccPrint","UseShippingAddress","0","","2013-11-12 08:33:42",""
"22799","AccPrint","ProjOnStatement","0","","2013-11-12 08:33:42",""
"22800","AccPrint","StorePrintedDocs","0","","2013-11-12 08:33:42",""
"22801","AccPrint","CommentsBelow","0","","2013-11-12 08:33:42",""
"22802","AccPrint","UseHtmlTemplates","0","","2013-11-12 08:33:42",""
"22803","AccPrint","ExternalBorder","0","","2013-11-12 08:33:42",""
"22804","AccPrint","Border","0","","2013-11-12 08:33:42",""
"22805","AccPrint","NoBorder","1","","2013-11-12 08:33:42",""
"22806","AccPrint","attachbrochure","0","","2013-11-12 08:33:42",""
"22807","AccPrint","printresourcespec","0","","2013-11-12 08:33:42",""
"22808","AccPrint","printcustomCETemplate","0","","2013-11-12 08:33:42",""
"22809","AccPrint","EmailTemplate","0","","2013-11-12 08:33:42",""
"22810","AccPrint","printResourceImgOnCETemplate","0","","2013-11-12 08:33:42",""
"22811","COS","removeProforma","0","","2013-11-12 08:33:42",""
"22812","COS","DisablePrintBtn","0","","2013-11-12 08:33:42",""
"22813","COS","HideCreatePO","0","","2013-11-12 08:33:42",""
"22814","COS","UseSO","0","","2013-11-12 08:33:42",""
"22815","COS","LIFO","1","","2013-11-12 08:33:42",""
"22816","COS","PreventAcceptQuoteWithoutDoc","0","","2013-11-12 08:33:42",""
"22817","COS","FIFO","0","","2013-11-12 08:33:42",""
"22818","AccValid","DefaultComponentPrice","0","","2013-11-12 08:33:42",""
"22819","AccValid","DefaultLandedCost","0","","2013-11-12 08:33:42",""
"22820","AccValid","AlertSPUdate","0","","2013-11-12 08:33:42",""
"22821","AccValid","AutoUpdateSalesorder","0","","2013-11-12 08:33:42",""
"22822","AccValid","AutoCreateSalesorder","0","","2013-11-12 08:33:42",""
"22823","AccValid","ValidSPNextDate","0","","2013-11-12 08:33:42",""
"22824","AccValid","ValidSOOrdRef","0","","2013-11-12 08:33:42",""
"22825","AccValid","ValidDupAccNum","1","","2013-11-12 08:33:42",""
"22826","AccValid","ValidSOHasAccNum","0","","2013-11-12 08:33:42",""
"22827","AccValid","PromptPriceUpdate","0","","2013-11-12 08:33:42",""
"22828","AccValid","PromptOrderNum","0","","2013-11-12 08:33:42",""
"22829","AccValid","RequireClientVAT","1","","2013-11-12 08:33:42",""
"22830","AccValid","DisablePrintBtnAccDocs","0","","2013-11-12 08:33:42",""
"22831","AccValid","DispatchNoteReminder","0","","2013-11-12 08:33:42",""
"22832","AccValid","DispatchNoteCreate","0","","2013-11-12 08:33:42",""
"22833","AccValid","SOqtyInvoiceAdjust","0","","2013-11-12 08:33:42",""
"22834","AccValid","POSAdjustStock","0","","2013-11-12 08:33:42",""
"22835","AccValid","ValidatePeriod","0","","2013-11-12 08:33:42",""
"22836","AccValid","POSManQty","0","","2013-11-12 08:33:42",""
"22837","AccValid","CrossDivGL","0","","2013-11-12 08:33:42",""
"22838","AccValid","NoNegativeStock","0","","2013-11-12 08:33:42",""
"22839","AccValid","EditAcceptedQuote","0","","2013-11-12 08:33:42",""
"22840","Acc","NoIntangibles","0","","2013-11-12 08:33:42",""
"22841","Acc","stockno","0","","2013-11-12 08:33:42",""
"22842","Acc","jobno","0","","2013-11-12 08:33:42",""
"22843","num","ManNum","0","","2013-11-12 08:33:42",""
"22844","num","SeqNum","0","","2013-11-12 08:33:42",""
"22845","Acc","SendSMSJob","0","","2013-11-12 08:33:42",""
"22846","Acc","SendTechSMSJob","0","","2013-11-12 08:33:42",""
"22847","Acc","SendManagerSMSJob","0","","2013-11-12 08:33:42",""
"22848","Acc","SendEmailJob","0","","2013-11-12 08:33:42",""
"22993","AccPrint","UseRowShading","0","","",""
"22994","AccPrint","diffHeader","0","","",""
"22995","AccPrint","RowShadingColour","0","0","",""
"22996","AccPrint","HeaderShadingColour","0","0","",""
"23036","CRM Functions","ShowInSubTask","0","","",""
"23044","Print","StaffTicked","0","","2014-04-04 08:02:39",""
"23045","Print","ShowApprovedBillableNotQuotedFor","0","","2014-04-04 08:02:39",""
"23046","Print","ActualPlanning","1","","2014-04-04 08:02:39",""
"23047","Print","UseTaskStartEnd","0","","2014-04-04 08:02:39",""
"23048","Print","StaffTimesheets","0","","2014-04-04 08:02:39",""
"23049","Print","ProjJobTimesheet","0","","2014-04-04 08:02:39",""
"23050","Print","JobTimesheet","0","","2014-04-04 08:02:39",""
"23051","Print","ProjectTimesheet","0","","2014-04-04 08:02:39",""
"23052","Print","multiusertimesheet","0","","2014-04-04 08:02:39",""
"23053","Print","DisableCompletedTimesheets","0","","2014-04-04 08:02:39",""
"23054","ProjectPrint","MultiDivPM","0","","2014-05-14 15:40:46",""
"23055","UDFields","UDDrillDown","0","","2014-05-14 15:40:46",""
"23056","UDFields","UDCommon","0","","2014-05-14 15:40:46",""
"23057","Process-flow Templates","ProcessFlowUseSyncService","0","","2014-05-14 15:40:46",""
"23058","OptBtn","OptBtnConvert","0","","2014-05-14 15:40:46",""
"23059","OptBtn","OptBtnDCell","0","","2014-05-14 15:40:46",""
"23060","OptBtn","OptBtnDHome","0","","2014-05-14 15:40:46",""
"23061","OptBtn","OptBtnDWork","0","","2014-05-14 15:40:46",""
"23062","OptBtn","OptBtnMerge","0","","2014-05-14 15:40:46",""
"23063","OptBtn","OptBtnUpdContact","0","","2014-05-14 15:40:46",""
"23064","OptBtn","OptBtnNotes","0","","2014-05-14 15:40:46",""
"23065","OptBtn","OptBtnJob","0","","2014-05-14 15:40:46",""
"23066","OptBtn","OptBtnTicket","1","","2014-05-14 15:40:46",""
"23067","OptBtn","OptBtnSP","0","","2014-05-14 15:40:46",""
"23068","OptBtn","OptBtnLeads","0","","2014-05-14 15:40:46",""
