"OptionSetupID","Variable","Selected","FormName"
"14","OptBtnDCell","0","frmSupplierContactDetails"
"15","OptBtnDHome","0","frmSupplierContactDetails"
"16","OptBtnDWork","0","frmSupplierContactDetails"
"17","OptBtnJob","0","frmSupplierContactDetails"
"18","OptBtnTicket","0","frmSupplierContactDetails"
"19","OptBtnEmail","0","frmSupplierContactDetails"
"20","OptBtnAppt","1","frmSupplierContactDetails"
"21","OptBtnTask","0","frmSupplierContactDetails"
"22","OptBtnAct","0","frmSupplierContactDetails"
"23","OptBtnLogCallAdv","1","frmSupplierContactDetails"
"24","OptBtnLogCall","0","frmSupplierContactDetails"
"25","OptBtnNew","0","frmSupplierContactDetails"
"26","OptBtnSSMS","0","frmSupplierContactDetails"
