"CallLogNotifyID","CallLogID","NotifyID"
"1","286","1"
"2","286","351"
"3","289","1"
"5","292","1"
"7","294","1"
"8","296","1"
"23","303","1"
"16","298","1"
"15","301","1"
"24","315","1"
"25","315","353"
"26","315","354"
"27","316","355"
"34","319","1"
"35","319","357"
"37","335","1"
"40","339","1"
"42","346","361"
"43","347","1"
"45","359","1"
"47","367","378"
"105","368","372"
"51","378","378"
"52","381","372"
"53","401","369"
"54","402","378"
"55","402","369"
"65","406","1"
"66","406","378"
"67","406","369"
"68","406","370"
"69","406","380"
"70","406","373"
"71","406","372"
"72","406","379"
"73","406","376"
"74","410","378"
"75","412","372"
"76","422","378"
"78","424","378"
"79","430","369"
"80","431","369"
"81","431","372"
"85","437","1"
"86","437","378"
"87","437","369"
"115","428","369"
"116","428","372"
"94","455","379"
"97","468","378"
"99","471","378"
"102","483","378"
"106","484","369"
"107","484","380"
"112","521","372"
"122","515","379"
"136","600","389"
"124","536","372"
"137","600","376"
"138","603","369"
"140","631","372"
"142","649","372"
"143","650","378"
"144","664","372"
"150","677","378"
"151","678","373"
"156","670","379"
"165","694","380"
"161","690","372"
"167","698","378"
"168","699","379"
"214","782","373"
"172","721","380"
"180","734","394"
"181","735","378"
"183","737","378"
"215","782","382"
"225","783","373"
"227","835","378"
"229","847","378"
"230","851","394"
"231","851","378"
"232","874","370"
"233","885","370"
"234","886","370"
"235","918","373"
"236","920","370"
"237","920","382"
"240","956","378"
"241","956","369"
"244","998","394"
"245","998","369"
"246","1008","372"
"247","1009","372"
"248","1011","369"
"280","1073","394"
"255","968","394"
"314","1078","372"
"313","1079","372"
"311","1082","372"
"268","1095","378"
"274","1098","394"
"275","1098","378"
"310","1110","372"
"309","1122","372"
"308","1123","372"
"307","1126","372"
"306","1145","372"
"283","1147","370"
"305","1152","372"
"285","1155","369"
"304","1177","372"
"302","1179","372"
"301","1184","372"
"300","1192","372"
"299","1199","372"
"294","1207","373"
"298","1208","372"
"297","1230","372"
"312","1081","372"
"315","957","369"
"316","777","373"
"317","1236","372"
"318","1239","372"
"319","1245","378"
"10","297","1"
"21","302","1"
"19","299","1"
"82","432","372"
"83","433","372"
"84","434","372"
"88","439","372"
"89","449","372"
"90","449","376"
"95","461","372"
"96","463","372"
"127","545","372"
"128","552","372"
"129","533","382"
"119","528","378"
"120","528","376"
"121","529","376"
"149","675","369"
"162","685","372"
"130","537","369"
"131","537","370"
"262","1086","370"
"263","1087","370"
"264","1089","370"
"266","1090","370"
"152","669","378"
"153","669","379"
"154","679","378"
"155","679","373"
"177","681","378"
"178","681","373"
"160","689","378"
"163","692","378"
"164","693","378"
"169","705","378"
"175","724","378"
"176","725","378"
"184","732","373"
"182","736","378"
"202","738","378"
"187","743","379"
"188","745","1"
"203","752","372"
"196","755","378"
"197","755","370"
"193","760","378"
"194","761","378"
"195","757","378"
"198","755","382"
"222","762","380"
"209","763","380"
"201","764","382"
"204","754","394"
"205","715","373"
"206","768","370"
"207","768","382"
"211","769","373"
"212","775","369"
"218","788","1"
"219","788","394"
"220","788","378"
"226","811","373"
"224","803","373"
"228","842","380"
"251","1013","369"
"252","1028","378"
"286","1176","369"
"287","1176","380"
