"ChangeID","dateAdded","datemodified","Fname","UserID","ChangeType","Description","ModifiedUserid","Status","ScreenShot","SentFromCompany","SentFromDivision","Sent"
"9","2010-01-18 14:18:17","2011-09-06 12:17:13","frmLeaveRequest - Leave Request - Granted","1","Bug","After leave got approved for the second time the employee details disapperars all looks jaggered
Check the approval process
fix leave opening balance
fix carried forward when employment date expires
Check Email Sending 
Add in Chads Overtime leave module

","340","","","","","1"
"10","2010-01-18 14:30:28","2010-01-18 14:35:15","frmContactMan - Company Contacts","1","New Idea","See if we can build a system where you can select what need to be viewed in the right click and options button
Make sure all create quote opiton in right click and options button open a new quote (Sales order)
","1","","","","","1"
"13","2010-01-18 14:37:45","2010-01-18 14:39:16","frmAccCostEstimateDetails - Quote Details","1","Bug","Fix the Finance Details - totals seem to be incorrect - check in all areas (Entities and Accounting docs)","1","","","","","1"
"14","2010-01-18 14:41:05","2011-09-20 10:07:32","frmAccDebtorQuote - Client Sales Order","1","Bug","Fix Job System - check and test when creating or adding to an existing job","1","Waiting for approval","unknown_value_please_contact_support","","","1"
"15","2010-01-18 14:50:52","2011-09-20 09:48:55","frmJobDetails - Job Details","1","Change Request","Add in Function to print a job card
Check all detail on job form say job
Update create option
Add in additional stock item tab","1","","unknown_value_please_contact_support","","","1"
"16","2011-09-20 10:04:00","2011-10-07 12:50:26","frmEntityDetails - Client Details   [  ]","1","Other","This is a test change control.","1","Waiting for approval","unknown_value_please_contact_support","","","1"
"18","2011-10-07 12:50:37","2011-10-07 12:51:52","frmClientActivityDetails - Client Activity Details","1","Bug","Fix the error with the client activity list view (Not displaying anything).","1","Waiting for approval","unknown_value_please_contact_support","","","0"
"19","2011-10-12 08:30:22","2011-10-12 08:30:39","frmAccDebtorsMan - Debtors Control","1","Other","We had another year end due changing our financial reporting from March-Feb to Oct2011- Sept2012. I create a new company as suggested by Pastel - name is LAPPGR . Can you kindly change Fusion mapping accordingly? Not certain how the period changes is effecting Fusion?","1","Waiting for approval","unknown_value_please_contact_support","","","0"
"20","2011-10-28 08:43:26","2011-10-28 08:44:14","frmAccDebtorsMan - Debtors Control","1","Bug","Hal to investigate and correct the incorrect abriviations on Lapps integration engine - see email from vannessa","1","Waiting for approval","unknown_value_please_contact_support","","","0"
"21","2011-10-28 08:44:32","2011-10-28 08:45:18","frmAccDebtorsMan - Debtors Control","1","Bug","All sales orders went into Pastel and blocked the stock but there was no line items in the orders, the sales orders had totals though","1","Waiting for approval","unknown_value_please_contact_support","","","0"
"22","2011-10-28 13:19:05","2011-10-28 13:19:24","frmEntityDetails - Client Details   [ Demo Company ]","1","Other","Decimals on the credit limit on acc info tab are not correct,  And then Grey out the field, make sure on the quote it pulls the credit limit through correctly","1","Waiting for approval","unknown_value_please_contact_support","","","0"
"23","2011-10-28 13:19:33","2011-10-28 13:19:39","frmEntityDetails - Client Details   [ Demo Company ]","1","Other","payment terms needs to be greyed out","1","Waiting for approval","unknown_value_please_contact_support","","","0"
"24","2011-10-28 13:20:26","2011-10-28 13:20:29","frmEntityMan - Company Details","1","Other","Sales pool - move all clients that are assigned to ex staff to sales pool ","1","Waiting for approval","unknown_value_please_contact_support","","","0"
"25","2011-10-28 13:20:49","2011-10-28 13:20:54","frmEntityMan - Company Details","1","Other","DVD search - when you ticked that the DVD was sent then wanna search on it you need to search for all clients that was sent DVDs in that month or date etc....","1","Waiting for approval","unknown_value_please_contact_support","","","0"
"26","2011-10-28 13:21:32","2011-10-28 13:22:21","frmEntityMan - Company Details","1","Other","All drop downs in the system that show sales consultants need to bring through all the users not just sales consultant","1","Waiting for approval","unknown_value_please_contact_support","","","0"
"27","2011-10-28 13:23:50","2011-10-28 13:24:55","frmAccCreditorOrder - Purchase Order [1] - Created by: Admin Admin","1","Other","Create a extra field for the clients name that the purchase order is for into a field called client name, they make all there purchase orders to lapp as the supplier but need a place to insert the clients name. The name must pull from the order if they create a po from an order ","1","Waiting for approval","unknown_value_please_contact_support","","","0"
"28","2011-10-28 13:25:14","2011-10-28 13:25:57","frmEntityDetails - Client Details   [ Demo Company ]","1","Other","they need to be able to search on the financial info screen for doc type and date and part number and description from the line items ","1","Waiting for approval","unknown_value_please_contact_support","","","0"
"29","2011-10-28 13:26:02","2011-10-28 13:26:18","frmEntityMan - Company Details","1","Other","Favorites tab not working - does not launch anything","1","Waiting for approval","unknown_value_please_contact_support","","","0"
"30","2011-11-02 12:47:39","2011-11-02 12:47:50","frmChangeControlMan - Change Control Management","1","Bug","Date filter errors.","1","Waiting for approval","unknown_value_please_contact_support","","","0"
"31","2011-11-21 11:23:13","2011-11-21 11:24:16","frmTreeView - TreeView","1","Bug","Tree view on the GLP task- when openning SQL error appears 

Error -2147217865: Invalid object name 'sysSetup'.

SQL Statement: 
select top 1 * from sysSetup  WHERE (([sysSetupid] is null ))","1","Waiting for approval","unknown_value_please_contact_support","","","0"
"32","2011-11-21 11:29:11","2011-11-21 11:30:43","frmUserMan - User Management","1","Bug","the tick for only show active does not function as it is supposed to, admin is active but when loading the user management it does not show active users although show active has been ticked ","1","Waiting for approval","unknown_value_please_contact_support","","","0"
"33","2011-11-21 11:31:18","2011-11-21 11:32:49","frmUserMan - User Management","1","Bug","user level needs to default to all, this only defaults to all once clear search has been selected ","1","Waiting for approval","unknown_value_please_contact_support","","","0"
