"CustomCtrlID","CtrlFormName","CtrlName","CtrlType","CtrlCaption","CtrlTabOrderIndex","IsRequired","DependantOnControl","DependantOnContents","IsHidden","ProfileID"
"155","Global","Company","Label","Stakeholder","","0","","","0",""
"168","Global","Sales Rep","Label","Consultant","","0","","","0",""
"169","Global","Contact / Company","Label","Contact / Stakeholder","","0","","","0",""
"170","Global","Company ID","Label","Stakeholder ID","","0","","","0",""
"171","frmEntityMan","fraTop","Collapser","Property Search Criteria","53","0","","","0",""
"172","frmEntityMan","frmEntityMan","Form","Property","","0","","","0",""
"173","frmContactMan","frmContactMan","Form","Contacts","","0","","","0",""
"174","Global","Company Details","Label","Stakeholder Details","","0","","","0",""
"175","Global","Company/Contact","Label","Stakeholder/Contact","","0","","","0",""
"176","Global","Account Number","Label","Pastel Number","","0","","","0",""
"177","frmEntityDetails","tabFrame","WhiteTab2","","","0","","","0",""
"178","frmEntityDetails","txtLegalName","TextBox","","2","1","","","0",""
"179","frmEntityDetails","txtAccountNum","TextBox","","1","1","","","0",""
"180","frmEntityDetails","cboBusCat","ComboBox","","11","1","","","0",""
"186","frmEntityDetails","Text4","TextBox","","7","1","","","0",""
"187","frmAddressDetails","Combo1","ComboBox","","0","0","","","0",""
"188","frmAddressDetails","Text1","TextBox","","1","0","","","0",""
"189","frmAddressDetails","Text2","TextBox","","2","0","","","0",""
"190","frmAddressDetails","Label1","Label","Address Type","","0","","","0",""
"191","frmAddressDetails","Label2","Label","# and Road","","0","","","0",""
"192","frmAddressDetails","Label3","Label","Complex","","0","","","0",""
"193","frmAddressDetails","Label4","Label","Complex #","","0","","","0",""
"194","frmAddressDetails","cboCity","ComboBox","","4","0","","","0",""
"195","frmEntityDetails","Text5","TextBox","","8","0","","","0",""
"200","frmEntityDetails","lblSalescons","Label","Sales Person","","0","","","0",""
"201","frmEntityDetails","lblIndustry","Label","Industry","","0","","","1",""
"202","frmEntityDetails","cboIndustry","ComboBox","","18","0","","","1",""
"203","frmEntityDetails","lblABC","Label","Status","","0","","","0",""
"204","frmEntityDetails","cboABC","ComboBox","","15","1","","","0",""
"205","frmEntityMan","lblABC","Label","Status","","0","","","0",""
"206","frmEntityDetails","Label40","Label","ERF Number","","0","","","0",""
"207","frmEntityDetails","txtVendor","TextBox","","4","0","","","0",""
"208","frmEntityDetails","Label9","Label","Main Number","","0","","","0",""
"212","frmContactMan","cmdCall","OfficeXPButton","Ca&lls","34","0","","","1",""
"213","frmContactMan","cmdAddToCampaign","OfficeXPButton","&Add To Campaign","35","0","","","1",""
"214","frmContactMan","cmsSMS","OfficeXPButton","S&MS","32","0","","","1",""
"215","frmContactDetails","txtFName","TextBox","","4","1","","","0",""
"216","frmContactDetails","txtSName","TextBox","","5","1","","","0",""
"217","frmContactDetails","cboType","ComboBox","","15","1","","","0",""
"218","frmContactDetails","Text2","TextBox","","9","1","","","0",""
"219","frmContactDetails","Text6","TextBox","","11","1","","","0",""
"220","frmContactDetails","Text8","TextBox","","25","1","","","0",""
"221","frmContactDetails","Label2","Label","Home Tel No","","0","","","0",""
"222","frmContactDetails","Label7","Label","Direct Work No","","0","","","0",""
"223","frmEntityMan","Label1","Label","Property","","0","","","0",""
"224","frmContactDetails","lblType","Label","Keyholder","","0","","","0",""
"225","frmEntityDetails","Label22","Label","Property","","0","","","0",""
"226","frmEntityDetails","Label13","Label","Reference No","","0","","","1",""
"227","frmEntityDetails","Text7","TextBox","","5","0","","","1",""
"228","frmLogCallAdv","frmLogCallAdv","Form","log Interaction","","0","","","0",""
"229","frmContactDetails","label5","Label","Home Num","","0","","","0",""
"230","frmContactDetails","fraDetailsTab","WhiteTab2","","","0","","","0",""
"231","frmCallsQuickFind","Label1","Label","Property","","0","","","0",""
"232","frmContactMan","Label1","Label","Name/Property","","0","","","0",""
"233","frmContactMan","chkByField","CheckBox","Search By:","73","0","","","1",""
"234","frmContactMan","cboField","ComboBox","","1","0","","","1",""
"235","frmContactMan","lblABC","Label","Status","","0","","","0",""
"236","frmContactDetails","lblABC","Label","Status","","0","","","0",""
"237","frmTaskReminderMan","fraTop","Collapser","Minutes Manager","40","0","","","0",""
"238","frmTaskReminderMan","frmTaskReminderMan","Form","Minutes Manager","","0","","","0",""
"239","frmTaskReminderMan","Label2","Label","Minutes Name","","0","","","0",""
"240","frmActionDetails","cboUser","ComboBox","","1","1","","","0",""
"241","frmActionDetails","cboBitType","ComboBox","","2","1","","","0",""
"242","frmLogCallAdv","Label6","Label","Assign Task","","0","","","0",""
"243","frmSupplierMan","frmSupplierMan","Form","Supplier Details","","0","","","0",""
"244","Global","Supplier Management","Label","Supplier Details","","0","","","0",""
"245","frmLogTicketMan","frmLogTicketMan","Form","Incident Manager","","0","","","0",""
"246","frmLogTicketMan","fraTop","Collapser","Incident Manager","25","0","","","0",""
"247","frmLogTicketNew","Label8","Label","Incident No","","0","","","0",""
"248","frmLogTicketNew","Label18","Label","Incident Type","","0","","","0",""
"249","frmLogCallAdv","cboCallType","ComboBox","","4","1","","","0",""
"250","frmLogCallAdv","Text2","TextBox","","5","1","","","0",""
"251","frmLogCallAdv","dtpDate","DTPicker","","0","0","","","0",""
"252","frmLogCallAdv","cboResult","ComboBox","","8","1","","","0",""
"253","frmLogCallAdv","cboCallDir","ComboBox","","1","1","","","0",""
"254","frmTasksDetails","Label5","Label","Chairman","","0","","","0",""
"255","frmTasksDetails","Label2","Label","Apologies","","0","","","0",""
"256","frmContactMan","Industry","Label","Industry","","0","","","1",""
"257","frmContactMan","cboIndustry","ComboBox","","7","0","","","1",""
"258","frmContactMan","Label13","Label","Department","","0","","","1",""
"259","frmContactMan","cboDepartment","ComboBox","","15","0","","","1",""
"260","frmContactMan","Label14","Label","Title","","0","","","0",""
"261","frmActivityReportCombo","Label5","Label","Property/Contact","","0","","","0",""
"262","frmSupplierDetails","lblBusCat","Label","Bus. Cat.","","0","","","1",""
"263","frmSupplierDetails","cmdCbuscat","OfficeXPButton","","193","0","","","1",""
"264","frmSupplierDetails","cboBusCat","ComboBox","","7","0","","","1",""
"265","frmSupplierDetails","lblType","Label","Type","","0","","","1",""
