"ID","FormName","Class","Value"
"51","frmcontactdetails","contactid",""
"52","frmcontactdetails","cell",""
"53","frmcontactdetails","directfax",""
"54","frmcontactdetails","directtel",""
"55","frmcontactdetails","ext",""
"56","frmcontactdetails","surname",""
"57","frmcontactdetails","firstname",""
"58","frmcontactdetails","name",""
"59","frmcontactdetails","title",""
"60","frmcontactdetails","company",""
"61","frmcontactdetails","contacttype",""
"62","frmcontactdetails","alternate",""
"63","frmcontactdetails","moc",""
"64","frmcontactdetails","birthdate",""
"65","frmcontactdetails","homephone",""
"66","frmcontactdetails","department",""
"67","frmcontactdetails","country",""
"68","frmcontactdetails","code",""
"69","frmcontactdetails","state",""
"70","frmcontactdetails","city",""
"71","frmcontactdetails","address3",""
"72","frmcontactdetails","address2",""
"73","frmcontactdetails","address1",""
"74","frmcontactdetails","pocountry",""
"75","frmcontactdetails","poaddress1",""
"76","frmcontactdetails","poaddress2",""
"77","frmcontactdetails","poaddress3",""
"78","frmcontactdetails","pocity",""
"79","frmcontactdetails","postate",""
"80","frmcontactdetails","pocode",""
"81","frmcontactdetails","assext",""
"82","frmcontactdetails","assphone",""
"83","frmcontactdetails","assname",""
"84","frmcontactdetails","createdby",""
"85","frmcontactdetails","created",""
"86","frmcontactdetails","lastmodified",""
"87","frmcontactdetails","modifiedby",""
"88","frmcontactdetails","spouse",""
"89","frmcontactdetails","hobbytype",""
"90","frmcontactdetails","asstitle",""
"91","frmentitydetails","tradingas",""
"92","frmentitydetails","legalname",""
"93","frmapptdetails","apptActions",""
"94","frmapptdetails","apptNotes",""
"95","frmapptdetails","apptSubject",""
"96","frmapptdetails","apptClientRel",""
