"userdocID","userid","DocID"
"1","1","2551"
"2","1","3300"
"5","336","2552"
"6","336","2553"
"7","336","4234"
"8","336","4235"
"9","336","4236"
"10","336","4237"
"11","336","2551"
"12","336","4232"
"13","336","4233"
"14","336","3300"
"15","336","3301"
"16","336","3302"
"17","336","4219"
"18","1","4281"
"19","1","4282"
"20","1","4370"
"21","1","4283"
"22","1","4368"
"23","1","4369"
"24","343","4281"
"25","343","4369"
"26","343","4283"
"30","341","4370"
"31","342","4370"
"32","1","5345"
"33","1","5346"
"34","1","5347"
"35","1","5454"
"54","348","5347"
"55","348","5454"
"56","348","5346"
"57","348","5345"
"58","347","5345"
"59","347","5346"
"60","347","5347"
"61","347","5454"
"65","1","5833"
"73","370","5833"
"74","371","5831"
"75","371","5832"
"76","371","5833"
"77","371","6316"
"84","373","5833"
"86","374","5831"
"87","374","5832"
"88","374","5833"
"89","374","6316"
"90","375","5831"
"91","375","5832"
"92","375","5833"
"93","375","6316"
"94","376","5831"
"95","376","5832"
"96","376","5833"
"97","376","6316"
"98","376","6656"
"100","394","5833"
"159","382","5833"
"174","378","5832"
"175","378","6656"
"176","378","6702"
"177","378","6701"
"178","378","6700"
"179","378","6703"
"180","378","6704"
"181","378","6316"
"182","378","6709"
"183","378","5831"
"184","378","6705"
"185","378","6699"
"186","378","6712"
"187","378","6713"
"188","378","6711"
"189","378","6710"
"190","379","5832"
"191","379","6656"
"192","379","6702"
"193","379","6701"
"194","379","6700"
"195","379","6703"
"196","379","6704"
"197","379","6316"
"198","379","6709"
"199","379","5831"
"200","379","6705"
"201","379","6699"
"202","379","6712"
"203","379","6713"
"204","379","6711"
"205","379","6710"
"206","394","5832"
"207","394","6656"
"208","394","6702"
"209","394","6701"
"210","394","6700"
"211","394","6703"
"212","394","6704"
"213","394","6316"
"214","394","6709"
"215","394","5831"
"216","394","6705"
"217","394","6699"
"218","394","6712"
"219","394","6713"
"220","394","6711"
"221","394","6710"
"222","380","5832"
"238","373","5832"
"239","373","6656"
"240","373","6702"
"241","373","6701"
"242","373","6700"
"243","373","6703"
"244","373","6704"
"245","373","6316"
"246","373","6709"
"247","373","5831"
"248","373","6705"
"249","373","6699"
"250","373","6712"
"251","373","6713"
"252","373","6711"
"253","373","6710"
"254","369","5832"
"255","369","6656"
"256","369","6702"
"257","369","6701"
"258","369","6700"
"259","369","6703"
"260","369","6704"
"261","369","6316"
"262","369","6709"
"263","369","5831"
"264","369","6705"
"265","369","6699"
"266","369","6712"
"267","369","6713"
"268","369","6711"
"269","369","6710"
"270","382","5832"
"271","382","6656"
"272","382","6702"
"273","382","6701"
"274","382","6700"
"275","382","6703"
"276","382","6704"
"277","382","6316"
"278","382","6709"
"279","382","5831"
"280","382","6705"
"281","382","6699"
"282","382","6712"
"283","382","6713"
"284","382","6711"
"285","382","6710"
"286","389","5832"
"287","389","6656"
"288","389","6702"
"289","389","6701"
"290","389","6700"
"291","389","6703"
"292","389","6704"
"293","389","6316"
"294","389","6709"
"295","389","5831"
"296","389","6705"
"297","389","6699"
"298","389","6712"
"299","389","6713"
"300","389","6711"
"301","389","6710"
"302","386","5832"
"303","386","6656"
"304","386","6702"
"305","386","6701"
"306","386","6700"
"307","386","6703"
"308","386","6704"
"309","386","6316"
"310","386","6709"
"311","386","5831"
"312","386","6705"
"313","386","6699"
"314","386","6712"
"315","386","6713"
"316","386","6711"
"317","386","6710"
"318","387","5832"
"319","387","6656"
"320","387","6702"
"321","387","6701"
"322","387","6700"
"323","387","6703"
"324","387","6704"
"325","387","6316"
"326","387","6709"
"327","387","5831"
"328","387","6705"
"329","387","6699"
"330","387","6712"
"331","387","6713"
"332","387","6711"
"333","387","6710"
"334","384","5832"
"335","384","6656"
"336","384","6702"
"337","384","6701"
"338","384","6700"
"339","384","6703"
"340","384","6704"
"341","384","6316"
"342","384","6709"
"343","384","5831"
"344","384","6705"
"345","384","6699"
"346","384","6712"
"347","384","6713"
"348","384","6711"
"349","384","6710"
"350","390","5832"
"351","390","6656"
"352","390","6702"
"353","390","6701"
"354","390","6700"
"355","390","6703"
"356","390","6704"
"357","390","6316"
"358","390","6709"
"359","390","5831"
"360","390","6705"
"361","390","6699"
"362","390","6712"
"363","390","6713"
"364","390","6711"
"365","390","6710"
"366","372","5832"
"367","372","6656"
"368","372","6702"
"369","372","6701"
"370","372","6700"
"371","372","6703"
"372","372","6704"
"373","372","6316"
"374","372","6709"
"375","372","5831"
"376","372","6705"
"377","372","6699"
"378","372","6712"
"379","372","6713"
"380","372","6711"
"381","372","6710"
"382","388","5832"
"383","388","6656"
"384","388","6702"
"385","388","6701"
"386","388","6700"
"387","388","6703"
"388","388","6704"
"389","388","6316"
"390","388","6709"
"391","388","5831"
"392","388","6705"
"393","388","6699"
"394","388","6712"
"395","388","6713"
"396","388","6711"
"397","388","6710"
"398","391","5832"
"399","391","6656"
"400","391","6702"
"401","391","6701"
"402","391","6700"
"403","391","6703"
"404","391","6704"
"405","391","6316"
"406","391","6709"
"407","391","5831"
"408","391","6705"
"409","391","6699"
"410","391","6712"
"411","391","6713"
"412","391","6711"
"413","391","6710"
"414","370","5832"
"415","370","6656"
"416","370","6702"
"417","370","6701"
"418","370","6700"
"419","370","6703"
"420","370","6704"
"421","370","6316"
"422","370","6709"
"423","370","5831"
"424","370","6705"
"425","370","6699"
"426","370","6712"
"427","370","6713"
"428","370","6711"
"429","370","6710"
"430","385","5832"
"431","385","6656"
"432","385","6702"
"433","385","6701"
"434","385","6700"
"435","385","6703"
"436","385","6704"
"437","385","6316"
"438","385","6709"
"439","385","5831"
"440","385","6705"
"441","385","6699"
"442","385","6712"
"443","385","6713"
"444","385","6711"
"445","385","6710"
"446","393","5832"
"447","393","6656"
"448","393","6702"
"449","393","6701"
"450","393","6700"
"451","393","6703"
"452","393","6704"
"453","393","6316"
"454","393","6709"
"455","393","5831"
"456","393","6705"
"457","393","6699"
"458","393","6712"
"459","393","6713"
"460","393","6711"
"461","393","6710"
"462","1","5832"
"463","1","6656"
"464","1","6702"
"465","1","6701"
"466","1","6700"
"467","1","6703"
"468","1","6704"
"469","1","6316"
"470","1","6709"
"471","1","5831"
"472","1","6705"
"473","1","6699"
"474","1","6712"
"475","1","6713"
"476","1","6711"
"477","1","6710"
