"EntityDivisionID","EntityID","DivisionID"
"40745","66865","5830"
"44465","68245","5830"
"52613","","5830"
"53968","","5830"
"53969","","5830"
"54135","","5830"
"54172","","5830"
"54173","","5830"
"54215","","5830"
"54216","","5830"
"54245","68319","5830"
"54249","","5830"
"54255","","5830"
"54337","68328","5830"
"54339","68329","5830"
"54483","68336","5830"
"54484","","5830"
"54533","","5830"
"54534","","5830"
"54710","","5830"
"54775","68371","5830"
"54806","68372","5830"
"54828","","5830"
"55259","68411","5830"
"55940","","5830"
"55947","68514","5830"
"56001","","5830"
"56330","","5830"
"56345","","5830"
"56354","","5830"
"56447","68610","5830"
"56516","","5830"
"56736","68674","5830"
"56858","68702","5830"
"56891","","5830"
"56934","","5830"
"56939","","5830"
"56940","","5830"
"56945","","5830"
"56985","68334","5830"
"56986","68737","5830"
"56993","68740","5830"
"57088","","5830"
"57285","","5830"
"57495","68858","5830"
"57514","","5830"
"57562","","5830"
"57570","","5830"
"57598","68887","5830"
"57668","","5830"
"57769","","5830"
"57774","","5830"
"57819","68934","5830"
"57822","68932","5830"
"57854","68944","5830"
"57898","","5830"
"57909","68960","5830"
"57966","","5830"
"57969","68981","5830"
"57992","68991","5830"
"58002","68995","5830"
"58044","","5830"
"58053","69014","5830"
"58063","69017","5830"
"58083","69025","5830"
"58088","","5830"
"58204","68320","5830"
"58205","69046","5830"
"58206","68321","5830"
"58207","68322","5830"
"58208","68323","5830"
"58209","68324","5830"
"58210","68325","5830"
"58211","68326","5830"
"58306","68900","5830"
"58317","","5830"
"58355","69060","5830"
"58452","69072","5830"
"58552","","5830"
"58697","68867","5830"
"58715","68876","5830"
"58787","68922","5830"
"58789","68923","5830"
"58791","68924","5830"
"58793","68925","5830"
"58795","68926","5830"
"58797","68927","5830"
"58799","68928","5830"
"58803","68930","5830"
"58807","68931","5830"
"58810","68933","5830"
"58812","68935","5830"
"58816","68937","5830"
"58818","68938","5830"
"58820","68939","5830"
"58822","68940","5830"
"58824","68941","5830"
"58826","68942","5830"
"58827","68936","5830"
"58829","68943","5830"
"58833","68945","5830"
"58903","68979","5830"
"58905","68980","5830"
"58908","68982","5830"
"58910","68983","5830"
"58913","68984","5830"
"58915","68985","5830"
"58917","68986","5830"
"58920","68987","5830"
"58922","68988","5830"
"58924","68989","5830"
"58926","68990","5830"
"58928","68992","5830"
"58930","68993","5830"
"58934","68994","5830"
"58938","68996","5830"
"58942","68997","5830"
"58944","68998","5830"
"58946","68999","5830"
"58948","69000","5830"
"58950","69001","5830"
"58952","69002","5830"
"58954","69003","5830"
"58957","69004","5830"
"58959","69005","5830"
"58961","69006","5830"
"58963","69007","5830"
"58965","69008","5830"
"58967","69009","5830"
"58971","69011","5830"
"58973","69012","5830"
"58975","69013","5830"
"58977","69015","5830"
"58989","69021","5830"
"58991","69022","5830"
"58993","69023","5830"
"58995","69024","5830"
"58997","69026","5830"
"59002","69028","5830"
"59004","69029","5830"
"59006","69030","5830"
"59008","69031","5830"
"59010","69032","5830"
