"EntityGroupID","EntityID","GroupID"
"22948","","6364"
"24530","69072","6370"
"29555","","6637"
"34899","69396","6370"
"37805","66875","6689"
"38845","68147","6690"
"45168","","6674"
"51381","","6370"
"53978","69540","6370"
"57523","69629","6364"
"57795","67540","6681"
"60114","69560","6687"
"60836","73928","6690"
"63537","73554","6689"
"67323","67928","6689"
"67854","","6689"
"68742","70513","6637"
"68978","73916","6364"
"69075","73931","6637"
"69076","73931","6674"
"70214","","6684"
"70444","69320","6364"
"70925","69482","6364"
"72757","67096","6684"
"72777","71188","6637"
"72810","69536","6637"
"72811","72185","6637"
"72814","72217","6637"
"72838","67137","6684"
"72855","74352","6674"
"72871","71421","6364"
"72872","67365","6364"
"72873","67365","6691"
"72879","70546","6370"
"72880","69237","6364"
"72895","72149","6637"
"72925","73307","6684"
"72934","67961","6674"
"72951","70862","6370"
"72956","67585","6674"
"72957","71189","6637"
"72962","67101","6370"
"72963","67101","6684"
"72997","74314","6637"
"72999","72219","6637"
"73008","69117","6637"
"73009","69571","6364"
"73010","69571","6691"
"73062","69253","6637"
"73077","72220","6637"
"73095","69343","6684"
"73104","67099","6364"
"73105","67099","6691"
"73125","71191","6637"
"73149","68151","6364"
"73150","68151","6687"
"73163","69500","6674"
"73165","72187","6637"
"73171","74355","6684"
"73189","67405","6684"
"73211","67213","6674"
"73233","73917","6684"
"73236","74298","6364"
"73238","69553","6637"
"73239","66897","6691"
"73249","72221","6637"
"73253","69875","6364"
"73254","69875","6684"
"73260","73388","6370"
"73303","69114","6637"
"73339","69407","6364"
"73341","67948","6689"
"73348","73161","6637"
"73354","72152","6637"
"73369","73389","6674"
"73391","70510","6674"
"73403","71143","6364"
"73418","69925","6364"
"73419","69925","6674"
"73435","72223","6637"
"73477","73163","6637"
"73483","69891","6684"
"73500","67323","6684"
"73504","67768","6684"
"73507","74329","6364"
"73525","69551","6364"
"73548","67036","6674"
"73549","73505","6684"
"73562","68729","6674"
"73580","72225","6637"
"73581","67397","6684"
"73625","67537","6691"
"73646","72226","6637"
"73672","67985","6674"
"73686","69622","6691"
"73728","73167","6637"
"73776","67739","6364"
"73777","67739","6674"
"73791","73932","6637"
"73834","72156","6637"
"73836","73397","6364"
"73837","73397","6674"
"73849","70477","6675"
"73866","69497","6364"
"73870","71498","6364"
"73876","74022","6637"
"73877","74022","6684"
"73881","72157","6637"
"73886","72230","6637"
"73934","67284","6637"
"73935","67284","6674"
"73942","67545","6637"
"73943","67545","6684"
"73955","69351","6364"
"73964","69525","6364"
"73973","69533","6637"
"73978","72232","6637"
"73989","73286","6370"
"73995","69282","6364"
"74144","69654","6674"
"74181","67392","6364"
"74182","67392","6684"
"74188","73175","6637"
"74192","67719","6674"
"74200","72235","6637"
"74224","69562","6364"
"74259","66957","6364"
"74260","66957","6684"
"74311","72162","6637"
"74328","73180","6637"
"74340","73407","6364"
"74344","66911","6684"
"74382","67645","6364"
"74383","67645","6684"
"74385","67557","6674"
"74392","67650","6364"
"74393","67650","6691"
"74404","73534","6637"
"74429","71509","6364"
"74467","74285","6674"
"74491","72213","6637"
"74519","73908","6364"
"74742","69315","6364"
"74821","70548","6637"
"74831","67535","6637"
"74832","67535","6674"
"74833","67535","6716"
"74920","74306","6674"
"74939","70748","6637"
"74967","71518","6370"
"74972","67952","6674"
"74976","68198","6674"
"74979","72146","6637"
"74994","74191","6689"
"75061","73343","6370"
"75093","74088","6364"
"75094","74088","6370"
"75095","74088","6684"
"75100","67234","6684"
"75123","73489","6684"
"75143","74326","6691"
"75177","67662","6637"
"75197","69529","6674"
"75237","67938","6674"
"75239","69218","6674"
"75274","71254","6364"
"75346","69645","6637"
"75350","73145","6370"
"75409","69338","6364"
"75421","67573","6364"
"75422","67573","6370"
"75423","67573","6684"
"75446","69646","6637"
"75485","67064","6674"
"75494","67412","6370"
"75495","67412","6637"
"75496","67412","6684"
"75508","67840","6674"
"75509","69132","6364"
"75512","70296","6364"
"75522","69374","6364"
"75523","67067","6684"
"75534","67000","6674"
"75575","69894","6674"
"75622","68032","6370"
"75639","70664","6674"
"75665","73198","6637"
"75671","67777","6691"
"75762","74320","6674"
"75768","73516","6364"
"75786","67089","6674"
"75791","68191","6674"
"75792","68105","6370"
"75793","68105","6688"
"75796","73203","6637"
"75830","71244","6364"
"75853","73208","6637"
"75860","73209","6637"
"75868","73711","6364"
"75897","67625","6674"
"75898","73858","6364"
"75900","69692","6370"
"75926","73219","6637"
"75927","74302","6684"
"75998","69057","6370"
"76001","71590","6370"
"76025","67007","6370"
"76026","67007","6691"
"76040","67127","6691"
"76057","67417","6691"
"76068","67278","6691"
"76069","69258","6364"
"76079","72742","6364"
"76090","72946","6674"
"76091","69462","6364"
"76092","69462","6370"
"76103","67852","6674"
"76120","69580","6637"
"76121","69581","6637"
"76123","67904","6637"
"76124","69584","6637"
"76125","69585","6637"
"76133","69223","6637"
"76135","69492","6637"
"76145","69225","6364"
"76156","69071","6370"
"76218","74267","6691"
"76402","69494","6674"
"76507","67145","6716"
"76584","67559","6716"
"76585","67565","6716"
"76630","67904","6716"
"76649","68042","6716"
"76682","68380","6716"
"76713","69223","6716"
"76729","69334","6716"
"76746","69431","6716"
"76757","69492","6716"
"76769","69580","6716"
"76770","69581","6716"
"76771","69584","6716"
"76772","69585","6716"
"76775","69589","6716"
"76778","69596","6716"
"76793","69679","6716"
"76799","69888","6716"
"76803","70069","6716"
"76816","70291","6716"
"76830","70328","6716"
"76863","70626","6716"
"76874","70745","6716"
"76875","70779","6716"
"76891","71324","6716"
"76909","72175","6716"
"76910","72178","6716"
"76962","73300","6716"
"76969","73457","6716"
"76982","73893","6716"
"76983","73932","6716"
"76991","74123","6716"
"77013","74361","6716"
"77189","70483","6364"
"77261","69896","6674"
"77263","69452","6637"
"77267","69379","6637"
"77465","67903","6364"
"77466","67903","6370"
"77467","67903","6691"
"77486","68376","6684"
"77515","69259","6637"
"77538","73552","6674"
"77700","69685","6637"
"77729","68118","6370"
"77730","68118","6687"
"77927","68374","6675"
"77937","69174","6674"
"78015","73275","6684"
"78105","67174","6364"
"78106","67174","6674"
"78108","69609","6364"
"78109","67755","6674"
"78110","69318","6364"
"78114","69704","6370"
"78122","69725","6364"
"78127","67999","6674"
"78135","69753","6364"
"78296","67954","6637"
"78298","70782","6637"
"78329","69640","6637"
"78372","70549","6364"
"78384","71403","6364"
"78456","70514","6364"
"78470","69263","6364"
"78477","70537","6364"
"78482","70540","6364"
"78483","70544","6370"
"78495","70563","6716"
"78502","70569","6370"
"78515","70574","6364"
"78529","69111","6370"
"78540","69197","6684"
"78568","73669","6364"
"78597","67140","6689"
"78614","67977","6691"
"78633","74139","6364"
"78659","70501","6637"
"78665","67667","6674"
"78669","73929","6674"
"78801","71609","6674"
"78815","70136","6364"
"78818","69427","6364"
"78851","67678","6637"
"78852","67678","6674"
"78974","68301","6674"
"78976","69480","6364"
"79049","67164","6364"
"79050","67164","6370"
"79051","67164","6691"
"79109","69437","6637"
"79239","73836","6364"
"79264","73181","6637"
"79301","67478","6364"
"79302","67478","6691"
"79366","74023","6674"
"79419","69980","6364"
"79430","73250","6716"
"79467","69921","6691"
"79532","69501","6674"
"79546","69316","6637"
"79554","72126","6637"
"79558","67696","6637"
"79559","67696","6674"
"79564","67454","6674"
"79567","72132","6674"
"79616","68117","6364"
"79617","68117","6675"
"79622","67915","6684"
"79727","67987","6674"
"79733","74064","6675"
"79754","74419","6364"
"79778","","6689"
"79785","74351","6691"
"79856","71517","6370"
"79878","67452","6674"
"79881","67581","6637"
"79882","67581","6674"
"79887","69163","6674"
"79892","67649","6637"
"79893","67649","6674"
"80002","70278","6364"
"80010","68164","6674"
"80021","68045","6674"
"80122","68492","6364"
"80227","69499","6364"
"80244","72160","6637"
"80246","73018","6716"
"80249","73051","6716"
"80298","70421","6364"
"80300","67621","6674"
"80305","69203","6364"
"80306","70426","6364"
"80307","74281","6364"
"80311","74234","6364"
"80316","70430","6364"
"80317","70430","6370"
"80319","70432","6364"
"80321","70433","6364"
"80322","70434","6364"
"80331","69383","6364"
"80333","74296","6364"
"80334","69556","6364"
"80336","70447","6364"
"80343","70454","6364"
"80344","74340","6364"
"80345","70456","6364"
"80358","67472","6637"
"80359","67472","6674"
"80363","68036","6684"
"80401","73127","6370"
"80424","69474","6674"
"80427","66896","6674"
"80428","69150","6674"
"80434","67146","6370"
"80435","67146","6674"
"80484","69436","6637"
"80485","69436","6716"
"80499","69604","6637"
"80500","69604","6674"
"80501","73225","6637"
"80503","69124","6637"
"80509","69248","6637"
"80512","73230","6637"
"80513","73231","6637"
"80515","69265","6637"
"80516","73233","6637"
"80518","69509","6637"
"80519","73235","6637"
"80520","69341","6637"
"80523","73237","6637"
"80524","69538","6637"
"80529","73247","6637"
"80530","73248","6637"
"80533","69226","6637"
"80535","73244","6637"
"80541","69405","6637"
"80542","69524","6637"
"80543","69246","6637"
"80544","69473","6637"
"80570","69623","6364"
"80571","69623","6370"
"80572","69623","6716"
"80598","71694","6370"
"80604","73197","6637"
"80628","73396","6364"
"80637","70383","6364"
"80832","73041","6674"
"80872","69837","6370"
"80873","69837","6684"
"81117","74387","6674"
"81147","69213","6637"
"81166","73859","6364"
"81386","72482","6716"
"81445","74467","6637"
"81456","68210","6674"
"81491","70436","6364"
"81500","69257","6364"
"81593","","6637"
"81604","69105","6364"
"81607","73405","6364"
"81637","74269","6674"
"81663","68732","6364"
