"LogTime","Event","Descr"
"2010-08-30 16:46:34","CONNECT","Connected to Test"
"2010-09-20 12:23:13","CONNECT","Connected to PASTELPART"
"2010-09-20 12:50:24","CONNECT","Connected to PASTELPART"
"2010-09-20 13:11:55","CONNECT","Connected to PASTELDEMO"
"2010-09-20 13:53:41","CONNECT","Connected to PASTELDEMO"
"2010-09-20 15:15:26","CONNECT","Connected to PASTELDEMO"
"2010-09-20 15:34:05","CONNECT","Connected to PASTELDEMO"
"2011-09-09 14:52:10","CONNECT","Connected to crm_Fusion_4"
"2011-09-09 14:52:12","CONNECT","Connected to Fusionsoft"
"2011-09-09 14:52:21","CONNECT","Connected to crm_Fusion_4"
"2011-09-09 14:52:21","CONNECT","Connected to Fusionsoft"
"2011-09-09 14:56:39","CONNECT","Connected to crm_fusion_4"
"2011-09-09 14:57:25","CONNECT","Connected to Fusionsoft"
"2011-10-13 11:24:45","CONNECT","Connected to DEMO"
"2010-09-20 14:04:24","CONNECT","Connected to PASTELDEMO"
"2010-09-20 14:05:39","NEW CUSTOMER","Added Demo Company                             to Pastel."
"2010-09-20 14:05:50","NEW INVENTORY ERROR","Unable to create inventory item STK001 in Pastel ()."
"2010-09-20 14:11:30","CONNECT","Connected to PASTELDEMO"
"2010-09-20 14:26:18","NEW INVENTORY ERROR","Unable to create inventory item STK001 in Pastel ()."
"2010-09-20 14:34:19","CONNECT","Connected to PASTELDEMO"
"2010-09-20 14:38:09","NEW INVENTORY ERROR","Unable to create inventory item STK001 in Pastel ()."
"2010-09-20 14:38:59","CONNECT","Connected to PASTELDEMO"
"2010-09-20 14:39:02","NEW INVENTORY ERROR","Unable to create inventory item STK001 in Pastel ()."
"2010-09-20 14:39:54","SO WRITE ERROR","Error writing Fusion Sales Order 1 into Pastel ()"
"2010-09-20 14:39:56","NEW CUSTOMER","Added Fusion Software                          to Pastel."
"2010-09-20 14:39:56","NEW INVENTORY ERROR","Unable to create inventory item STK001 in Pastel ()."
"2010-09-20 15:08:32","CONNECT","Connected to PASTELDEMO"
"2010-08-30 14:45:44","CONNECT","Connected to Test"
"2010-08-30 14:45:47","MISSING CUSTOMER","Unable to locate ""Demo Company"" in Pastel. Sales Order 1 could not be written."
"2010-08-30 14:45:48","SO WRITE ERROR","Error writing Fusion Sales Order 13 into Pastel (32|Con)"
"2010-08-30 14:45:48","SO WRITE ERROR","Error writing Fusion Sales Order 22 into Pastel (32|Con)"
"2010-08-30 14:48:38","CONNECT","Connected to Test"
"2010-08-30 14:48:39","MISSING CUSTOMER","Unable to locate ""Demo Company"" in Pastel. Sales Order 1 could not be written."
"2010-08-30 14:48:39","SO WRITE ERROR","Error writing Fusion Sales Order 13 into Pastel (32|Con)"
"2010-08-30 14:48:40","SO WRITE ERROR","Error writing Fusion Sales Order 22 into Pastel (32|Con)"
"2010-08-30 14:51:20","CONNECT","Connected to Test"
"2010-08-30 14:51:21","MISSING CUSTOMER","Unable to locate ""Demo Company"" in Pastel. Sales Order 1 could not be written."
"2010-08-30 14:51:21","SO WRITE ERROR","Error writing Fusion Sales Order 13 into Pastel (32|Con)"
"2010-08-30 14:51:21","SO WRITE ERROR","Error writing Fusion Sales Order 22 into Pastel (32|Con)"
"2010-08-30 14:51:56","NEW INVENTORY","Added new inventory  FR-12.BC_H to Pastel."
"2010-08-30 14:53:57","CONNECT","Connected to Test"
"2010-08-30 14:53:58","MISSING CUSTOMER","Unable to locate ""Demo Company"" in Pastel. Sales Order 1 could not be written."
"2010-08-30 14:53:58","SO WRITE ERROR","Error writing Fusion Sales Order 13 into Pastel (32|Con)"
"2010-08-30 14:53:58","SO WRITE ERROR","Error writing Fusion Sales Order 22 into Pastel (32|Con)"
"2011-09-09 14:55:20","CONNECT","Connected to crm_fusion_4"
"2011-09-09 14:55:25","CONNECT","Connected to Fusionsoft"
"2011-09-09 14:55:47","CONNECT","Connected to crm_fusion_4"
