"FieldMappingID","TableID","DBFieldName","XLFieldName","Rank","IsExportMapping"
"4","2048062382","Company","Company","14","0"
"5","2048062382","Switchboard","Phone1","55","0"
"12","579533148","Company","Company","32","0"
"13","579533148","Email","E-Mail","43","0"
"14","579533148","Fax","Fax Number","56","0"
"15","579533148","Surname","Surname","98","0"
"16","1644584947","Company","Company","2","0"
"17","1644584947","Contact","Contact","3","0"
"18","1644584947","ContactNo","ContactNo","4","0"
"19","1644584947","Email","Email","8","0"
