"FormID","FormName","Caption","GroupName"
"1","frmEntityMan","Company Management","Contacts"
"2","frmEntityDetails","Client Details","Contacts"
"3","frmContactMan","Company Contacts","Contacts"
"4","frmContactDetails","Contact Details","Contacts"
"5","frmProjectMan","Project  Management","Projects"
"6","frmProjectTeamMan","Project Team Management","Projects"
"7","frmProjectCalendar","Project Calendar","Projects"
"8","frmDevApptMan","My Project Tasks",""
"9","frmUserLevelMan","User Level Management",""
"10","frmAccGeneralJournal","General Journal Report",""
"11","frmAccCreditorsMan","Creditors Control","Creditors"
"12","frmAccReceiptStock","Goods Received Note","Creditors"
"13","frmAccStockAdjustReceipt","Stock Adjustment Details","Stock"
"14","frmUserLevelManagement","User Level Management",""
"15","frmCustomSetup","Custom Setup",""
"16","frmCustomSetupDetails","Custom Setup Details",""
"17","frmUserLevelDetails","User Level Details","Admin"
"18","frmAccCostEstimateMan","Cost Estimate Manager",""
"19","frmAccDebtorsMan","Debtors Control","Debtors"
"20","frmRequisition","Requisition Management",""
"21","frmStaffMan","Staff Management","HR"
"22","frmUserMan","User Management",""
"23","frmNavigation","Navigation",""
"24","frmEntityNavigation","Contact Navigation",""
"25","frmSupplierMan","Supplier Management",""
"26","frmSupplierContactMan","Supplier Contacts",""
"27","frmFunctionsNavigation","Functions Navigation",""
"28","frmCompanyNoticeBoard","Company Notice Board",""
"29","frmActivityMan","Manage Actions",""
"30","frmAuditTrail","Manage Audit Trail",""
"31","frmTaskReminderMan","Manage Task",""
"32","frmActivityManNew","Activity Report Manager",""
"33","frmAppFormOutlook","Application",""
"34","frmApptMan","Appointments",""
"35","frmCampaignMan","Manage Campaigns",""
"36","frmCampaignCapture","Capture Campaigns",""
"37","frmAggregateReportsMan","Campaign Report Manager",""
"38","frmSearchReport","Search Based Report",""
"39","frmAccordian","Sales Dashboards","Sales"
"40","frmCanvassingMan","Canvassing Manager",""
"41","frmLeadManager","Lead Manager",""
"42","frmSalesPipeline","Sales Pipe Line","Sales"
"43","frmAccSalesPipelineRPT","Sales Pipeline Report","Sales"
"44","frmDocumentMan","Document Manager",""
"45","frmDocumentDetails","Description",""
"46","frmDocumentFolderMan","Manage Doc Folders",""
"47","frmUserDetails","User Details","Admin"
"48","frmTypeMan","Type Management",""
"49","frmAccSecurityMan","Accounting Security Management",""
"50","frmAccSecurityDetails","Accounting Security Details",""
"51","frmDocMan","Document Setup",""
"52","frmChangeControlMan","Change Control Management",""
"53","frmChangeControlDetails","Change Control Details",""
"54","frmcustGUI","Customise Filters",""
"55","frmTypManDiv2","Customise",""
"56","frmSupplierDetails","Supplier Details",""
"57","frmSupplierContactDetails","Supplier Contact Details",""
"58","frmAccCostEstimateDetails","Cost Estimate Details",""
"59","frmAccCostEstimateItem","Cost Estimate Item",""
"60","frmApptDetails","Appointment Details",""
"61","frmReminders","Reminder",""
"62","frmLogCallAdv","Log Call",""
"63","frmSystemSetup","System Setup",""
"64","frmAccDebtorsControlMan","Debtors Age Analysis",""
"65","frmAccCreditorsControlMan","Creditors Control",""
"66","frmAccGLBudgetMan","Budget Income Statement",""
"67","frmAccDebtorInvoice","Client Invoice","Clients"
"68","frmAccBalanceSheet","Balance Sheet Report",""
"69","frmQualificationMan","Qualification Manager",""
"70","frmPFLearnerMan","Learner Management",""
"71","frmAccGeneralLedger","General Ledger",""
"72","frmAccBudgetMan","Budget Manager",""
"73","frmAccDebtorQuote","Client Sales Order","Clients"
"74","frmAccInvoicing","Debtor Documents",""
"75","frmAccDebtorPayment","Client Payment Receipt","Clients"
"76","frmAccDebtorCreditNote","Client Credit Note","Clients"
"77","frmAccDispatchStock","Dispatch Note",""
"78","frmAccGLEffect","GL Effect",""
"79","frmAccGLAccountMan","GL Account Manager",""
"80","frmAccGLAccountDetails","GL Account Details",""
"81","frmAccStockControlMan","Stock Control Management","Stock"
"82","frmAccStockTransferMan","Stock Transfer Management","Stock"
"83","frmAccCreditorPurchaseOrder","Supplier Invoice",""
"84","frmAccCreditorOrder","Supplier Purchase Order",""
"85","frmAccCreditorPayment","Supplier Payment",""
"86","frmAccCashTransactionMan","Cash Transaction Manager",""
"87","frmAccCashTransaction","Cash Transaction Details",""
"88","frmAccGLAdjustmentMan","GL Adjustment Manager",""
"89","frmAccVATPaymentRefund","VAT Payment/Refund",""
"90","frmAccIncomeStatement","Income Statement",""
"91","frmAccTrialBalance","Trial Balance Report",""
"92","frmUserTargetDetails","User Target Details",""
"93","frmUserTargetMan","User Targets",""
"94","frmAppConfig","Email and SMS Templates",""
"95","frmMainMenu","Main Menu",""
"96","frmDMSDrop","DMS Linking",""
"97","frmCustTasksMan","Manage Glp Task",""
"98","frmCustTasksDetails","Customise Tasks Details",""
"99","frmAccInventoryMan","Resource Management",""
"100","frmAccInventoryDetails","Resource Details",""
"101","frmLeadDetails","Lead Details",""
"102","frmaccStockAdjustDispatch","Stock Adjustment Details",""
"103","frmAccInterLedgerTransaction","Inter-Ledger Transfer Details",""
"104","frmSalesPipelineDetail","Sales Pipe Line",""
"105","frmAccLinkedDocs","Linked Documents",""
"106","frmAccAccountCode","Account Code Management",""
"107","frmAccCreditorCreditNote","Supplier Credit Note",""
"108","frmAccFinanceInfo","Financial Info",""
"109","frmAccMultiBillingMan","Multi-Billing Management",""
"110","frmAccOverheadsMan","Cashbook Manager",""
"111","frmAccBankReconMan","Bank Reconciliation",""
"112","frmAccUnReceivedStockRpt","Un-Received Stock Report",""
"113","frmAccVATControlMan","Vat Control",""
"114","frmAccStockTakeMan","Stock Take Manager",""
"115","frmAccStockTakeDetails","frmentityn",""
"116","frmAccManufacturMachAreaMan","Manufacturing Machine / Work Area Management",""
"117","frmAccManufactureMan","Manufacturing Manager",""
"118","frmIntakesMan","Intake Manager",""
"119","frmAccSpecialDocs","Customise Special Document Templates",""
"120","frmAccSpecialDocDetails","Special Document Details",""
"121","frmAccDocTemplate","Select Document Template",""
"122","frmCustomSetupDetailsTabs","Custom Setup Tab Details",""
"123","frmTimesheetMan","Timesheet Manager",""
"124","frmSkinMan","Skin Manager",""
"125","frmSkinConfig","Skin Config Details",""
"126","frmAccDocumentSetup","Accounting Document Setup",""
"127","frmAddressDetails","Address Details",""
"128","frmDevelopmentCal","Development Calendar - April 2012",""
"129","frmDeveloperTasks","Developer Tasks",""
"130","frmClientActivityMan","Client Actvity Manager","Clients"
"131","frmClientActivityDetails","Client Activity Details",""
