"GLBudgetItemID","GLBudgetID","GLDate","GLDescription","GLValue","Rank"
"1343","6","2009-12-01 00:00:00","Current Assets","0.0000","1"
"1344","6","2010-01-01 00:00:00","Current Assets","0.0000","1"
"1345","6","2009-12-01 00:00:00","- Software Lic","2.0000","2"
"1346","6","2010-01-01 00:00:00","- Software Lic","3.0000","2"
"1347","6","2009-12-01 00:00:00","- Stock","5.0000","3"
"1348","6","2010-01-01 00:00:00","- Stock","6.0000","3"
"1349","6","2009-12-01 00:00:00","Fixed Assets","0.0000","4"
"1350","6","2010-01-01 00:00:00","Fixed Assets","0.0000","4"
"1351","6","2009-12-01 00:00:00","- Land and Buildings","8.0000","5"
"1352","6","2010-01-01 00:00:00","- Land and Buildings","9.0000","5"
"1353","6","2009-12-01 00:00:00","Liabilities","11.0000","6"
"1354","6","2010-01-01 00:00:00","Liabilities","12.0000","6"
"1355","6","2009-12-01 00:00:00","Income","14.0000","7"
"1356","6","2010-01-01 00:00:00","Income","15.0000","7"
"1357","6","2009-12-01 00:00:00","Expenses","0.0000","8"
"1358","6","2010-01-01 00:00:00","Expenses","0.0000","8"
"1359","6","2009-12-01 00:00:00","- Rent","17.0000","9"
"1360","6","2010-01-01 00:00:00","- Rent","18.0000","9"
"1361","7","2009-12-01 00:00:00","Current Assets","0.0000","1"
"1362","7","2010-01-01 00:00:00","Current Assets","123.0000","1"
"1363","7","2009-12-01 00:00:00","- Software Lic","0.0000","2"
"1364","7","2010-01-01 00:00:00","- Software Lic","0.0000","2"
"1365","7","2009-12-01 00:00:00","- Stock","0.0000","3"
"1366","7","2010-01-01 00:00:00","- Stock","123.0000","3"
"1367","7","2009-12-01 00:00:00","Fixed Assets","123.0000","4"
"1368","7","2010-01-01 00:00:00","Fixed Assets","0.0000","4"
"1369","7","2009-12-01 00:00:00","- Land and Buildings","0.0000","5"
"1370","7","2010-01-01 00:00:00","- Land and Buildings","0.0000","5"
"1371","7","2009-12-01 00:00:00","Liabilities","0.0000","6"
"1372","7","2010-01-01 00:00:00","Liabilities","123.0000","6"
"1373","7","2009-12-01 00:00:00","Income","0.0000","7"
"1374","7","2010-01-01 00:00:00","Income","0.0000","7"
"1375","7","2009-12-01 00:00:00","Expenses","0.0000","8"
"1376","7","2010-01-01 00:00:00","Expenses","23.0000","8"
"1377","7","2009-12-01 00:00:00","- Rent","23.0000","9"
"1378","7","2010-01-01 00:00:00","- Rent","0.0000","9"
"1381","8","2009-12-01 00:00:00","Current Assets","0.0000","1"
"1382","8","2010-01-01 00:00:00","Current Assets","0.0000","1"
"1383","8","2010-02-01 00:00:00","Current Assets","",""
"1384","8","2009-12-01 00:00:00","- Software Lic","0.0000","2"
"1385","8","2010-01-01 00:00:00","- Software Lic","0.0000","2"
"1386","8","2010-02-01 00:00:00","- Software Lic","",""
"1387","8","2009-12-01 00:00:00","- Stock","324.0000","3"
"1388","8","2010-01-01 00:00:00","- Stock","0.0000","3"
"1389","8","2010-02-01 00:00:00","- Stock","",""
"1390","8","2009-12-01 00:00:00","Fixed Assets","0.0000","4"
"1391","8","2010-01-01 00:00:00","Fixed Assets","0.0000","4"
"1392","8","2010-02-01 00:00:00","Fixed Assets","",""
"1393","8","2009-12-01 00:00:00","- Land and Buildings","0.0000","5"
"1394","8","2010-01-01 00:00:00","- Land and Buildings","324.0000","5"
"1395","8","2010-02-01 00:00:00","- Land and Buildings","",""
"1396","8","2009-12-01 00:00:00","Liabilities","0.0000","6"
"1397","8","2010-01-01 00:00:00","Liabilities","0.0000","6"
"1398","8","2010-02-01 00:00:00","Liabilities","",""
"1399","8","2009-12-01 00:00:00","Income","0.0000","7"
"1400","8","2010-01-01 00:00:00","Income","0.0000","7"
"1401","9","2009-12-01 00:00:00","Current Assets","0.0000","1"
"1402","9","2010-01-01 00:00:00","Current Assets","0.0000","1"
"1403","9","2010-02-01 00:00:00","Current Assets","",""
"1404","9","2009-12-01 00:00:00","Current Assets","0.0000","1"
"1405","9","2010-01-01 00:00:00","Current Assets","0.0000","1"
"1406","9","2009-12-01 00:00:00","- Software Lic","23.0000","2"
"1407","9","2010-01-01 00:00:00","- Software Lic","23.0000","2"
"1408","9","2009-12-01 00:00:00","- Stock","6.0000","3"
"1409","9","2010-01-01 00:00:00","- Stock","4.0000","3"
"1410","9","2009-12-01 00:00:00","Fixed Assets","0.0000","4"
"1411","9","2010-01-01 00:00:00","Fixed Assets","0.0000","4"
"1412","9","2009-12-01 00:00:00","- Land and Buildings","8.0000","5"
"1413","9","2010-01-01 00:00:00","- Land and Buildings","78.0000","5"
"1414","9","2009-12-01 00:00:00","Liabilities","0.0000","6"
"1415","9","2010-01-01 00:00:00","Liabilities","0.0000","6"
"1416","9","2009-12-01 00:00:00","Income","0.0000","7"
"1417","9","2010-01-01 00:00:00","Income","0.0000","7"
"1418","9","2009-12-01 00:00:00","Expenses","0.0000","8"
"1419","9","2010-01-01 00:00:00","Expenses","0.0000","8"
"1420","9","2009-12-01 00:00:00","- Rent","78.0000","9"
"1421","9","2010-01-01 00:00:00","- Rent","45.0000","9"
"2070","4","2009-12-01 00:00:00","Current Assets","34.0000","1"
"2071","4","2010-01-01 00:00:00","Current Assets","34.0000","1"
"2072","4","2010-02-01 00:00:00","Current Assets","0.0000","1"
"2073","4","2009-12-01 00:00:00","- Software Lic","0.0000","2"
"2074","4","2010-01-01 00:00:00","- Software Lic","0.0000","2"
"2075","4","2010-02-01 00:00:00","- Software Lic","0.0000","2"
"2076","4","2009-12-01 00:00:00","- Stock","0.0000","3"
"2077","4","2010-01-01 00:00:00","- Stock","0.0000","3"
"2078","4","2010-02-01 00:00:00","- Stock","0.0000","3"
"2079","4","2009-12-01 00:00:00","Fixed Assets","0.0000","4"
"2080","4","2010-01-01 00:00:00","Fixed Assets","45.0000","4"
