"GLBudgetID","StartDate","EndDate","Period","IncExp","UsePeriod"
"4","2009-12-15 00:00:00","2010-12-15 00:00:00","","Income","0"
"5","2009-12-15 00:00:00","2010-07-15 00:00:00","","Income","0"
"6","2009-12-15 00:00:00","2009-12-15 00:00:00","3 Months","Income","-1"
"7","2009-12-15 00:00:00","2009-12-15 00:00:00","3 Months","Income","-1"
"8","2009-12-15 00:00:00","2010-02-15 00:00:00","3 Months","Income","-1"
"9","2009-12-16 00:00:00","2010-02-16 00:00:00","3 Months","Income","-1"
"10","2009-12-16 00:00:00","2010-11-16 00:00:00","12 Months","Income","-1"
"11","2009-12-16 00:00:00","2010-11-16 00:00:00","12 Months","Income","-1"
"12","2009-12-16 00:00:00","2010-11-16 00:00:00","12 Months","Income","-1"
"13","2009-12-16 00:00:00","2010-11-16 00:00:00","12 Months","Income","-1"
"14","2009-12-16 00:00:00","2010-05-16 00:00:00","6 Months","Income","-1"
"15","2009-12-16 00:00:00","2010-02-16 00:00:00","3 Months","Income","-1"
