"IntakeDispatchID","DocID","DocType","DocNo","DateCreated","UserID","Status","Supplier","Client","Transfers","Manufacturing","TotalUnits","CompFrom","CompTo"
"11","666","Quote","0","2009-06-03 17:32:33","1","","","Demo Company","1","1","1.0","Container A",""
"12","666","Quote","0","2009-06-03 17:32:33","1","","","Demo Company","1","1","1.0","Container C",""
"15","20","Transfer","20","2009-06-17 15:32:10","1","","","","1","1","1.0","Container A","Container B"
"16","20","Transfer","20","2009-06-17 15:33:05","1","","","","1","1","1.0","Container B","Container C"
"17","135","Purchase Order","4","2009-06-17 15:49:50","1","","","Demo Supplier","1","1","1.0","Demo Supplier","ACME"
"18","135","Purchase Order","4","2009-06-17 15:49:50","1","","","Demo Supplier","1","1","1.0","Demo Supplier","My Company"
"19","16","Manufacturing","721","2009-06-17 15:53:26","1","","","","1","1","5.0","Container A","ACME"
"20","136","Purchase Order","5","2009-06-17 17:31:05","1","","","Demo Supplier","1","1","200.0","Demo Supplier",""
"21","138","Purchase Order","6","2009-07-08 07:18:50","1","","","Alsa Engineering","1","1","900.0","Alsa Engineering",""
"22","139","Purchase Order","7","2009-07-08 08:45:27","1","","","Growthpoint","1","1","2.0","Growthpoint",""
"23","138","Purchase Order","6","2009-07-08 07:18:50","1","","","Alsa Engineering","1","1","900.0","Alsa Engineering",""
"24","727","Quote","6","2009-07-08 12:58:09","1","","","ACME","1","1","10.0","Container A","ACME"
"25","727","Quote","6","2009-07-08 12:58:09","1","","","ACME","1","1","10.0","Container A","ACME"
"26","727","Quote","6","2009-07-08 12:58:09","1","","","ACME","1","1","1.0","Container A","ACME"
"27","728","Quote","5","2009-07-08 12:58:09","1","","","ACME","1","1","5.0","Container A","ACME"
"28","739","Quote","7","2009-07-17 12:19:06","1","","","Ace Contracting","1","1","1.0","Container A","Ace Contracting"
"29","739","Quote","7","2009-07-17 12:19:06","1","","","Ace Contracting","1","1","1.0","Container A","Ace Contracting"
"30","161","Purchase Order","12","2009-08-17 12:33:21","1","","","Growthpoint","1","1","1.0","Growthpoint","Ace Contracting"
"31","161","Purchase Order","12","2009-08-17 12:33:21","1","","","Growthpoint","1","1","1.0","Growthpoint","Ace Contracting"
"32","161","Purchase Order","12","2009-08-17 12:33:21","1","","","Growthpoint","1","1","1.0","Growthpoint","Ace Contracting"
"33","161","Purchase Order","12","2009-08-17 12:33:21","1","","","Growthpoint","1","1","1.0","Growthpoint","Ace Contracting"
"34","161","Purchase Order","12","2009-08-17 12:33:21","1","","","Growthpoint","1","1","1.0","Growthpoint","Ace Contracting"
"35","161","Purchase Order","12","2009-08-17 12:33:21","1","","","Growthpoint","1","1","1.0","Growthpoint","Ace Contracting"
"36","161","Purchase Order","12","2009-08-17 12:33:21","1","","","Growthpoint","1","1","1.0","Growthpoint","Ace Contracting"
"37","161","Purchase Order","12","2009-08-17 12:33:21","1","","","Growthpoint","1","1","1.0","Growthpoint","Ace Contracting"
"38","787","Quote","10","2009-09-22 12:58:00","1","","","Ace Contracting","1","1","10.0","Container A","Ace Contracting"
"39","1979","Quote","0","2009-10-02 12:15:28","1","","","ACME","1","1","1.0","Container A","ACME"
"40","182","Purchase Order","1","2009-10-13 13:24:22","1","","","Growthpoint","1","1","1.0","Growthpoint",""
"41","2183","Quote","3","2009-10-18 21:41:23","1","","","asd1","1","1","1.0","Container A","asd1"
"42","2188","Quote","0","2009-11-03 13:50:23","1","","","128  Bitz Solutions","1","1","1.0","Container A","128  Bitz Solutions"
"43","2211","Quote","5","2009-12-04 15:20:24","1","","","ABB Longmeadow","1","1","1.0","Cape Town","ABB Longmeadow"
"44","2211","Quote","5","2009-12-04 15:20:24","1","","","ABB Longmeadow","1","1","1.0","Cape Town","ABB Longmeadow"
"45","2211","Quote","5","2009-12-04 15:20:24","1","","","ABB Longmeadow","1","1","1.0","Cape Town","ABB Longmeadow"
"46","2211","Quote","5","2009-12-04 15:20:24","1","","","ABB Longmeadow","1","1","1.0","Cape Town","ABB Longmeadow"
"47","2211","Quote","5","2009-12-04 15:20:24","1","","","ABB Longmeadow","1","1","1.0","Cape Town","ABB Longmeadow"
"48","2211","Quote","5","2009-12-04 15:20:24","1","","","ABB Longmeadow","1","1","1.0","Cape Town","ABB Longmeadow"
"49","2211","Quote","5","2009-12-04 15:20:24","1","","","ABB Longmeadow","1","1","1.0","Cape Town","ABB Longmeadow"
"50","2211","Quote","5","2009-12-04 15:20:24","1","","","ABB Longmeadow","1","1","1.0","Cape Town","ABB Longmeadow"
"51","2211","Quote","5","2009-12-04 15:20:24","1","","","ABB Longmeadow","1","1","1.0","Cape Town","ABB Longmeadow"
"52","2211","Quote","5","2009-12-04 15:20:24","1","","","ABB Longmeadow","1","1","1.0","Cape Town","ABB Longmeadow"
"53","2211","Quote","5","2009-12-04 15:20:24","1","","","ABB Longmeadow","1","1","1.0","Cape Town","ABB Longmeadow"
"54","2211","Quote","5","2009-12-04 15:20:24","1","","","ABB Longmeadow","1","1","1.0","Cape Town","ABB Longmeadow"
"55","2211","Quote","5","2009-12-04 15:20:24","1","","","ABB Longmeadow","1","1","1.0","Cape Town","ABB Longmeadow"
"56","2211","Quote","5","2009-12-04 15:20:24","1","","","ABB Longmeadow","1","1","1.0","Cape Town","ABB Longmeadow"
"57","2211","Quote","5","2009-12-04 15:20:24","1","","","ABB Longmeadow","1","1","1.0","Cape Town","ABB Longmeadow"
"58","2211","Quote","5","2009-12-04 15:20:24","1","","","ABB Longmeadow","1","1","1.0","Cape Town","ABB Longmeadow"
"59","2211","Quote","5","2009-12-04 15:20:24","1","","","ABB Longmeadow","1","1","1.0","Cape Town","ABB Longmeadow"
"60","2211","Quote","5","2009-12-04 15:20:24","1","","","ABB Longmeadow","1","1","1.0","Cape Town","ABB Longmeadow"
"61","2211","Quote","5","2009-12-04 15:20:24","1","","","ABB Longmeadow","1","1","1.0","Cape Town","ABB Longmeadow"
"62","2233","Quote","6","2009-12-14 07:11:02","1","","","Test ISS","1","1","1.0","Cape Town","Test ISS"
"63","2241","Quote","8","2009-12-15 14:30:19","1","","","ABB - Longmeddow","1","1","1.0","JHB","ABB - Longmeddow"
"64","2246","Sales Order","0","2009-12-15 15:48:46","1","","","@ Power Solutions","1","1","100.0","JHB","@ Power Solutions"
"65","2253","Sales Order","6","2009-12-16 12:15:49","1","","","Fusion Software","1","1","1.0","001","Fusion Software"
"66","2253","Sales Order","6","2009-12-16 12:15:49","1","","","Fusion Software","1","1","1.0","001","Fusion Software"
"67","190","Purchase Order","3","2009-12-10 11:08:48","1","","","ABB SOUTH AFRICA","1","1","1.0","ABB SOUTH AFRICA","
Facilities Engineering, CABGOC
"
"68","2250","Sales Order","2","2009-12-15 16:01:47","1","","","@ Power Solutions","1","1","1.0","001","@ Power Solutions"
"69","2263","Sales Order","8","2009-12-18 12:18:56","1","","","AC CONTROLS CC","1","1","1.0","001","AC CONTROLS CC"
"70","2263","Sales Order","8","2009-12-18 12:18:56","1","","","AC CONTROLS CC","1","1","1.0","001","AC CONTROLS CC"
"71","200","Purchase Order","1","2009-12-18 13:32:41","1","","","ABB SOUTH AFRICA","1","1","100.0","ABB SOUTH AFRICA","@ Power Solutions"
"72","2276","Sales Order","4","2010-01-14 17:51:26","1","","","@ Power Solutions","1","1","100.0","JHB","@ Power Solutions"
"73","2276","Sales Order","4","2010-01-14 17:51:26","1","","","@ Power Solutions","1","1","50.0","JHB","@ Power Solutions"
"74","2276","Sales Order","4","2010-01-14 17:51:26","1","","","@ Power Solutions","1","1","100.0","JHB","@ Power Solutions"
"75","2276","Sales Order","4","2010-01-14 17:51:26","1","","","@ Power Solutions","1","1","50.0","JHB","@ Power Solutions"
"76","2283","Sales Order","5","2010-01-18 15:00:10","1","","","Fusion Software","1","1","10.0","JHB","Fusion Software"
"77","2282","Quote","2","2010-01-18 14:56:18","1","","","ABB Durban","1","1","100.0","JHB","ABB Durban"
"78","2270","Quote","1","2010-01-08 07:28:29","1","","","Test Address Co","1","1","100.0","","Test Address Co"
"79","2270","Quote","1","2010-01-08 07:28:29","1","","","Test Address Co","1","1","50.0","","Test Address Co"
"80","2296","Sales Order","0","2010-01-27 14:30:12","1","","","Demo Company","1","1","1.0","Container A","Demo Company"
"81","2300","Sales Order","2","2010-02-01 10:41:35","1","","","Demo Company","1","1","110.0","Container A","Demo Company"
"82","2304","Sales Order","3","2010-02-01 17:17:35","1","","","Demo Company","1","1","110.0","Container A","Demo Company"
"83","2308","Sales Order","4","2010-02-08 16:33:40","1","","","Demo Company","1","1","1.0","Container A","Demo Company"
"84","229","Purchase Order","5","2010-02-08 16:40:27","1","","","Demo Supplier","1","1","1.0","Demo Supplier",""
"85","2312","Sales Order","5","2010-02-08 17:27:57","1","","","Demo Company","1","1","1.0","Container A","Demo Company"
"86","2312","Sales Order","5","2010-02-08 17:27:57","1","","","Demo Company","1","1","1.0","Container A","Demo Company"
"87","233","Purchase Order","6","2010-02-11 10:36:21","1","","","Demo Supplier","1","1","1.0","Demo Supplier",""
"88","2316","Sales Order","7","2010-02-12 08:04:20","1","","","Demo Company","1","1","1.0","Container A","Demo Company"
"89","2299","Sales Order","1","2010-01-28 10:17:24","1","","","Demo Company","1","1","1.0","","Demo Company"
"90","2299","Sales Order","1","2010-01-28 10:17:24","1","","","Demo Company","1","1","1.0","","Demo Company"
"91","235","Purchase Order","7","2010-02-12 08:06:49","1","","","Demo Supplier","1","1","0.001","Demo Supplier","Demo Company"
"92","228","Purchase Order","4","2010-02-01 17:17:55","1","","","Demo Supplier","1","1","0.11","Demo Supplier","Demo Company"
"93","226","Purchase Order","3","2010-02-01 12:59:41","1","","","Demo Supplier","1","1","0.11","Demo Supplier","Demo Company"
"94","225","Purchase Order","2","2010-02-01 12:59:15","1","","","Demo Supplier","1","1","0.11","Demo Supplier","Demo Company"
"95","224","Purchase Order","1","2010-01-28 10:17:57","1","","","Demo Supplier","1","1","1.0","Demo Supplier","Demo Company"
"96","224","Purchase Order","1","2010-01-28 10:17:57","1","","","Demo Supplier","1","1","1.0","Demo Supplier","Demo Company"
"97","2319","Sales Order","8","2010-02-17 12:18:28","1","","","Demo Company","1","1","1.0","Container A","Demo Company"
"98","2322","Sales Order","10","2010-02-22 11:07:18","1","","","Demo Company","1","1","1.0","Container A","Demo Company"
"99","2321","Sales Order","9","2010-02-22 11:05:37","1","","","Demo 2 Pty (Ltd)","1","1","1.0","Container A","Demo 2 Pty (Ltd)"
"100","2325","Sales Order","11","2010-02-23 13:25:26","1","","","Demo Company","1","1","1.0","Container A","Demo Company"
"101","2325","Sales Order","11","2010-02-23 13:25:26","1","","","Demo Company","1","1","1.0","Container A","Demo Company"
"102","2321","Sales Order","9","2010-02-22 11:05:37","1","","","Demo 2 Pty (Ltd)","1","1","1.0","Container A","Demo 2 Pty (Ltd)"
"103","2354","Sales Order","17","2010-03-02 16:55:19","1","","","Hal Pty Ltd","1","1","100.0","Container A","Hal Pty Ltd"
"104","236","Purchase Order","8","2010-03-02 17:20:53","1","","","HalSupplier","1","1","100.0","HalSupplier","Hal Pty Ltd"
"105","2343","Sales Order","13","2010-02-26 16:26:44","1","","","Hal Pty Ltd","1","1","1.0","Container A","Hal Pty Ltd"
"106","2364","Quote","0","2010-03-17 08:39:59","1","","","(SPARE) 37 TRAINING FORCE","1","1","10.0","Container A","(SPARE) 37 TRAINING FORCE"
"107","2364","Quote","0","2010-03-17 08:39:59","1","","","(SPARE) 37 TRAINING FORCE","1","1","10.0","Container A","(SPARE) 37 TRAINING FORCE"
"108","2368","Quote","1","2010-03-17 09:02:22","1","","","(SPARE) 37 TRAINING FORCE","1","1","2.0","Container A","(SPARE) 37 TRAINING FORCE"
"109","243","Purchase Order","9","2010-03-17 09:18:15","1","","","Demo Supplier","1","1","500.0","Demo Supplier",""
"110","243","Purchase Order","9","2010-03-17 09:18:15","1","","","Demo Supplier","1","1","10.0","Demo Supplier",""
"111","249","Purchase Order","11","2010-03-31 11:35:20","1","","","COMPUTER SUPPLIER (PTY) LTD","1","1","100.0","COMPUTER SUPPLIER (PTY) LTD",""
"112","2416","Sales Order","30","2010-05-04 15:10:10","1","","","(SPARE) AA AUTO BAY","1","1","1.0","Container A","(SPARE) AA AUTO BAY"
"113","252","Purchase Order","12","2010-05-20 07:28:17","1","","","FOOD SUPPLIES (PTY) LTD","1","1","50.0","FOOD SUPPLIES (PTY) LTD",""
"114","2450","Sales Order","38","2010-05-20 15:57:42","1","","","","1","1","1.0","Container A",""
"115","2450","Sales Order","38","2010-05-20 15:57:42","1","","","","1","1","1.0","Container A",""
"116","2462","Sales Order","0","2010-06-28 17:01:19","1","","","Demo Company","1","1","5.0","Container A","Demo Company"
"117","2464","Sales Order","1","2010-06-30 08:10:27","1","","","Demo Company","1","1","1000.0","Container A","Demo Company"
"118","266","Purchase Order","13","2010-07-29 16:51:38","1","","","Fusion Software","1","1","15.0","Fusion Software",""
"119","266","Purchase Order","13","2010-07-29 16:51:38","1","","","Fusion Software","1","1","15.0","Fusion Software",""
"120","266","Purchase Order","13","2010-07-29 16:51:38","1","","","Fusion Software","1","1","15.0","Fusion Software",""
"121","2499","Sales Order","14","2010-07-29 17:36:04","1","","","Fusion Software","1","1","1.0","Container A","Fusion Software"
"122","266","Purchase Order","13","2010-07-29 16:51:38","1","","","Fusion Software","1","1","15.0","Fusion Software",""
"123","266","Purchase Order","13","2010-07-29 16:51:38","1","","","Fusion Software","1","1","15.0","Fusion Software",""
"124","266","Purchase Order","13","2010-07-29 16:51:38","1","","","Fusion Software","1","1","15.0","Fusion Software",""
"125","267","Purchase Order","14","2010-07-30 15:07:58","1","","","Demo Supplier","1","1","0.05","Demo Supplier","Fusion Software"
"126","267","Purchase Order","14","2010-07-30 15:07:58","1","","","Demo Supplier","1","1","0.1","Demo Supplier","Fusion Software"
"127","2501","Sales Order","15","2010-07-30 15:13:36","1","","","Demo Company","1","1","3.0","Container A","Demo Company"
"128","271","Purchase Order","15","2010-08-18 14:14:07","1","","","Demo Supplier","1","1","1.0","Demo Supplier","Demo Company"
"129","271","Purchase Order","15","2010-08-18 14:14:07","1","","","Demo Supplier","1","1","1.0","Demo Supplier","Demo Company"
"130","2511","Sales Order","20","2010-08-18 14:30:02","1","","","Demo Company","1","1","1.0","JHB","Demo Company"
"131","275","Purchase Order","100001","2010-07-30 00:00:00","1","","","Demo Supplier","1","1","0.05","Demo Supplier",""
"132","275","Purchase Order","100001","2010-07-30 00:00:00","1","","","Demo Supplier","1","1","0.1","Demo Supplier",""
"133","275","Purchase Order","100001","2010-07-30 00:00:00","1","","","Demo Supplier","1","1","1.0","Demo Supplier",""
"134","276","Purchase Order","100003","2010-08-30 14:48:56","1","","","Demo Supplier","1","1","1.0","Demo Supplier",""
"135","2521","Sales Order","10008","2010-09-16 12:02:48","1","","","Hal's Company","1","1","1.0","001","Hal's Company"
"136","278","Purchase Order","1","2010-09-29 13:24:38","1","","","Fusion Software","1","1","100.0","Fusion Software",""
"137","2533","Sales Order","0","2010-09-29 13:48:12","1","","","Hal's Company","1","1","1.0","001","Hal's Company"
"138","2536","Sales Order","2","2010-09-29 14:00:49","1","","","Hal's Company","1","1","1.0","JHB","Hal's Company"
"139","2547","Sales Order","1","2010-10-08 11:11:44","1","","","Hals Company","1","1","1.0","","Hals Company"
"140","2552","Sales Order","3","2010-10-14 08:13:00","1","","","JB","1","1","5.0","JHB","JB"
"141","2552","Sales Order","3","2010-10-14 08:13:00","1","","","JB","1","1","5.0","JHB","JB"
"142","2554","Sales Order","4","2010-10-14 14:03:25","1","","","Baby B","1","1","1.0","JHB","Baby B"
"143","2556","Sales Order","5","2010-10-14 17:06:47","1","","","Kirsty cc","1","1","1.0","","Kirsty cc"
"144","2556","Sales Order","5","2010-10-14 17:06:47","1","","","Kirsty cc","1","1","1.0","","Kirsty cc"
"145","2560","Sales Order","6","2010-10-29 12:16:26","1","","","Hals Company","1","1","20.0","JHB","Hals Company"
"146","281","Purchase Order","1","2010-12-16 09:12:53","1","","","Another Supplier","1","1","100.0","Another Supplier","A & G Consultants"
"147","285","Purchase Order","2","2010-12-16 14:14:48","1","","","Demo Supplier","1","1","50.0","Demo Supplier",""
"148","2586","Sales Order","2","2010-12-17 11:50:45","1","","","Demo Company","1","1","1.0","001","Demo Company"
"149","286","Purchase Order","3","2010-12-17 11:54:40","1","","","Demo Supplier","1","1","10.0","Demo Supplier",""
"150","2591","Quote","0","2011-04-28 14:32:28","1","","","A & G Consultants","1","1","1.0","001","A & G Consultants"
"151","2595","Sales Order","1","2011-06-02 11:59:59","1","","","A & G Consultants","1","1","10.0","Container C","A & G Consultants"
"152","319","Purchase Order","0","2011-08-16 08:40:07","1","","","Demo Supplier","1","1","1.0","Demo Supplier","Fusion Software CPT"
"153","2655","Sales Order","1","2011-09-13 09:01:32","1","","","Alliance","1","1","100.0","Container A","Alliance"
"154","325","Purchase Order","1","2011-09-13 09:03:09","1","","","Hard Driving Computers","1","1","0.1","Hard Driving Computers","Alliance"
"155","325","Purchase Order","1","2011-09-13 09:03:09","1","","","Hard Driving Computers","1","1","0.1","Hard Driving Computers","Alliance"
"156","325","Purchase Order","1","2011-09-13 09:03:09","1","","","Hard Driving Computers","1","1","1.0","Hard Driving Computers",""
"157","2667","Sales Order","0","2011-09-16 13:34:32","1","","","A & G Consultants","1","1","1.0","Bin No. 1              ","A & G Consultants"
"158","2685","Sales Order","1","2011-09-22 12:27:48","1","","","Demo Company","1","1","100.0","Container A","Demo Company"
"159","2685","Sales Order","1","2011-09-22 12:27:48","1","","","Demo Company","1","1","200.0","Container A","Demo Company"
"160","2685","Sales Order","1","2011-09-22 12:27:48","1","","","Demo Company","1","1","300.0","Container A","Demo Company"
"161","2687","Sales Order","1","2011-09-22 12:28:55","1","","","Demo Company","1","1","100.0","Container A","Demo Company"
"162","2687","Sales Order","1","2011-09-22 12:28:55","1","","","Demo Company","1","1","200.0","Container A","Demo Company"
"163","2687","Sales Order","1","2011-09-22 12:28:55","1","","","Demo Company","1","1","300.0","Container A","Demo Company"
