"LineID","TotalIncl","Comments","CostPriceEx","ContainerID","GroupName","ComponentOfLineID","Rank","SupplierID","AddToBudget","BudgetDate","DocID","ProjectID","ActQty","ActCostPriceEx","ActPriceEx","ActBilled","RecComments","ShippingDocID","StockID","StockCode","StockDescription","Qty","DiscPerc","PriceEx","PriceIncl","isAdditional","StockTransferDetailID","SerialNumber","TaxTypeID","Tax","IsMarginBased","MarkupPerc","WastePerc","ClientID","DivisionID","ReportCategoryID","GuardLineID","UseLandedCost","RentalLineID","StockTransferID","PriceCategoryID","AccommodationID"
"54","22.8000","","0.0","106","Main Offer","","1","0","0","","","10027","","","","","","","66428","STA2P","2 Part Pre-printed Statements","1.0","0.0","20.0","22.8000","0","","","","","0","","","","","","","0","","","",""
"55","0.0000","","0.0","106","","","3","0","0","","","10027","","","","","","","66414","C/002","Group Training","1.0","0.0","0.0","0.0000","0","","","","","0","","","","","","","0","","","",""
"56","1368.0000","","0.0","106","Main Offer","","5","65260","0","","","10027","","","","","","","66407","HD/250","250 Gig Hard Drive","1.0","0.0","1200.0","1368.0000","0","","","","","0","","","","","","","0","","","",""
"57","0.0000","","0.0","106","","","5","0","0","","","10027","","","","","","","66414","C/002","Group Training","1.0","0.0","0.0","0.0000","0","","","","","0","","","","","","","0","","","",""
"58","342.0000","","0.0","106","Main Offer","","9","0","0","","","10027","","","","","","","66424","RAM/CHP","250 MB RAM Chips","1.0","0.0","300.0","342.0000","0","","","","","0","","","","","","","0","","","",""
"59","228.0000","","0.0","106","Main Offer","","10","0","0","","","10027","","","","","","","66426","SPEAK/EAS","50W Speakers","1.0","0.0","200.0","228.0000","0","","","","","0","","","","","","","0","","","",""
"60","513.0000","Test comments","150.0","104","Main Offer","","1","0","0","","","10028","","","","","","","66424","RAM/CHP","250 MB RAM Chips","2.0","0.0","225.0","256.5000","0","","","","","0","","","","","","","0","","","",""
"61","199.5000","","175.0","104","Main Offer","","2","0","0","","","10028","","","","","","","66418","INV2P","2 Part Pre-printed Invoices","1.0","0.0","175.0","199.5000","0","","","","","0","","","","","","","0","","","",""
"62","136.8000","","0.0","106","","0","1","","0","","","10038","","","","","","","66420","MOD/234","96K Modem","1.0","0.0","120.0","136.8000","0","","","","","0","","","","","","","0","","","",""
"3426","9120.0000","","4000.0","161","","","1","0","0","","","10081","","","","","","","66569","PC001","Personal Computer","1.0","0.0","8000.0","9120.0000","0","","","","","0","","","","","","","0","","","",""
"3427","3648.0000","","800.0","161","","","1","66714","0","","","10081","","","","","","","66461","HD/250","250 Gig Hard Drive","2.0","0.0","1600.0","1824.0000","0","","","","","0","","","","","","","0","","","",""
