"LinkLookupID","Value","class","LinkedTo","Comments","LocationID","IsActive","InActive"
"168","Container A","StockContainer","5830","0","6628","1","0"
"176","Main","SubType","5886","","","0","0"
"177","EMR","udfsubgroup","6308","","","0","0"
"171","Equipment Rental","SubJournal","6359","","","0","0"
"172","Office Rental","SubJournal","6359","","","0","0"
"173","Land Lines","SubJournal","6360","","","0","0"
"174","Cell Phones","SubJournal","6360","","","0","0"
"175","Motor Insurance","SubJournal","6361","","","0","0"
"178","ENVIRO FUND","udfsubgroup","6308","","","0","0"
"179","LRA VOTING MEMBER","udfsubgroup","6308","","","0","0"
"180","SECURITY CONTRACT","udfsubgroup","6308","","","0","0"
