"LookupID","Class","Value","IsAllDiv","TempID","Colour","info","value2","Hierarchy","IsDefault"
"5793","accounttype","Type 1","1","","","","","","0"
"5794","accounttype","Type 2","1","","","","","","0"
"5795","activity type","Feedback","1","","","","","","0"
"5796","activity type","Follow-up","1","","","","","","0"
"5797","activity type","Request","1","","","","","","0"
"5798","actoutcome","Complete","1","","","","","","0"
"5799","actoutcome","Rejected","1","","","","","","0"
"5802","bittype","Feedback","1","","","","","","0"
"5803","bittype","Follow-up","1","","","","","","0"
"5809","calllog business result","Pending","1","","","","","","0"
"5810","calllog business result","Concluded","1","","","","","","0"
"5811","calllog call origin","Home","1","","","","","","0"
"5812","calllog call origin","Office","1","","","","","","0"
"5813","calllog contact method","Telephone","1","","","","","","0"
"5814","calllog contact method","Walk In","1","","","","","","0"
"5815","category","Category 1","1","","","","","","0"
"5816","category","Category 2","1","","","","","","0"
"5820","clientstat","Happy","1","","","","","","0"
"5821","clientstat","Unhappy","1","","","","","","0"
"5822","clientstat","Indifferent","1","","","","","","0"
"5823","country","South Africa","1","","","","","","0"
"5824","country","France","1","","","","","","0"
"5825","country","United Kingdom","1","","","","","","0"
"5826","country","Australia","1","","","","","","0"
"5827","departments","Sales","1","","","","","","0"
"5828","departments","Marketing","1","","","","","","0"
"5829","departments","Support","1","","","","","","0"
"5830","divisions","LRA","1","","","","","","0"
"5831","Documenttype","CV","1","","","","","","0"
"5832","Documenttype","Brochure","1","","","","","","0"
"5834","gender","Male","1","","","","","","0"
"5835","gender","Female","1","","","","","","0"
"5839","hobbytype","Sports","1","","","","","","0"
"5840","hobbytype","Collecting","1","","","","","","0"
"5841","hobbytype","Arts","1","","","","","","0"
"5842","hobbytype","Literature","1","","","","","","0"
"5847","level","Decision Maker","1","","","","","","0"
"5848","level","Opperations","1","","","","","","0"
"5849","matrixcolumns","1","1","","","","","","0"
"5850","matrixcolumns","2","1","","","","","","0"
"5851","matrixcolumns","3","1","","","","","","0"
"5852","matrixcolumns","4","1","","","","","","0"
"5853","matrixcolumns","5","1","","","","","","0"
"5854","NoteType","Minutes","1","","","","","","0"
"5855","NoteType","Preferences","1","","","","","","0"
"5856","notetype","Restrictions","1","","","","","","0"
"5857","owner","Demo Owner","1","","","","","","0"
"5858","pipelineoutcome","Accepted","1","","","","","","0"
"5859","pipelineoutcome","Rejected","1","","","","","","0"
"5860","pipelineoutcome","Pending","1","","","","","","0"
"5861","pipelineoutcome","Postponed","1","","","","","","0"
"5862","PipelineProbability","10%","1","","","","","","0"
"5863","PipelineProbability","50%","1","","","","","","0"
"5864","PipelineProbability","30%","1","","","","","","0"
"5865","pipelineproduct","Demo Product 1","1","","","","","","0"
"5866","pipelineproduct","Demo Product 2","1","","","","","","0"
"5867","pipelinestatus","Meeting Scheduled","1","","","","","","0"
"5868","pipelinestatus","Waiting for apporval","1","","","","","","0"
"5869","priority","Urgent","1","","","","","","0"
"5870","priority","High","1","","","","","","0"
"5871","priority","Medium","1","","","","","","0"
"5872","priority","Low","1","","","","","","0"
"5873","projectstatus","Active","1","","","","","","0"
"5874","projectstatus","Inactive","1","","","","","","0"
"5875","regions","Gauteng","1","","","","","","0"
"5876","regions","KwaZulu-Natal","1","","","","","","0"
"5877","regions","Western Cape","1","","","","","","0"
"5880","title","Mr.","1","","","","","","0"
"5881","title","Mrs.","1","","","","","","0"
"5882","title","Ms.","1","","","","","","0"
"5883","title","Miss.","1","","","","","","0"
"5884","title","Dr.","1","","","","","","0"
"5885","title","Prof.","1","","","","","","0"
"5886","type","Permanent","1","","0","","","","0"
"5887","type","Temporary","1","","0","","","","0"
"5888","warehouse","DB","1","","","","","","0"
"5889","warehouse","CT","1","","","","","","0"
"5890","warehouse","JB","1","","","","","","0"
"5891","warehouse","BS","1","","","","","","0"
"5892","supplierbuscat","Food Processing","1","","","","","","0"
"5893","supplierbuscat","Financial Services to Retail","1","","","","","","0"
"5894","supplierbuscat","Temporary Employment Services Provider","1","","","","","","0"
"5895","supplierbuscat","Government","1","","","","","","0"
"5896","supplierbuscat","Cash Management","1","","","","","","0"
"5897","supplierbuscat","Education","1","","","","","","0"
"5898","supplierbuscat","Non-Profit","1","","","","","","0"
"5899","supplierbuscat","Fitness & Recreation","1","","","","","","0"
"5900","supplierbuscat","Security","1","","","","","","0"
"5901","supplierbuscat","Commercial Laser Printing","1","","","","","","0"
"5902","supplierbuscat","Transport, Distribution & Logistics","1","","","","","","0"
"5903","supplierbuscat","Law","1","","","","","","0"
"5917","addresstype","Delivery Address","0","","","","","","0"
"5922","NoteType","Appointment","0","","","","","","0"
"5926","LeadFrom","Website","0","","","","","","0"
"5927","LeadFrom","Current Client","0","","","","","","0"
"5928","LeadFrom","Nico List","0","","","","","","0"
"5929","LeadFrom","By Word of Mouth","0","","","","","","0"
"5930","LeadFrom","Cold Call","0","","","","","","0"
"5931","LeadFrom","Canvass","0","","","","","","0"
"5932","LeadFrom","Recommendation","0","","","","","","0"
"5933","LeadStatus","New Lead","0","","-2147483640","","","","0"
"5934","LeadStatus","First Contact Made","0","","-2147483640","","","","0"
"5935","LeadStatus","Call Back","0","","-2147483640","","","","0"
"5936","LeadStatus","Posted to Sales Pipeline","0","","-2147483640","","","","0"
"5937","LeadStatus","Setting up Appointment","0","","-2147483640","","","","0"
"5938","LeadProbability","10%","0","","","","","","0"
"5939","LeadProbability","30%","0","","","","","","0"
"5940","LeadProbability","50%","0","","","","","","0"
"5941","LeadProbability","80%","0","","","","","","0"
"5942","LeadProbability","Not Assigned","0","","","","","","0"
"5943","LeadProbability","Window Shopping","0","","","","","","0"
"5944","PipelineProbability","80%","0","","","","","","0"
"5945","PipelineProbability","Not Assigned","0","","","","","","0"
"5946","PipelineProbability","Window Shopping","0","","","","","","0"
"5948","PipelineStatus","Approved","0","","","","","","0"
"5952","PaymentTerms","C.O.D","0","","","","","","0"
"6238","Crate","Cardboard","0","","","","","","0"
"6239","Bag","Cardboard","0","","","","","","0"
"6240","Box","Cardboard","0","","","","","","0"
"6246","GLReportCategory","RC 1","0","","","","","","0"
"6249","PaymentTerms","30 Days","0","","","","","","0"
"6250","PaymentTerms","60 Days","0","","","","","","0"
"6251","PaymentTerms","90 Days","0","","","","","","0"
"6252","PaymentTerms","120 Days","0","","","","","","0"
"6253","TaskType","Bug Fix","0","","","","","","0"
"6254","TaskType","New Development","0","","","","","","0"
"6255","TaskType","Change Control","0","","","","","","0"
"6262","JobType","jobtype1","0","","","","","","0"
"6263","JobType","jobtype2","0","","","","","","0"
"6264","JobType","jobtype3","0","","","","","","0"
"6265","TaskType","Training","0","","","","","","0"
"6266","projectstatus","Pending","0","","","","","","0"
"6267","projectstatus","Waiting for info","0","","","","","","0"
"6268","projectStatus","New Deadline","1","","","","","","0"
"6269","Source","Referal","0","","","","","","0"
"6270","Source","Internet Advert","0","","","","","","0"
"6271","Source","Website","0","","","","","","0"
"6272","TicketStatus","New","0","","-2147483640","","","","0"
"6273","TicketStatus","Pending","0","","128","","","","0"
"6274","TicketStatus","On Hold","0","","32768","","","","0"
"6275","ticketStatus","Active","0","","255","","","","0"
"6283","ProjectState","test1","0","","-2147483640","","","","0"
"6285","ProblemType","installation problem ","0","","","","","","0"
"6287","organizer","test","0","","","","","","0"
"6288","TicketStatus","test1","0","","","","","","0"
"6291","LeadNextAction","Setup Appointment","0","","","","","","0"
"6292","LeadNextAction","First Contact","0","","","","","","0"
"6293","LeadNextAction","Follow up","0","","","","","","0"
"6294","LeadNextAction","Presentation","0","","","","","","0"
"6295","NoteType","Sales Pipeline","0","","","","","","0"
"6296","noticetype","Birthday","0","","","","","","0"
"6297","noticetype","Anniversary","0","","","","","","0"
"6298","noticetype","Upgrade Notice","0","","","","","","0"
"6299","noticestatus","Query","0","","","","","","0"
"6300","noticestatus","Pending","0","","","","","","0"
"6301","noticestatus","Accepted","0","","","","","","0"
"6302","activity type","Update","0","","","","","","0"
"6303","clientrelationship","Good","0","","","","","","0"
"6304","clientrelationship","Bad","0","","","","","","0"
"6305","clientrelationship","Ugly","0","","","","","","0"
"6307","PipelineStatus","Not Assigned","1","","","","","","0"
"6308","udGroups","CONTRACTS","0","","","","","","0"
"6309","supplierbuscat","Supplier Category 1","1","","","","","","0"
"6310","suppliertype","Supplier Type 1","1","","","","","","0"
"6311","supplierabc","Supplier ABC 1","1","","","","","","0"
"6312","suppliercategory","Supplier Category 1","1","","","","","","0"
"6313","suppliergroup","Supplier Group 1","1","","","","","","0"
"6314","suppliergroup","Supplier Group 2","1","","","","","","0"
"6315","suppliergroup","Supplier Group 3","1","","","","","","0"
"6316","Documenttype","Contracts","0","","","","","","0"
"6319","TicketStatus","","0","","","","","","0"
"6320","abc","In Progress","1","","","","","","0"
"6322","suppliertype","testing ","1","","","","","","0"
"6323","supplierbuscat","test","1","","","","","","0"
"6326","canvasindustry","Complete","0","","","","","","0"
"6327","canvasindustry","In Work","0","","","","","","0"
"6329","SalesGroup","Needs Analysis","0","","","","","","0"
"6330","SalesGroup","Software","0","","","","","","0"
"6331","SalesGroup","Annual License Fees","0","","","","","","0"
"6332","SalesGroup","Development and Setup costs","0","","","","","","0"
"6333","SalesGroup","Implementation and Training Costs","0","","","","","","0"
"6339","SalesGroup","Hardware","0","","","","","","0"
"6341","PaymentType","EFT","0","","","","","","0"
"6342","PaymentType","Cheque","0","","","","","","0"
"6343","PaymentType","Cash","0","","","","","","0"
"6344","PaymentType","Credit Card","0","","","","","","0"
"6345","PaymentType","Debit Card","0","","","","","","0"
"6346","BuySellUnits","Hours","0","","","","","","0"
"6347","BuySellUnits","Minutes","0","","","","","","0"
"6348","BuySellUnits","Seconds","0","","","","","","0"
"6349","BuySellUnits","Kilograms","0","","","","","","0"
"6350","BuySellUnits","Grams","0","","","","","","0"
"6351","BuySellUnits","Units","0","","","","","","0"
"6352","BuySellUnits","Bags","0","","","","","","0"
"6353","PackagingType","Cardboard","0","","","","","","0"
"6354","Crate","Cardboard","0","","","","","","0"
"6355","Bag","Cardboard","0","","","","","","0"
"6356","Box","Cardboard","0","","","","","","0"
"6357","JournalType","Services","0","","","","","","0"
"6358","JournalType","Stock","0","","","","","","0"
"6359","JournalType","Rental","0","","","","","","0"
"6360","JournalType","Telecoms","0","","","","","","0"
"6361","JournalType","Insurance","0","","","","","","0"
"6364","group","EMR PRIVATE","1","","","","","","0"
"6365","buscat","Free Standing House","1","","","","","","0"
"6367","buscat","Complex ","1","","","","","","0"
"6368","buscat","Business","1","","","","","","0"
"6369","buscat","School","1","","","","","","0"
"6370","group","Enviro Fund","1","","","","","","0"
"6371","jobtitle","Home Owner","0","","","","","","0"
"6372","jobtitle","Domestic","0","","","","","","0"
"6373","jobtitle","Gardener","0","","","","","","0"
"6374","jobtitle","Child","0","","","","","","0"
"6375","jobtitle","Inlaws","0","","","","","","0"
"6376","jobtitle","Other","0","","","","","","0"
"6377","PriceCategory","Standard Pricing","1","","","","","","0"
"6378","City","0","0","","","","","","0"
"6379","City","Albemarle","0","","","","","","0"
"6380","City","Alberton","0","","","","","","0"
"6381","City","Ansfrere","0","","","","","","0"
"6382","City","Area","0","","","","","","0"
"6383","City","Bedfordview","0","","","","","","0"
"6384","City","Benmore","0","","","","","","0"
"6385","City","Benmore Gardens","0","","","","","","0"
"6386","City","Benoni","0","","","","","","0"
"6387","City","Bergvlei","0","","","","","","0"
"6388","City","Beverley","0","","","","","","0"
"6389","City","Braamfontein","0","","","","","","0"
"6390","City","Brackendowns","0","","","","","","0"
"6391","City","Bramley","0","","","","","","0"
"6392","City","Branston","0","","","","","","0"
"6393","City","Bromhof","0","","","","","","0"
"6394","City","Bryanston","0","","","","","","0"
"6395","City","Buccleuch","0","","","","","","0"
"6396","City","Centurion","0","","","","","","0"
"6397","City","Clubview","0","","","","","","0"
"6398","City","Craighall","0","","","","","","0"
"6399","City","Cramerview","0","","","","","","0"
