"LookupDivisionID","LookupID","DivisionID"
"15283","6321","5830"
"15285","6362","5830"
"15293","6363","5830"
"15335","6714","5830"
"15276","6365","5830"
"15269","6366","5830"
"15336","6715","5830"
"15274","6368","5830"
"15275","6367","5830"
"15277","6369","5830"
"15284","6629","5830"
"15287","6630","5830"
"15288","5886","5830"
"15289","5887","5830"
"15290","6631","5830"
"15291","6320","5830"
"15292","6632","5830"
"15337","6716","5830"
"15339","6674","5830"
"15297","6639","5830"
"15298","6649","5830"
"15299","6650","5830"
"15300","6651","5830"
"15301","6652","5830"
"15302","6654","5830"
"15303","6661","5830"
"15304","6663","5830"
"15305","6667","5830"
"15306","6669","5830"
"15307","6673","5830"
"15308","6693","5830"
"15340","6691","5830"
"15342","5815","5830"
"15343","5816","5830"
"15344","6717","5830"
"15345","6718","5830"
"15346","6719","5830"
"15347","6720","5830"
"15348","6721","5830"
"15349","6722","5830"
"15350","6723","5830"
"15351","6724","5830"
"15352","6725","5830"
"15353","6726","5830"
"15354","6727","5830"
"15355","6728","5830"
"15356","6729","5830"
"15357","6730","5830"
"15358","6731","5830"
"15359","6732","5830"
"15360","6733","5830"
"15361","6734","5830"
"15362","6735","5830"
"15363","6736","5830"
"15364","6737","5830"
"15365","6738","5830"
"15366","6739","5830"
"15367","6740","5830"
"15368","6741","5830"
"15369","6742","5830"
"15370","6743","5830"
"15371","6744","5830"
"15372","6745","5830"
"15373","6746","5830"
"15374","6747","5830"
"15375","6748","5830"
"15376","6749","5830"
"15377","6750","5830"
"15378","6751","5830"
"15379","6752","5830"
"15380","6753","5830"
"15381","6754","5830"
"15382","6755","5830"
"15383","6756","5830"
"15384","6757","5830"
"15385","6758","5830"
"15386","6759","5830"
"15387","6760","5830"
"15388","6761","5830"
"15389","6762","5830"
"15390","6763","5830"
"15391","6764","5830"
"15392","6765","5830"
"15393","6766","5830"
"15394","6767","5830"
"15395","6768","5830"
"15396","6769","5830"
"15397","6770","5830"
"15398","6771","5830"
"15399","6772","5830"
"15400","6773","5830"
"15401","6774","5830"
"15402","6775","5830"
"15403","6776","5830"
"15404","6777","5830"
"15405","6778","5830"
"15406","6779","5830"
"15407","6780","5830"
"15408","6781","5830"
"15409","6782","5830"
"15410","6783","5830"
"15411","6784","5830"
"15412","6785","5830"
"15413","6786","5830"
"15414","6787","5830"
"15415","6788","5830"
"15416","6789","5830"
"15417","6790","5830"
"15418","6791","5830"
"15419","6792","5830"
"15420","6793","5830"
"15421","6794","5830"
"15422","6795","5830"
"15423","6796","5830"
"15424","6797","5830"
"15425","6798","5830"
"15426","6799","5830"
"15309","6692","5830"
"15311","6690","5830"
"15312","6689","5830"
"15313","6688","5830"
"15315","6687","5830"
"15316","6686","5830"
"15317","6685","5830"
"15318","6684","5830"
"15319","6683","5830"
"15320","6682","5830"
"15321","6681","5830"
"15322","6638","5830"
"15323","6370","5830"
"15324","6364","5830"
"15325","6637","5830"
"15326","6680","5830"
"15328","6679","5830"
"15329","6678","5830"
"15330","6677","5830"
"15331","6676","5830"
"15332","6675","5830"
"15334","6694","5830"
