"MapCustID","Alias","Caption","Comment","Section","Type","Table","Class","Visible"
"1","Customer Relationship","Customise Client Relationship","","CRM","0","lookup","clientrelationship","1"
"2","ABET Field","Customise ABET Field","","Training","0","lookup","abet","1"
"3","Qualification Field","Customise Qualification Field","","Training","0","lookup","field","1"
"4","Qualification Sub-Field","Customise Qualification  Sub-Fields","","Training","0","lookup","subfield","1"
"5","NQF Level","Customise NQF","","Training","0","lookup","NQF","1"
"6","Qualification Type","Customise Qualification Type","","Training","0","lookup","qualificationtype","1"
"7","Outcome Type","Customise Outcome Type","","Training","0","lookup","outcometype","1"
"8","Reg Status","Customise Reg Status","","Training","0","lookup","regstatus","1"
"9","Unit Standards Provider","Customise Unit Standards Provider","","Unit Standards","0","lookup","provider","1"
"10","US Type","Customise US Type","","Unit Standards","0","lookup","ustype","1"
"11","Assignment Types","Customise Assignment Types","","Training","0","lookup","assignment","1"
"12","Learning Programme Type","Customise Learning Programme Type","","Training","0","lookup","progtype","1"
"13","Venue Type","Customise Venue Type","","Training","0","lookup","venuetype","1"
"14","Material Types","Customise Material Types","","Training","0","lookup","stocktype","1"
"15","Rates","Customise Rates","","Training","2","lookup","frmRates","1"
"16","Titles","Customise Titles","","Training","0","lookup","title","1"
"17","Address Type","Customise Address Type","","Geographical","0","lookup","addresstype","1"
"18","Cities","Customise Cities","","Geographical","0","lookup","City","1"
"19","Regions","Customise Regions","","Geographical","0","lookup","regions","1"
"20","Groups","Customise Groups","Customise your group facility.","General","1","lookup","Group","1"
"21","Categories","Customise Categories","","General","1","lookup","category","1"
"22","Types","Customise Types","","General","1","lookup","type","1"
"23","Document Types","Customise Document Types","","Document","0","lookup","documenttype","1"
"24","Business Category","Customise Business Category","","General","1","lookup","buscat","1"
"25","ABC Field","Customise ABC Field","","General","1","lookup","abc","1"
"26","Account Type","Customise Account Type","","CRM","0","lookup","class","1"
"27","Note Type","Customise Note Type","","CRM","0","lookup","NoteType","1"
"28","Hobby Type","Customise Hobby Type","","CRM","0","lookup","hobbytype","1"
"29","Sales consultant","Customise Sales consultant","","General","1","lookup","SalesCons","1"
"30","Departments","Customise Departments","","General","0","lookup","department","1"
"31","Job Titles","Customise Job Titles","","General","0","lookup","jobtitle","1"
"32","Learner ID Types","Customise Learner ID Types","","Learner","0","lookup","idtype","1"
"33","Learner Nationality","Customise Learner Nationality","","Learner","0","lookup","nationality","1"
"34","Citizenships","Customise Citizenships","","Learner","0","lookup","citizenship","1"
"35","Learner Equity","Customise Learner Equity","","Learner","0","lookup","equity","1"
"36","Learner Home Language","Customise Learner Home Language","","Learner","0","lookup","language","1"
"37","Learner Gender","Customise Learner Gender","","Learner","0","lookup","gender","1"
"38","Learner Disability","Customise Learner Disability","","Learner","0","lookup","disability","1"
"40","Dietary Requirements","Customise Dietary Requirements","","Learner","0","lookup","dietary","1"
"41","Race","Customise Race","","Learner","0","lookup","race","1"
"42","Highest School Qualification","Customise Highest School Qualification","","Learner","0","lookup","highestschoolqual","1"
"43","Highest Qualification","Customise Highest Qualification","","Learner","0","lookup","highestqual","1"
"44","Learner Socioeconomic","Customise Learner Socioeconomic","","Learner","0","lookup","socioec","1"
"45","Forecast Type","Customise Forecast Type","","General","0","lookup","forecasttype","1"
"46","Income Types","Customise Income Types","","General","0","lookup","IncType","1"
"47","Payment Terms","Customise Payment Terms","","General","0","lookup","PaymentTerms","1"
"48","Bank Account Type","Customise Bank Account Type","","General","0","lookup","bankaccount","1"
"49","Medical Aid Type","Customise Medical Aid Type","","General","0","lookup","medaid","1"
"50","Method of Marketing Communication","Method of Marketing Communication","","General","3","MOComm","MOComm","1"
"51","Contact Types","Contact Types","","CRM","3","ContactTypes","ContactType","1"
"52","Objective Categories","Customise Objective Categories","","HR","0","lookup","objcategories","1"
"53","Assessment Objectives","ustomise Assessment Objectives","","HR","0","lookup","objectives","1"
"54","Leave Period","Customise Leave Period","","HR","3","leaveperiod","leaveperiod","1"
"55","Warehouses","Customise Warehouses","","HR","0","lookup","warehouse","1"
"56","Contract Agreement Type","Customise Contract Agreement Type","","Contract","0","lookup","Agreement","1"
"57","Products","Customise Products","","Sales","0","lookup","PipelineProduct","1"
"58","Outcomes","Customise Outcomes","","Sales","0","lookup","PipelineOutcome","1"
"59","Probabilities","Customise Probabilities","","Sales","0","lookup","PipelineProbability","1"
"60","Status","Customise Status","","Sales","0","lookup","PipelineStatus","1"
"61","Sales Rejection Reason","Customise Sales Rejection Reason","","Sales","0","lookup","SalesRejectionReason","1"
"62","Lead Propablities","ustomise Lead Propablities","","Sales","0","lookup","LeadProbability","1"
"63","Leads From","Customise Leads From","","Sales","0","lookup","LeadFrom","1"
"64","Lead Status","Customise Lead Status","","Sales","0","lookup","LeadStatus","1"
"65","GeneralSettings","GeneralSettings","","Settings","2","ContactTypes","frmSettings","1"
"66","Matrix group","Customise Matric Groups","","Matrix","2","ContactTypes","frmMatrixGroupMan","1"
"67","Matrix Items","Customise Matrix Items","","Matrix","2","ContactTypes","frmMatrixItemMan","1"
"68","Matrix Columns","Customise Matrix Columns","","Matrix","0","lookup","matrixcolumns","1"
"69","Contact Method","Customise Contact Method","","Calls","0","lookup","calllog","1"
"70","Call Origin","Customise Call Origin","","Calls","0","lookup","calllog call origin","1"
"71","Call Type","Customise Call Type","","Calls","0","lookup","calllog call type","1"
"72","Business Result","Customise Business Result","","Calls","0","lookup","calllog business result","1"
"73","Products","Customise Products","","Calls","0","lookup","CallLog Products","1"
"74","Task Priority","Customise Task Priority","","Task","0","lookup","priority","1"
"75","Task Priority","Customise Task Priority","","Task","0","lookup","bittype","1"
"76","Action Outcome","Customise Action Outcome","","Actions","0","lookup","actoutcome","1"
"77","Action Type","Customise Action Type","","Actions","0","lookup","activity type","1"
"78","Problem Type","Customise Problem Type","","Ticket","0","lookup","ProblemType","1"
"79","Ticket Status","Customise Ticket Status","","Ticket","0","lookup","TicketStatus","1"
"80","Ticket Type","Customise Ticket Type","","Ticket","0","lookup","TicketType","1"
"81","Document Setup","Doc Setup","","Accounting","2","ContactTypes","frmAccDocumentSetup","1"
"82","Accounting Doc. Statuses","Customise Accounting Doc. Statuses","","Accounting","0","lookup","DocStatus","1"
"83","Document Rules","Document Rules","","Accounting","2","ContactTypes","frmAccDocRules","1"
"84","Bank Accounts","Bank Accounts","","Accounting","2","ContactTypes","frmAccBankMan","1"
"85","Currency","Currency","","Accounting","2","ContactTypes","frmExchangeRate","1"
"86","Client Rating","Client Rating","","Accounting","2","ContactTypes","frmClientratingSets","1"
"87","Global Commision Percentage","Global Commision Percentage","","Accounting","4","Lookup","SetGlobalComm","1"
"88","GL Category Types","Customise GL Category Types","","Accounting","0","lookup","JournalType","1"
"89","Sub Journal","Customise Sub Journal","","Accounting","4","Lookup","SubJournal","1"
"90","Manufacturing Types","Customise Manufacturing Types","","Accounting","0","lookup","ManufactureType","1"
"91","Manufacturing Results","Customise Manufacturing Results","","Accounting","0","lookup","ManufResult","1"
"92","Payment Types","Customise Payment Types","","Accounting","0","lookup","PaymentType","1"
"93","Purchased By / Sold By unit types","Customise Purchased By / Sold By unit types","","Accounting","0","lookup","BuySellUnits","1"
"94","Packaging Types","Customise Packaging Types","","Accounting","0","lookup","PackagingType","1"
"95","Stock Types","Customise Stock Types","","Accounting","0","lookup","StockType","1"
"96","Stock Container","Stock Container","","Accounting","4","Lookup","StockContainer","1"
"97","Opening Balances","Opening Balances","","Accounting","2","ContactTypes","frmAccOpeningBalanceMan","1"
"98","Accounting Periods","Accounting Periods","","Accounting","2","ContactTypes","frmAccAccountingPeriods","1"
"99","Customise Freight Types","Customise Freight Types","","Freight","0","lookup","FreightType","1"
"100","Freight Templates","Freight Templates","","Freight","2","ContactTypes","frmAccFreightTemplateMan","1"
"101","Template-Stock Link","Template-Stock Link","","Freight","2","ContactTypes","frmAccFreightStockLink","1"
