"ModAssID","ModuleID","StaffID","TeamID"
"9","43","253",""
"16","40","253",""
"17","40","564",""
"18","52","566",""
"19","53","565",""
"20","54","566",""
"21","54","565",""
"22","55","253",""
"23","55","566",""
"24","55","565",""
"39","65","565",""
"40","66","566",""
"41","66","565",""
"42","67","253",""
"43","67","566",""
"44","67","565",""
"50","74","253",""
"53","77","602",""
"54","77","253",""
"55","78","253",""
"58","77","597",""
"59","76","253",""
"61","73","253",""
"62","76","602",""
"64","75","602",""
"65","78","597",""
"66","75","253",""
"67","79","253",""
"68","79","597",""
"70","80","253",""
"71","81","253",""
"72","81","605",""
"73","82","253",""
"74","82","605",""
"75","83","253",""
"76","83","605",""
"77","84","253",""
"78","84","605",""
"79","88","253",""
"81","90","607",""
"82","92","253",""
"83","93","253",""
"85","94","253",""
"93","110","253",""
"94","110","618",""
"98","115","576",""
"99","115","616",""
"100","115","570",""
"101","115","594",""
"102","115","574",""
"103","115","576",""
