"NoteID","EntityID","EntityContactID","NoteTypeID","DivID","Date","Subject","Description","Notes","createbyid","ModifiedByID","PipelineID","ModuleID","AppointmentID","ProjectID","AssessmentID","isComplete","isPopup","TicketID","ListenerID","OpportunityID","LearnerID"
"255","67010","92643","5922","5830","2014-04-03 09:49:54","new quote","","nhrtsjhryjty","1","1","","","2489","","","","0","","","",""
"256","67010","92643","5922","5830","2014-04-16 09:14:08","new inst","","uihfioehfoi ifiijfijf0e wjfjwifjiowei","1","1","","","2490","","","","0","","","",""
"257","67772","93404","5922","5830","2014-04-16 10:17:10","Installation","","INSTALLATON AS PER QUOTE","372","372","","","2491","","","","0","","","",""
"258","66913","92546","","5830","2014-04-16 10:58:15","Door Contacts","Spoke to Mr Hayden in regards to incorrect door contacts fitted on installation, need to confirm with Lenti for a solution.","","373","373","","","","","","","0","","","",""
"259","67651","94731","5922","5830","2014-04-16 14:41:40","Alarm system","","Alarm not working","372","372","","","2495","","","","0","","","",""
"260","68103","93735","5922","5830","2014-04-23 11:02:47","Test","Visit Report","Notes go here","378","378","","","2499","","","","0","","","",""
"261","68768","97180","5922","5830","2014-04-23 11:04:02","Install alarm","Visit Report","Notes Go Here
ergrg4
4thgtr4gh45th4t6h4
hy4h46hy46h46h
hy64h46","378","378","","","2501","","","","0","","","",""
"262","67651","","5922","5830","2014-04-23 11:18:18","Call out","","Technical call out - alarm not working properly.","372","372","","","2502","","","","0","","","",""
"263","0","","5922","5830","2014-05-23 15:37:20","","","","394","394","","","2506","","0","","0","","","",""
"264","0","","5922","5830","2014-10-08 10:50:53","","","","378","378","","","2515","","","","0","","","",""
"265","0","","5922","5830","2014-10-09 09:25:38","","","","378","378","","","2516","","","","0","","","",""
"266","0","","5922","5830","2014-10-09 09:27:14","","","","378","378","","","2517","","","","0","","","",""
"267","67835","93467","5922","5830","2014-10-09 11:59:09","","","","378","378","","","2519","","0","","0","","","",""
"268","67651","94731","5922","5830","2014-10-09 12:50:39","Alarm System - FTT","ftt

replaced transmitter. tesaoej'pokfv'pokefvgpoaekg'poakg'paeokfg'peoafkgpaEOFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFfted & working","ftt","1","1","","","2520","","","","0","","","",""
"269","67651","94731","5922","5830","2014-10-10 10:52:26","Alrm system","","Quote for new alarm system.","372","372","","","2522","","","","0","","","",""
"270","69043","97496","5922","5830","2014-10-10 10:54:49","FTT","","Alarm on FTT list","372","372","","","2523","","","","0","","","",""
"271","69686","99022","5922","5830","2014-10-10 10:57:29","Electric fence","","Truck broke fence - qutoe for repairs.","372","372","","","2524","","","","0","","","",""
"272","67651","94731","5922","5830","2014-10-10 11:31:32","Alarm system","","Quote for new alarm system.","372","378","","","2525","","0","","0","","","",""
"273","66857","93938","5922","5830","2014-10-10 11:34:36","","","Alarn not working","372","378","","","2526","","0","","0","","","",""
"274","67651","","5922","5830","2014-10-10 15:46:13","Alarm system","","FTT","372","372","","","2527","","","","0","","","",""
"275","67494","94574","5922","5830","2014-10-10 15:47:29","Alarm","","Quote for new alarm","372","372","","","2529","","","","0","","","",""
"276","69078","97554","5922","5830","2014-10-10 15:48:45","Quote","","Quote for new alarm system","372","372","","","2530","","","","0","","","",""
"277","67651","94731","5922","5830","2014-10-15 10:37:21","Alarm ","","Alarm system sending false signals -check and test.","372","372","","","2531","","","","0","","","",""
"278","66979","92612","5922","5830","2014-10-15 10:38:19","Technical","","Panics still not working.,","372","372","","","2532","","","","0","","","",""
"279","0","","5922","5830","2014-10-15 10:39:17","alarm","","Service request - fence and alarm sending false signals.","372","372","","","2533","","","","0","","","",""
"280","68316","98822","","5830","2015-02-12 15:54:29","Money Box Investments - Rochelle Hattersley","Came in to say they left in Dec but forgot to cancel. I told her she needs to give one months written notice.  She will email Kelly with her cancellation and aslo the name of the owner/landlord so we can contact him to see if he wants to keep up the alarm as the premises are currently still vacant. ","","380","380","","","","","","","1","","","",""
"281","0","","5922","5830","2018-05-24 12:37:23","Reminder - Karen - renew ENV - 24 May 2019","","","378","378","","","2535","","","","0","","","",""
