"NoticeID","StartDate","ExpDate","Summary","Details","Path","Division","AddedBy","NoticeType","NoticeStatus"
"6","2010-12-08 00:00:00","2010-12-10 00:00:00","fghtfghfh","hrtfhrfhf","","5344","1","","5485"
"8","2010-12-14 00:00:00","2010-12-15 00:00:00","dfgdf","dfgsdf","","5430","351","5483","5485"
"13","2010-12-15 00:00:00","2010-12-30 00:00:00","hfh","hrfhftg","C:\Users\Edwin Asare-Marfo\Desktop\Edwin's Docs\Fusion\Quotations\Gro Capital\Fusion Software Quotation_GroCap 20111118_V1.doc","5830","1","6298","6300"
"14","2010-12-23 00:00:00","2010-12-30 00:00:00","","","","5430","346","5483","5485"
"15","2010-12-13 00:00:00","2010-12-13 00:00:00","rthytrt","tyey","","5430","347","","5486"
"16","2010-11-08 00:00:00","2010-12-01 00:00:00","rfgtr","erteer","","5344","351","5483","5485"
"19","2010-12-16 00:00:00","2010-12-16 00:00:00","cfhncfncvn","xcfncn","","5344","347","5483","5486"
"20","2010-12-17 00:00:00","2010-12-17 00:00:00","","","C:\AUTOB_Detail_Template.xls","","","","5486"
"21","2010-12-17 00:00:00","2010-12-17 00:00:00","test","","C:\AUTOB_Detail_Template.xls","","","",""
"22","2011-01-06 00:00:00","2011-01-06 00:00:00","asdasd","asdasd","","5344","347","5487","5485"
"23","2011-11-22 00:00:00","2011-11-22 00:00:00","testing ","testing notice board note ","","5830","1","",""
"24","2011-12-15 00:00:00","2011-12-16 00:00:00","This is a notice test","What happens when this notice is created","C:\Users\Edwin Asare-Marfo\Desktop\Edwin's Docs\Fusion\Quotations\Gro Capital\Fusion Software Quotation_GroCap 20111118_V1.doc","5830","1","6297","6299"
