"NotificationID","DocID","EntityContactID","EntityID","DocDate"
"1","2464","90885","65259","2010-06-30 08:08:36"
"2","2469","0","65261","2010-07-02 16:49:55"
"3","2490","90885","65259","2010-06-28 15:15:22"
"4","2495","0","65259","2010-07-26 14:01:36"
"5","2492","0","65259","2010-07-28 16:05:26"
"6","2496","90885","65259","2010-07-22 16:37:02"
"7","2506","0","65264","2010-08-03 16:52:17"
"8","2510","90885","65259","2010-08-18 14:00:47"
"9","2511","90885","65259","2010-08-18 14:00:47"
"10","2518","90893","65264","2010-09-02 12:59:20"
"11","2526","90885","65259","2010-09-16 13:21:00"
"12","2527","90885","65259","2010-09-16 13:25:37"
"13","2535","90893","65264","2010-09-16 13:26:56"
"14","2536","90893","65264","2010-09-16 13:26:56"
"15","2547","90893","65264","2010-10-08 00:00:00"
"16","2552","90922","65291","2010-10-14 08:07:39"
"17","2554","90924","65293","2010-10-14 14:02:07"
"18","2556","90925","65294","2010-10-14 00:00:00"
"19","2560","0","65264","2010-10-29 12:15:42"
"20","2562","90898","65269","2010-11-09 09:33:52"
"21","2563","0","65264","2010-07-12 12:33:58"
"22","2583","90898","65269","2010-12-10 14:20:06"
"23","2595","0","65269","2011-06-02 11:59:32"
"24","2638","91938","66294","2011-08-17 16:07:51"
"25","2639","91938","66294","2011-08-17 16:07:51"
"26","2640","91938","66294","2011-08-17 16:07:51"
"27","2655","91945","66302","2011-09-13 09:00:44"
"28","2690","91968","66328","2011-09-22 12:22:23"
"29","2704","0","66333","2011-10-21 16:23:00"
"30","2705","0","66333","2011-10-21 16:23:00"
"31","2726","0","66330","2011-11-02 12:29:36"
"32","2727","0","66330","2011-11-02 12:29:36"
"33","2758","92024","66332","2011-12-14 17:06:35"
"34","2759","92024","66332","2011-12-14 17:06:35"
"35","2790","0","66378","2012-02-09 16:43:24"
"36","2828","0","66828","2012-03-20 14:11:37"
