"JobContID","EntityContactID","ProjectID","IsHold"
"1","82340","52",""
"2","82340","53",""
"40","82340","50",""
"23","82340","58",""
"53","87497","60",""
"54","87496","60",""
"64","82340","51",""
"94","82340","64",""
"99","82340","65",""
"63","82346","62",""
"105","87497","68",""
"113","86837","69",""
"117","82342","10003",""
"139","82342","10004",""
"138","82342","10005",""
"151","82342","10014",""
"163","90885","10017",""
"175","90893","10021",""
"182","91970","10058",""
"234","92002","10081",""
"230","92441","10062",""
"207","92441","10064",""
"239","92002","10081",""
"249","92467","10081",""
"244","92005","10074",""
"245","92005","10075",""
"246","92005","10076",""
"247","92005","10077",""
"286","92467","10086",""
"277","92472","10083",""
"282","92026","10088",""
"280","92467","10089",""
"87","83351","61",""
"88","83350","61",""
"179","90893","10019",""
