"ProjectModID","ProjectID","ModifiedBy","DateModified"
"1","10029","1","2011-01-06 11:14:26"
"2","10030","1","2011-01-12 10:26:10"
"3","10030","1","2011-01-12 15:14:31"
"4","10030","1","2011-01-12 15:14:32"
"6","10046","1","2011-02-09 09:10:22"
"7","10046","1","2011-02-09 09:10:30"
"8","10048","1","2011-02-10 11:41:12"
"9","10049","1","2011-02-10 11:52:51"
"10","10049","1","2011-02-10 11:52:52"
"11","10049","1","2011-02-10 11:52:52"
"12","10049","1","2011-02-10 11:52:52"
"13","10049","1","2011-02-10 11:52:52"
"14","10049","1","2011-02-10 11:52:52"
"15","10049","1","2011-02-10 11:52:52"
"16","10049","1","2011-02-10 11:52:54"
"17","10030","1","2011-03-01 10:52:09"
"18","10030","1","2011-03-15 11:08:18"
"19","10030","1","2011-03-15 11:13:09"
"20","10030","1","2011-04-07 17:19:26"
"21","10030","1","2011-04-08 08:48:14"
"22","10050","1","2011-06-02 11:00:05"
"23","10030","1","2011-06-13 11:08:11"
"24","10030","1","2011-06-13 11:12:07"
"25","10081","1","2011-10-07 12:32:47"
"26","10081","1","2011-10-07 14:35:18"
"27","10081","1","2011-10-07 14:36:31"
"28","10081","1","2011-10-10 10:47:51"
"29","10081","1","2011-10-10 11:23:17"
"30","10081","1","2011-10-10 11:25:38"
"34","10056","1","2011-10-13 15:09:29"
"35","10065","1","2011-12-19 16:13:17"
"36","10065","1","2011-12-20 11:41:22"
"37","10065","1","2011-12-20 11:47:00"
"38","10065","1","2011-12-20 11:55:33"
"39","10065","1","2011-12-20 11:55:58"
"40","10065","1","2011-12-20 11:56:03"
"41","10065","1","2011-12-20 11:56:09"
"42","10081","1","2011-12-21 10:40:13"
"43","10081","1","2012-02-21 16:13:36"
"44","10081","1","2012-02-21 16:14:29"
"45","10081","1","2012-02-21 16:14:32"
"46","10081","1","2012-02-21 16:14:35"
"47","10081","1","2012-02-21 16:14:38"
"48","10081","1","2012-02-21 16:14:42"
"49","10081","1","2012-02-21 16:14:45"
"50","10069","1","2012-02-29 09:51:00"
"51","10081","1","2012-03-06 13:46:19"
"55","10085","1","2012-03-19 13:26:58"
"56","10079","1","2012-03-19 14:32:48"
"57","10078","1","2012-03-19 14:32:57"
"5","10030","1","2011-01-24 16:23:58"
"31","10081","1","2011-10-10 11:25:43"
"52","10081","1","2012-03-06 14:05:17"
"32","10081","1","2011-10-10 12:44:30"
"33","10081","1","2011-10-10 12:45:04"
"53","10085","1","2012-03-06 14:18:48"
"54","10085","1","2012-03-06 14:21:48"
