"ProjSLAID","projectID","MonthINT","StartDate","Hours"
"137","10081","1","2011-01-15 00:00:00","10.0"
"138","10081","2","2011-01-15 00:00:00","10.0"
"139","10081","3","2011-01-15 00:00:00","10.0"
"140","10081","4","2011-01-15 00:00:00","10.0"
"141","10081","5","2011-01-15 00:00:00","10.0"
"142","10081","6","2011-01-15 00:00:00","10.0"
"143","10081","7","2011-01-15 00:00:00","10.0"
"144","10081","8","2011-01-15 00:00:00","10.0"
"145","10081","9","2011-01-15 00:00:00","10.0"
"146","10081","10","2011-01-15 00:00:00","10.0"
"148","10081","0","2011-01-15 00:00:00","10.0"
"149","10081","0","2011-12-15 00:00:00","20.0"
"150","10065","1","2012-01-15 00:00:00","20.0"
"151","10065","2","2012-01-15 00:00:00","10.0"
"152","10065","3","2012-01-15 00:00:00","20.0"
"153","10065","4","2012-01-15 00:00:00","10.0"
"154","10065","5","2012-01-15 00:00:00","20.0"
"155","10065","6","2012-01-15 00:00:00","20.0"
"156","10065","7","2012-01-15 00:00:00","20.0"
"157","10065","8","2012-01-15 00:00:00","20.0"
"158","10065","9","2012-01-15 00:00:00","20.0"
"159","10065","10","2012-01-15 00:00:00","20.0"
"160","10065","11","2012-01-15 00:00:00","10.0"
"161","10065","0","2012-01-15 00:00:00","10.0"
"162","10069","1","2012-01-15 00:00:00","5.0"
"163","10069","2","2012-01-15 00:00:00","5.0"
"164","10069","3","2012-01-15 00:00:00","5.0"
"165","10069","4","2012-01-15 00:00:00","5.0"
"166","10069","5","2012-01-15 00:00:00","5.0"
"167","10069","6","2012-01-15 00:00:00","5.0"
"168","10069","7","2012-01-15 00:00:00","5.0"
"169","10069","8","2012-01-15 00:00:00","5.0"
"170","10069","9","2012-01-15 00:00:00","5.0"
"171","10069","10","2012-01-15 00:00:00","5.0"
"172","10069","11","2012-01-15 00:00:00","5.0"
"174","10069","0","2012-01-15 00:00:00","5.0"
"175","10085","1","2012-01-15 00:00:00","1.0"
"176","10085","2","2012-01-15 00:00:00","1.0"
"177","10085","3","2012-01-15 00:00:00","1.0"
"178","10085","4","2012-01-15 00:00:00","1.0"
"179","10085","5","2012-01-15 00:00:00","1.0"
"180","10085","6","2012-01-15 00:00:00","1.0"
"181","10085","7","2012-01-15 00:00:00","1.0"
"182","10085","8","2012-01-15 00:00:00","1.0"
"183","10085","9","2012-01-15 00:00:00","1.0"
"184","10085","10","2012-01-15 00:00:00","1.0"
"185","10085","11","2012-01-15 00:00:00","1.0"
"186","10085","0","2012-01-15 00:00:00","1.0"
"187","10085","1","2012-01-15 00:00:00","2.0"
"188","10085","2","2012-01-15 00:00:00","2.0"
"189","10085","3","2012-01-15 00:00:00","2.0"
"190","10085","4","2012-01-15 00:00:00","2.0"
"191","10085","5","2012-01-15 00:00:00","2.0"
"192","10085","0","2012-01-15 00:00:00","2.0"
