"ReminderID","ReminderDate","MinsBeforeRemind","SnoozeDate","UserID","CreatedBy","Subject","isDismissed","DismissedDate","CreatedFromForm","CreatedFromID"
"1","2010-01-12 11:00:00","0","","340","1","Incoming Call Logged: Test Lead - Testing new reminder functionality","1","2010-01-13 10:39:06","frmLogCallAdv","245"
"2","2010-01-12 15:15:00","15","","340","1","Outgoing Call Logged: Test Merge 2 - Test reminder 2","1","2010-01-13 10:39:07","frmLogCall","246"
"3","2010-01-12 10:00:00","0","","340","340","Appointment : Test Address Co - Test appointment","1","2010-01-13 10:39:06","frmApptDetails","1300"
"5","2010-01-13 12:00:00","0","2010-01-19 08:24:00","340","1","Action: Test Lead - Please check that your products are all in order for the demonstration next w...","0","","frmActivityDetails","84"
"6","2010-01-20 10:00:00","15","","340","1","Next Action: Test Lead - Please collect all the products and meet me at the venue for the demonst...","0","","frmActivityDetails","84"
"7","2010-01-12 00:00:00","15","","317","1","Sub Task: Follow-up - Test sub task","0","","frmActionDetails","86"
"8","2010-01-13 10:00:00","15","","1","1","Next Action: Test Merge 2 -","1","2010-01-14 09:18:09","frmActivityDetails","83"
"9","2009-12-24 10:48:00","15","2010-01-13 07:03:00","1","1","Next Action: Adriaan Schutte - Comments for next action Date","1","2010-01-22 10:53:51","frmActivityDetails","81"
"10","2010-01-13 10:37:00","15","","340","1","Incoming Call Logged: A SAMUEL - Test mailing","1","2010-01-13 10:39:06","frmLogCallAdv","247"
"11","2010-01-25 09:21:00","15","","1","1","Next Action: test test -","1","2010-01-25 09:22:35","frmActivityDetails","85"
"12","2010-02-01 10:48:00","15","","341","1","Next Action: Demo Client -","0","","frmActivityDetails","86"
"13","2010-05-04 14:00:00","15","","1","1","Call Logged: Hal Fynn - sdvgfsdf","1","2010-05-04 14:51:55","frmLogCallAdv","252"
"14","2009-12-18 00:00:00","15","","1","1","Camera Fault","1","2010-05-05 17:24:00","frmLogTicketNew","39"
"15","2009-12-18 00:00:00","15","","1","1","Ticket Logged: Demo Company - Camera Fault","1","2010-05-05 17:24:01","frmLogTicketNew","39"
"16","2010-06-03 13:14:00","15","","341","1","Incoming Call Logged: Test Contact - Test subject","0","","frmLogCallAdv","254"
"17","2010-06-09 08:52:00","15","","1","1","Call Logged: Test Contact -","1","2010-06-09 09:13:06","frmLogCallAdv","255"
"18","2010-06-09 11:42:00","15","","1","1","Incoming Call Logged: Test Tester - test","1","2010-06-09 11:47:28","frmLogCallAdv","257"
"19","2010-06-21 13:34:00","15","","1","1","Call Logged: Demo Client - test subject","1","2010-06-21 13:54:07","frmLogCallAdv","258"
"20","2010-07-07 11:41:00","15","","1","1","Incoming Call Logged: Demo Client - Subject","1","2010-07-07 11:37:43","frmLogCall","260"
"21","2010-07-07 11:36:00","15","","1","1","Next Action: Demo Client - Comments for Next","1","2010-07-07 11:37:42","frmActivityDetails","87"
"22","2010-07-12 00:00:00","0","2011-04-28 09:55:00","351","1","Next Action: Demo Client - rt","0","","frmActivityDetails","147"
"23","2010-07-28 15:06:14","15","","1","1","Ticket Logged: Demo Company - ","1","2010-07-28 15:08:15","frmLogTicketNew","56"
"24","2010-07-28 15:06:14","15","","1","1","Ticket Logged: Demo Company - ","1","2010-07-28 15:08:15","frmLogTicketNew","56"
"25","2010-07-28 15:06:14","15","","1","1","Ticket Logged: Demo Company - ","1","2010-07-28 15:08:15","frmLogTicketNew","56"
"26","2010-08-11 12:26:00","0","2011-04-28 09:55:00","351","1","Next Action: Demo Client - See if this works again","0","","frmActivityDetails","148"
"27","2010-08-24 09:49:32","15","","1","1","Ticket Logged: Hals Company - ","1","2010-08-24 09:50:03","frmLogTicketNew","57"
"28","2010-08-24 09:49:32","15","","1","1","Ticket Logged: Hals Company - ","1","2010-08-24 09:54:21","frmLogTicketNew","57"
"29","2010-08-24 09:54:24","15","","1","1","Ticket Logged: Hals Company - ","1","2010-08-24 09:56:21","frmLogTicketNew","58"
"30","2010-08-24 09:54:24","15","","1","1","Ticket Logged: Hals Company - ","1","2010-08-24 09:56:21","frmLogTicketNew","58"
"31","2010-09-07 13:31:00","15","","1","1","Incoming Call Logged: Schutte123 Venter - Ihsaan Subject","1","2010-09-07 14:11:48","frmLogCall","283"
"32","2010-09-07 13:48:00","15","","1","1","Outgoing Call Logged:  - Ihsaan Test Subject","1","2010-09-08 09:27:35","frmLogCall","284"
"33","2010-09-07 00:00:00","15","","1","1","Call Logged: Demo Client - CALL TEST","1","2010-09-07 14:44:12","frmLogCall","268"
"34","2010-09-07 00:00:00","15","","1","1","Call Logged: Demo Client - CALL TEST","1","2010-09-07 14:45:23","frmLogCall","280"
"35","2010-10-09 16:17:21","15","","0","1","Follow-up on Quote : QU100002","0","","frmAccCostEstimateDetails","1101"
"36","2010-10-09 16:17:21","15","","0","1","Follow-up on Quote : QU100001","0","","frmAccCostEstimateDetails","1102"
"37","2010-10-10 08:28:03","15","","0","1","Follow-up on Quote : QU100001","0","","frmAccCostEstimateDetails","1103"
"38","2010-12-06 16:37:27","15","","1","1","Ticket Logged: Hals Company - ","1","2010-12-07 07:56:01","frmLogTicketNew","59"
"39","2010-12-07 11:38:00","15","","345","1","Ticket Logged: Hals Company - Quote Accepted","1","2011-03-08 16:28:30","frmLogTicketNew","60"
"40","2010-12-07 11:41:00","15","","345","1","Ticket Logged: Hals Company - Quote Accepted","1","2011-03-08 16:28:30","frmLogTicketNew","61"
"41","2010-12-07 12:30:29","15","","345","1","Ticket Logged: Hals Company - Quote Accepted","1","2011-03-08 16:28:30","frmLogTicketNew","62"
"42","2010-12-07 12:35:43","15","","345","1","Ticket Logged: Hals Company - Quote Accepted","1","2011-03-08 16:28:30","frmLogTicketNew","63"
