"ShippingLineID","ShippingDocID","LineDescription","LineGroup","MinValue","Units","Rate","Currency","VATRate","UsePercUnit","UsePercRate"
"5009","101","Packing and loading","Shipping","0.0000","0.0","2.0000","US$","0.0","0","0"
"5010","101","Oceanfreight","Shipping","0.0000","0.0","10.0000","US$","0.0","0","0"
"5011","101","Fuel","Overland","0.0000","25.0","10.0000","R","0.0","0","0"
"5018","104","Packing and loading","Shipping","0.0000","0.0","2.0000","US$","0.0","0","0"
"5019","104","Oceanfreight","Shipping","0.0000","0.0","10.0000","US$","0.0","0","0"
"5020","104","Fuel","Overland","0.0000","25.0","10.0000","R","0.0","0","0"
"5021","105","Packing and loading","Shipping","0.0000","0.0","2.0000","US$","0.0","0","0"
"5022","105","Oceanfreight","Shipping","0.0000","0.0","10.0000","US$","0.0","0","0"
"5023","105","Fuel","Overland","0.0000","25.0","10.0000","R","0.0","0","0"
"5024","107","Packing and loading","Shipping","0.0000","0.0","2.0000","US$","0.0","0","0"
"5025","107","Oceanfreight","Shipping","0.0000","0.0","10.0000","US$","0.0","0","0"
"5026","107","Fuel","Overland","0.0000","25.0","10.0000","R","0.0","0","0"
"5027","108","Oceanfreight","SHIPPING","0.0000","0.0","100.0000","US$","0.0","0","0"
"5028","108","Loading Fees","SHIPPING","10.0000","","50.0000","US$","0.0","0","0"
"5029","108","Insurance","ADMIN","0.0000","1.0","25.0000","R","14.0","0","1"
"5031","108","Airfreight","AIR FREIGHT","0.0000","","","R","0.0","0","0"
"5036","112","Test Item","Test Group","100.0000","1.0","0.0000","US$","0.0","0","0"
"5037","113","Packing and loading","Shipping","0.0000","0.0","2.0000","US$","0.0","0","0"
"5038","113","Oceanfreight","Shipping","0.0000","0.0","10.0000","US$","0.0","0","0"
"5039","113","Fuel","Overland","0.0000","25.0","10.0000","R","0.0","0","0"
"5040","115","Oceanfreight","SHIPPING","0.0000","0.0","100.0000","US$","0.0","0","0"
"5041","115","Loading Fees","SHIPPING","10.0000","","50.0000","US$","0.0","0","0"
"5042","115","Insurance","ADMIN","0.0000","1.0","25.0000","R","14.0","0","1"
"5043","115","Airfreight","AIR FREIGHT","0.0000","","","R","0.0","0","0"
