"ShippingDetailLinkID","ShippingDocID","LineDescription","LinkedTo","SumOf"
"11887","101","Packing and loading","No. Of Packages","Unit"
"11888","101","Oceanfreight","Volumetric","Unit"
"11893","104","Packing and loading","No. Of Packages","Unit"
"11894","104","Oceanfreight","Volumetric","Unit"
"11895","105","Packing and loading","No. Of Packages","Unit"
"11896","105","Oceanfreight","Volumetric","Unit"
"11897","107","Packing and loading","No. Of Packages","Unit"
"11898","107","Oceanfreight","Volumetric","Unit"
"11899","108","Oceanfreight","Total Weight","Unit"
"11900","108","Loading Fees","No. Of Packages","Unit"
"11907","108","Insurance","Loading Fees","Rate"
"11908","108","Insurance","Oceanfreight","Rate"
"11909","108","Insurance","Total Price Ex.","Rate"
"11916","108","Sur Charge","No. Of Packages","Unit"
"11922","108","Airfreight","Volumetric","Unit"
"11931","113","Packing and loading","No. Of Packages","Unit"
"11932","113","Oceanfreight","Volumetric","Unit"
"11933","115","Oceanfreight","Total Weight","Unit"
"11934","115","Loading Fees","No. Of Packages","Unit"
"11935","115","Insurance","Loading Fees","Rate"
"11936","115","Insurance","Oceanfreight","Rate"
"11937","115","Insurance","Total Price Ex.","Rate"
"11938","115","Sur Charge","No. Of Packages","Unit"
"11939","115","Airfreight","Volumetric","Unit"
