"ShippingDocID","ShippingTypeID","TransporterID","TransporterRefNo","DocID","StockID","StockQty","BasePriceEx","DocDate","Origin","Destination","DateToShip","DateArriving","DeliveryTerms","NoOfPackages","PackageTypeID","Length","Width","Height","Weight","PackageWeight","IsTemplate","CalcTotalEx","CalcTotalVat","LineID","BaseCostPriceEx","BasePriceIncl","UsePercWeight"
"101","5427","65260","123456","0","","1.0","100.0000","2010-07-21 00:00:00","Dalian, China","Durban, South Africa","2010-07-21 00:00:00","2010-07-21 00:00:00","FOB","1","","0.5","0.5","0.5","0.0","1000.0","1","1932.6600","0.0000","0","","","0"
"104","5427","65260","123456","1077","66405","1.0","4.0300","2010-07-21 00:00:00","Dalian, China","Durban, South Africa","2010-07-21 00:00:00","2010-07-21 00:00:00","FOB","1","","0.5","0.5","0.5","0.0","1000.0","0","1932.6640","","407","2.0000","4.5800","0"
"105","5427","65260","123456","1085","66407","1.0","400.0000","2010-07-21 00:00:00","Dalian, China","Durban, South Africa","2010-07-21 00:00:00","2010-07-21 00:00:00","FOB","1","","0.5","0.5","0.5","0.0","1000.0","0","1932.6640","","417","200.0000","456.0000","0"
"106","","","","1086","66405","1.0","3.5000","2010-08-19 09:39:43","","","2010-08-19 09:39:43","2010-08-19 09:39:43","","1","0","0.0","0.0","0.0","0.0","1.0","0","","","418","","","0"
"107","5427","65260","123456","1086","66405","1.0","3.5000","2010-07-21 00:00:00","Dalian, China","Durban, South Africa","2010-07-21 00:00:00","2010-07-21 00:00:00","FOB","1","","0.5","0.5","0.5","0.0","1000.0","0","1932.6640","","418","2.0000","3.9900","0"
"108","5427","65260","","0","66407","1000.0","200.0000","2011-01-01 00:00:00","Seatle, USA","Richard's Bay, South Africa","2011-01-06 00:00:00","2011-01-06 08:08:49","FOB","1","5418","6.0","2.0","2.0","0.5","2000.0","1","3486486.0000","14014.0000","0","","","0"
"110","","","","1159","66420","1.0","120.0000","2011-06-01 09:03:46","","","2011-06-01 09:03:46","2011-06-01 09:03:46","","1","0","0.0","0.0","0.0","0.0","1.0","0","","","1148","","","0"
"111","","","","1180","66418","1.0","0.0000","2011-06-09 15:04:47","","","2011-06-09 15:04:47","2011-06-09 15:04:47","","1","0","0.0","0.0","0.0","0.0","1.0","0","","","1179","","","0"
"112","","","","1180","66418","1.0","0.0000","2011-06-09 15:08:58","","","2011-06-09 15:08:58","2011-06-09 15:08:58","","1","0","0.0","0.0","0.0","0.0","1.0","0","","","1179","","","0"
"113","5427","65260","123456","1181","66436","1.0","300.0000","2010-07-21 00:00:00","Dalian, China","Durban, South Africa","2010-07-21 00:00:00","2010-07-21 00:00:00","FOB","1","","0.5","0.5","0.5","0.0","1000.0","0","2353.3300","","1180","400.0000","342.0000","0"
"114","","","","528644","66468","1.0","0.0000","2011-12-15 14:15:58","","","2011-12-15 14:15:58","2011-12-15 14:15:58","","1","0","0.0","0.0","0.0","0.0","1.0","0","","","554982","","","0"
"115","","65260","","528656","66552","10.0","0.0000","2011-12-22 11:59:43","Seatle, USA","Richard's Bay, South Africa","2011-12-22 11:59:43","2011-12-22 11:59:43","FOB","1","5418","6.0","2.0","2.0","0.0","2000.0","0","3000486.0000","14.0000","555002","","","0"
