"SaveSearchControlID","SaveSearchFormID","ControlName","Value","ExtraValue","ExtraValueType","Type","DateSaved"
"110","4","optMatchAny","True","","","optionbutton",""
"111","4","lstDocTypes",";Sales Order;;Credit Note;","","","listbox",""
"112","4","chkValRange","1","","","checkbox",""
"113","4","txtClientName","asd","","","textbox",""
"114","4","dtpEnd","2011-06-22 00:00","","","dtpicker",""
"484","14","lvwSearch",";284;;283;;282;;281;;280;;279;;278;;277;;276;;275;;274;;273;;272;;271;;270;;265;;269;;264;;268;;263;;267;;262;;266;;261;;260;","Call Created By,Company,Contact,Date,Direction,Subject,Description,Advanced Call","LvwCols","listview","2011-01-04 16:34:48"
"485","14","lvwSearchSMS",";40;;41;","ll Created By,Company,Contact,Date,Direction,Subject,Description,Advanced Call,EmailLogID,Sent By,Company,Contact,Email Address,Telephone,Date,Subject,Status,Response,Company,Contact,Cell Number,Date,Message","LvwCols","listview","2011-01-04 16:34:48"
"486","14","lvwNote",";110;;111;;112;;113;;114;;115;;116;;117;;118;;119;;120;;121;;122;;123;;124;;125;;126;;127;;128;;129;;130;;131;;132;;133;","l Created By,Company,Contact,Date,Direction,Subject,Description,Advanced Call,EmailLogID,Sent By,Company,Contact,Email Address,Telephone,Date,Subject,Status,Response,Company,Contact,Cell Number,Date,Message,Company,Contact,Note Type,Note Description,Notes,Division,Date,Subject,Created By,Modified By","LvwCols","listview","2011-01-04 16:34:48"
"487","14","cboNoteDivision","5344","l Created By,Company,Contact,Date,Direction,Subject,Description,Advanced Call,EmailLogID,Sent By,Company,Contact,Email Address,Telephone,Date,Subject,Status,Response,Company,Contact,Cell Number,Date,Message,Company,Contact,Note Type,Note Description,Notes,Division,Date,Subject,Created By,Modified By","LvwCols","combobox","2011-01-04 16:34:48"
"488","14","chkDatesSMS","0","l Created By,Company,Contact,Date,Direction,Subject,Description,Advanced Call,EmailLogID,Sent By,Company,Contact,Email Address,Telephone,Date,Subject,Status,Response,Company,Contact,Cell Number,Date,Message,Company,Contact,Note Type,Note Description,Notes,Division,Date,Subject,Created By,Modified By","LvwCols","checkbox","2011-01-04 16:34:48"
"489","14","dtpFromSMS","2010-12-28 00:00","l Created By,Company,Contact,Date,Direction,Subject,Description,Advanced Call,EmailLogID,Sent By,Company,Contact,Email Address,Telephone,Date,Subject,Status,Response,Company,Contact,Cell Number,Date,Message,Company,Contact,Note Type,Note Description,Notes,Division,Date,Subject,Created By,Modified By","LvwCols","dtpicker","2011-01-04 16:34:48"
"490","14","dtpToSMS","2011-01-04 23:59","l Created By,Company,Contact,Date,Direction,Subject,Description,Advanced Call,EmailLogID,Sent By,Company,Contact,Email Address,Telephone,Date,Subject,Status,Response,Company,Contact,Cell Number,Date,Message,Company,Contact,Note Type,Note Description,Notes,Division,Date,Subject,Created By,Modified By","LvwCols","dtpicker","2011-01-04 16:34:48"
"491","14","chkDatesEmail","0","l Created By,Company,Contact,Date,Direction,Subject,Description,Advanced Call,EmailLogID,Sent By,Company,Contact,Email Address,Telephone,Date,Subject,Status,Response,Company,Contact,Cell Number,Date,Message,Company,Contact,Note Type,Note Description,Notes,Division,Date,Subject,Created By,Modified By","LvwCols","checkbox","2011-01-04 16:34:48"
"492","14","dtpFromEmail","2010-12-28 00:00","l Created By,Company,Contact,Date,Direction,Subject,Description,Advanced Call,EmailLogID,Sent By,Company,Contact,Email Address,Telephone,Date,Subject,Status,Response,Company,Contact,Cell Number,Date,Message,Company,Contact,Note Type,Note Description,Notes,Division,Date,Subject,Created By,Modified By","LvwCols","dtpicker","2011-01-04 16:34:48"
