"useReportID","inactiveStaffCount","allStaffCount","noLicenses","notesCount","advCalllogCount","calllogCount","subTaskCount","appointmentCount","actionsCount","taskReminderCount","fusionClientID","projectTaskCount","ticketCount","versionCount","clientCount","supplierCount","debInvoiceCount","debSalesOrderCount","debCreditNoteCount","debPaymentReceiptCount","debDispatchNoteCount","Searches","debAllCount","crePurchaseOrderCount","creSupplierInvoiceCount","creSupplierCreditNoteCount","creSupplierPaymentCount","creGoodsReceivedNoteCount","creAllCount","CEAcceptedCounts","CECompletedCounts","CEOpenCounts","lastUpdateDate","CERejectedCounts","CEColdCounts","CEExpiredCounts","CEReconciledCounts","CEAllCounts","CompanyName","RevisionNumber","UserName","loginCount","activeUsersCount","inactiveUsersCount","allUsersCount","activeStaffCount"
"1","1","21","50","9","342","1","56","15","6","2","0","9","0","36","6353","42","1","0","0","0","0","47","2","0","0","0","0","0","0","0","0","0","2014-07-18 09:39:03","0","0","0","0","0","Lonehill Community Improvment Initiative","481","JesseV","1086","20","1","21","20"
"2","1","21","50","9","354","1","56","15","6","2","0","9","0","36","6412","42","1","0","0","0","0","76","2","0","0","0","0","0","0","0","0","0","2014-07-28 09:40:12","0","0","0","0","0","Lonehill Community Improvment Initiative","481","JesseV","1113","20","1","21","20"
"3","1","21","50","9","375","1","56","16","6","2","0","9","0","36","6441","42","1","0","0","0","0","238","2","0","0","0","0","0","0","0","0","0","2014-08-04 07:55:52","0","0","0","0","0","Lonehill Community Improvment Initiative","481","JoyL","1158","20","1","21","20"
"4","1","21","50","9","387","1","56","17","6","2","0","9","0","36","6512","42","1","0","0","0","0","203","2","0","0","0","0","0","0","0","0","0","2014-08-11 09:29:47","0","0","0","0","0","Lonehill Community Improvment Initiative","481","JoyL","1184","20","1","21","20"
"5","1","21","50","9","397","1","192","17","6","8","0","9","0","36","6570","42","1","0","0","0","0","230","2","0","0","0","0","0","0","0","0","0","2014-08-18 07:39:59","0","0","0","0","0","Lonehill Community Improvment Initiative","481","JoyL","1212","20","1","21","20"
"6","1","21","50","9","404","1","192","18","6","8","0","9","0","36","6577","42","1","0","0","0","0","230","2","0","0","0","0","0","0","0","0","0","2014-08-25 12:19:08","0","0","0","0","0","Lonehill Community Improvment Initiative","481","JesseV","1229","20","1","21","20"
"7","1","21","50","9","405","1","192","18","6","8","0","9","0","36","6586","42","1","0","0","0","0","195","2","0","0","0","0","0","0","0","0","0","2014-09-01 10:59:44","0","0","0","0","0","Lonehill Community Improvment Initiative","481","KellyB","1238","20","1","21","20"
"8","1","21","50","9","409","1","192","18","6","9","0","9","0","36","6617","42","1","0","0","0","0","299","2","0","0","0","0","0","0","0","0","0","2014-09-08 10:54:12","0","0","0","0","0","Lonehill Community Improvment Initiative","481","JoyL","1252","20","1","21","20"
"10","1","21","50","9","433","1","192","18","6","9","0","9","0","36","6710","42","1","0","0","0","0","485","2","0","0","0","0","0","0","0","0","0","2014-09-25 08:05:22","0","0","0","0","0","Lonehill Community Improvment Initiative","481","BevB","1277","20","1","21","20"
"11","1","21","50","9","440","1","192","18","6","9","0","9","0","36","6712","42","1","0","0","0","0","270","2","0","0","0","0","0","0","0","0","0","2014-10-03 11:22:56","0","0","0","0","0","Lonehill Community Improvment Initiative","481","Avril","1284","20","1","21","20"
"12","1","21","50","14","442","1","192","25","6","9","0","9","1","36","6730","42","1","0","0","0","0","300","2","0","0","0","0","0","0","0","0","0","2014-10-10 08:08:35","0","0","0","0","0","Lonehill Community Improvment Initiative","481","BevB","1310","20","1","21","20"
"13","1","21","50","25","466","1","192","32","6","9","0","9","1","36","6736","42","1","0","0","0","0","268","2","0","0","0","0","0","0","0","0","0","2014-10-17 09:06:41","0","0","0","0","0","Lonehill Community Improvment Initiative","481","JesseV","1330","20","1","21","20"
"14","1","21","50","25","498","1","192","32","6","9","0","9","1","36","6738","42","1","0","0","0","0","105","2","0","0","0","0","0","0","0","0","0","2014-10-24 08:50:56","0","0","0","0","0","Lonehill Community Improvment Initiative","481","BevB","1354","20","1","21","20"
"15","1","21","50","25","512","1","192","32","6","9","0","9","1","36","6741","42","1","0","0","0","0","177","2","0","0","0","0","0","0","0","0","0","2014-10-31 08:37:38","0","0","0","0","0","Lonehill Community Improvment Initiative","481","JoyL","1369","20","1","21","20"
"16","1","21","","25","545","1","192","32","6","9","0","9","1","36","6742","46","1","0","0","0","0","145","2","0","0","0","0","0","0","0","0","0","2014-11-07 09:06:12","0","0","0","0","0","No Company name entered in General Settings","481","JesseV","1398","20","1","21","20"
"17","1","21","","25","575","1","286","32","6","13","0","9","1","36","6742","46","1","0","0","0","0","129","2","0","0","0","0","0","0","0","0","0","2014-11-14 07:33:20","0","0","0","0","0","No Company name entered in General Settings","481","BevB","1423","20","1","21","20"
"18","1","21","","25","593","1","286","32","6","13","0","9","1","36","6741","46","1","0","0","0","0","68","2","0","0","0","0","0","0","0","0","0","2014-11-21 09:41:01","0","0","0","0","0","No Company name entered in General Settings","481","JoyL","1449","20","1","21","20"
"19","1","21","","25","603","1","286","32","6","13","0","9","1","36","6739","46","1","0","0","0","0","137","2","0","0","0","0","0","0","0","0","0","2014-11-28 09:00:54","0","0","0","0","0","No Company name entered in General Settings","481","JesseV","1473","20","1","21","20"
"20","1","21","","25","610","1","286","32","6","13","0","9","1","36","6751","46","1","0","0","0","0","451","2","0","0","0","0","0","0","0","0","0","2014-12-05 09:56:27","0","0","0","0","0","No Company name entered in General Settings","481","Admin","1564","20","1","21","20"
"21","1","21","","25","628","1","286","32","6","13","0","9","1","36","6759","46","1","0","0","0","0","21","2","0","0","0","0","0","0","0","0","0","2014-12-12 09:33:10","0","0","0","0","0","No Company name entered in General Settings","481","BevB","1628","20","1","21","20"
"22","1","21","","25","629","1","286","32","6","13","0","9","1","36","6759","46","1","0","0","0","0","12","2","0","0","0","0","0","0","0","0","0","2014-12-22 08:53:10","0","0","0","0","0","No Company name entered in General Settings","481","JesseV","1636","20","1","21","20"
"23","1","21","","25","629","1","286","32","6","13","0","9","1","36","6759","46","1","0","0","0","0","486","2","0","0","0","0","0","0","0","0","0","2015-01-05 08:07:03","0","0","0","0","0","No Company name entered in General Settings","481","BevB","1641","20","1","21","20"
