"userActivityListID","userID","clientActivityListID","clientActivityID"
"374","312","76","83"
"375","1","76","83"
"376","313","77","92"
"378","313","83","83"
"379","313","87","92"
"380","1","90","95"
"386","1","93","95"
"383","1","94","95"
"384","1","92","95"
"389","314","95","97"
"438","1","98","98"
"439","1","99","98"
"433","1","100","100"
"403","338","101","101"
"454","338","102","101"
"421","1","103","102"
"451","339","104","101"
"440","339","105","98"
"467","339","106","103"
"459","340","107","104"
"460","339","107","104"
"465","339","108","104"
"466","338","108","104"
"468","341","109","107"
"469","341","110","107"
"470","341","111","107"
"471","341","112","107"
"472","341","113","107"
"473","341","114","107"
"474","341","115","107"
"475","341","116","107"
"476","341","117","107"
"477","341","118","107"
"478","341","119","107"
"485","343","120","107"
"480","341","121","107"
"481","341","122","107"
"482","341","123","107"
"484","341","125","107"
"486","341","120","107"
"487","341","126","107"
"488","1","126","107"
"489","1","128","105"
"490","344","129","108"
"492","344","130","108"
"493","1","130","108"
"639","1","131","110"
"640","350","135","0"
"641","349","135","0"
"516","350","133","0"
"611","349","134","0"
"642","348","135","0"
"608","350","132","0"
"609","351","132","0"
"643","357","135","0"
