"UserTargetID","UserID","Activity","Quantity","Weight","PeriodType","ApptType"
"20","347","Project Updates","545.0","5000.0","Monthly",""
"21","351","Appointments","50.0","10.0","Monthly","Default"
"22","351","Appointments","2.0","2.0","Daily","Cold Call"
"23","351","Appointments","2.0","2.0","Monthly","Client relationship"
"24","351","Appointments","2.0","2.0","Monthly","Product update"
"25","351","Appointments","2.0","2.0","Monthly","Customer request"
"26","351","Appointments","2.0","2.0","Monthly","Problem solving"
"27","351","Appointments","2.0","2.0","Monthly","Recuring Visit"
"32","355","Appointments","3.0","3.0","Daily","Client relationship"
"33","355","Number Of Quotes","25.0","10.0","Weekly",""
"35","357","Number Of Quotes","50.0","50.0","Daily",""
"39","361","Calls","1.0","30.0","Weekly",""
"40","361","Appointments","1.0","30.0","Weekly","Product update"
"41","361","Contact Updates","1.0","40.0","Weekly",""
"42","1","Appointments","100.0","10.0","Monthly",""
"43","1","Calls","100.0","10.0","Monthly",""
"44","1","Modules","100.0","10.0","Monthly",""
"45","1","Number Of Orders","100.0","10.0","Monthly",""
"46","1","Number Of Quotes","100.0","10.0","Monthly",""
"47","1","Value Of Orders","1000.0","10.0","Monthly",""
"48","1","New Clients","10.0","10.0","Monthly",""
