"ViewID","Class","FriendlyName","View","IsDefault","LastUpdated","LastUpdatedBy","ComputerName","Executed","ExecuteOnStartUp","WindowsUserName"
"39397","default_branch","","JHB","0","","1","LRA-FUSION","0","0","fusion"
"39398","cv_entitycontacts","","select entitycontactid,
'    ' as [  ], 
isnull(ec.Title,'')+ ' ' + isnull(ec.Firstname,'')+' '+isnull(ec.Surname,'') AS [Name], Title, Initials, JobTitle, 
l.Value As Department, phone1 as [Phone], Cell, EC.Fax, EC.Email, Ext,
isnull(LG.Value,'')as [Business Category],isnull(Lk.Value,'') as [Type],Isnull(LT.Value,'') as [Sub Type],
Isnull(LC.Value,'') as [Category],isnull(LA.Value,'') as [ABC],isnull(LI.Value,'') as [Industry]
from entitycontact ec
left join lookup l
on l.LookupID = ec.DepartmentID and l.Class = 'Department'
Left Join Entity E on E.EntityID=EC.EntityID
left join lookup LG
on LG.LookupID = e.BusCatID and lG.Class = 'buscat'
left join lookup LK
on LK.LookupID = e.EntityTypeID and lK.Class = 'type'
left join LinkLookup LT
on LT.LinkLookupID = e.entitysubtypeid and lT.Class = 'SubType'
left join lookup LC
on LC.LookupID = e.EntityCategoryID and lC.Class = 'category'
left join lookup LA
on LA.LookupID = e.ABCCatID and lC.Class = 'abc'
left join lookup LI
on LI.LookupID = e.IndustryID and lI.Class = 'canvasindustry'


<%where%>
order by [name]","0","","1","LRA-FUSION","0","0","fusion"
"39399","cv_entityaddresses","","select 
	entityaddressid,
        CASE ISNULL(IsDefault,0) WHEN 0 THEN 'No' ELSE 'Yes' END as [Default],
	addresstype as Type,
	address1 as [Address Line 1],
	address2 as [Address Line 2],
	address3 as [Address Line 3],
	City as [Area],
	Region as [Province],
	Code,
	Country
from entityaddress
<%where%>
order by addresstype","0","","1","LRA-FUSION","0","0","fusion"
"39400","cv_documents","","select 
	entitydocumentid, 
	l.value as [Doc Type], 
	[Sub Doc] as [Doc Sub Type],
	Keywords,
	Description,convert(varchar,DateLinked,111) as [Date Linked], 
	[Name], 
	path as Location,
	ISNULL(S.Firstname, '') + ' ' + ISNULL(S.Surname, '') as [Added By]
from entitydocument d
left join lookup l on l.lookupid = d.doctypeid
LEFT JOIN (select distinct lookupid, [value] as [Sub Doc] from lookup where class like 'documentsubtype') ls
    ON ls.lookupid = d.docsubid
LEFT JOIN Staff S ON S.StaffID = D.StaffID
<%where%>
order by Keywords,[Name]","0","","1","LRA-FUSION","0","0","fusion"
"39401","cv_users","","select userid, firstname as [First Name], Surname, Position, Username, 
l.userlevel as [User Level], Extension
from users u 
left join userlevel l on u.userlevelid = l.userlevelid
LEFT JOIN (SELECT StaffID, isnull(IsActive,1) as [Active] FROM Staff) ST ON U.StaffID = ST.StaffID
--Added by chad for inherit
/*<%Where%>*/
order by firstname, surname","0","","1","LRA-FUSION","0","0","fusion"
"39402","def_remind_before_time","","15","0","","1","LRA-FUSION","0","0","fusion"
"39403","cv_TasksSearch","","SELECT 
 taskreminderid,username as [User Name],dbo.EntityContactName(entitycontact.Title, entitycontact.Initials, entitycontact.Firstname, entitycontact.Surname) as [Assigned Contact Name],taskname As [Task Subject],taskdate as [Due Date]
FROM taskreminder 
LEFT JOIN entitycontact ON entitycontact.entitycontactid = taskreminder.entitycontactid
INNER JOIN users on taskreminder.foruserid = users.userid","0","","1","LRA-FUSION","0","0","fusion"
"39404","cv_TasksManSearch","","SELECT distinct  
 taskreminder. taskreminderid,users.username as [User],/*div.value as Division, */ entity.Company,
 case when isnull(dbo.EntityContactName(entitycontact.Title,entitycontact.Initials, entitycontact.FirstName, entitycontact.Surname), '') = '' then 'No Contact Selected' else
 dbo.EntityContactName(entitycontact.Title,entitycontact.Initials, entitycontact.FirstName, entitycontact.Surname) end as [Assigned contact],
 org.username as [Task Organiser],own.username as [Task Owner],
 taskname as [Task Name],taskdate as [Task Date\Time], 
    case (select count(*) from actions a where a.taskreminderid = taskreminder.taskreminderid) 
    when 0 then convert(varchar, percentageid) + ' %' 
    else convert(varchar, (Select AVG(PercentageID) from actions a where a.taskreminderid = taskreminder.taskreminderid)) + ' %' end as [Percentage Complete],
    AdditionalInfo as [Additional Info]
FROM taskreminder
LEFT join users on users.userid = taskreminder.foruserid
LEFT JOIN entitycontact ON taskreminder.entitycontactid = entitycontact.entitycontactid
LEFT JOIN lookup div on div.lookupid = taskreminder.divid
LEFT JOIN users ORG ON org.userid = taskreminder.organizerid
LEFT JOIN users OWN ON own.userid = taskreminder.ownerid
LEFT join developertasks dt on dt.taskreminderid = taskreminder.taskreminderid 
Left JOIN entity On entity.EntityID = entitycontact.entityid","0","","1","LRA-FUSION","0","0","fusion"
"39405","cv_calllog","","select calllogid, 
left(datename(dw,calldate),3)+', '+datename(dd,calldate)+' '+left(datename(mm,calldate),3)+' '+datename(yyyy,calldate) as [Call Date],
right('0'+datename(hh,calldate),2)+'h'+right('0'+datename(n,calldate),2) as [Call Time],
u.username as [Captured By],
calldescription as [Description], Notes
from calllog c
left join users u on c.createbyid = u.userid
<%where%>
order by calldate","0","","1","LRA-FUSION","0","0","fusion"
"39406","cv_entity_contact_groups","","select g.groupid, g.[group], isnull(eg.groupid,0) as assigned
from (select lookupid as groupid, value as [group] from lookup where class like 'group') g
left join (select groupid from entitycontactgroup where entitycontactid=<%entitycontactid%>) eg on g.groupid = eg.groupid
order by g.[group] desc
","0","","1","LRA-FUSION","0","0","fusion"
"39407","cv_export_entities","","select * from entity
order by company","0","","1","LRA-FUSION","0","0","fusion"
